date,Portfolio 1_balance,benchmark_balance
2016-04-30,27518.385651648325,22083.56327683926
2016-05-31,27510.11340907857,22459.235798356625
2016-06-30,28175.994504986415,22537.31011050875
2016-07-31,29263.428351568593,23359.278766113264
2016-08-31,29050.655187598117,23387.244907251217
2016-09-30,29311.04166486032,23388.60939129268
2016-10-31,28727.68693946732,22983.11865354719
2016-11-30,28241.10678048567,23829.779074037615
2016-12-31,28343.192213921953,24312.846896699786
2017-01-31,29399.420996586847,24747.913018767722
2017-02-28,30434.00737127292,25720.308330994143
2017-03-31,30593.875240525915,25752.452722699734
2017-04-30,31127.668220680804,26008.069920941824
2017-05-31,31637.546374910755,26375.125764282096
2017-06-30,31257.338517509423,26543.26180488282
2017-07-31,32059.54870543633,27088.843425359868
2017-08-31,32737.605289906307,27167.88135618535
2017-09-30,32528.340390213794,27715.295779379107
2017-10-31,33128.619300356564,28368.382553529722
2017-11-30,33654.525211014865,29235.485180556585
2017-12-31,34056.682258594206,29590.052525890253
2018-01-31,35784.49755476607,31257.712201599803
2018-02-28,34999.12924689467,30121.183720741752
2018-03-31,34389.86716603162,29295.53982351708
2018-04-30,34353.054183828404,29446.9493711858
2018-05-31,35098.85276124347,30162.77735715821
2018-06-30,34906.26452279256,30336.23835454787
2018-07-31,35333.85440944866,31460.081759189947
2018-08-31,36094.15505926145,32464.286123823633
2018-09-30,36012.996348127584,32657.291235146164
2018-10-31,34555.81288203872,30400.54448309517
2018-11-30,34801.7065589309,30964.44642178994
2018-12-31,33591.78135984712,28238.082036519394
2019-01-31,35619.52459257424,30498.976203340477
2019-02-28,36201.73278184721,31487.629689823654
2019-03-31,36747.22884952946,32057.56773588829
2019-04-30,37711.60233476819,33367.20452970155
2019-05-31,36373.36721137566,31239.334066261676
2019-06-30,38878.473482717694,33413.17684936971
2019-07-31,39329.504930209805,33918.36357505994
2019-08-31,39996.80668169185,33350.449128209344
2019-09-30,39885.638941193414,33999.38463311517
2019-10-31,40988.48158526424,34750.92625435926
2019-11-30,41511.281966723946,36008.849488448555
2019-12-31,42773.858039906336,37055.10424474988
2020-01-31,43884.21779569397,37040.12961056602
2020-02-29,42090.72595232325,34107.83027861395
2020-03-31,39722.55517478321,29848.73788598829
2020-04-30,43896.39317267054,33639.037502978776
2020-05-31,45748.30258425128,35241.778188664764
2020-06-30,47232.20174761735,35866.769696775205
2020-07-31,50676.97595621266,37979.04881008029
2020-08-31,53303.69827619407,40629.8558551735
2020-09-30,51131.284206262,39108.52938396146
2020-10-31,50131.4684411114,38133.408958126805
2020-11-30,52659.2360443256,42281.44044417422
2020-12-31,55114.473173052196,43847.90281404594
2021-01-31,54395.969279529076,43401.07668968845
2021-02-28,53678.33037434222,44607.85489907104
2021-03-31,54373.705259037226,46633.02288430532
2021-04-30,56836.505267148175,49100.3993332144
2021-05-31,58077.03410374131,49422.803014469
2021-06-30,58372.88288046203,50531.218884150745
