date,portfolio,ticker,cumulative_active_contribution
2025-07-31,Growth 70/30,QQQ,0.205688397467202
2025-08-31,Growth 70/30,QQQ,0.19800255552509546
2025-09-30,Growth 70/30,QQQ,0.2107018644667682
2025-10-31,Growth 70/30,QQQ,0.2274782908208816
2025-11-30,Growth 70/30,QQQ,0.21518599662416255
2025-12-31,Growth 70/30,QQQ,0.2105042538636021
2020-01-31,Growth 70/30,GLD,0.013620171752148202
2020-02-29,Growth 70/30,GLD,0.035461294668564944
2020-03-31,Growth 70/30,GLD,0.07225550406408884
2020-04-30,Growth 70/30,GLD,0.0559435720140814
2020-05-31,Growth 70/30,GLD,0.049414445928374316
2020-06-30,Growth 70/30,GLD,0.05230727020344088
2020-07-31,Growth 70/30,GLD,0.06701107900480036
2020-08-31,Growth 70/30,GLD,0.04510134111700312
2020-09-30,Growth 70/30,GLD,0.04382014043836408
2020-10-31,Growth 70/30,GLD,0.049741987842233874
2020-11-30,Growth 70/30,GLD,0.0008831237821389018
2020-12-31,Growth 70/30,GLD,0.010810140399456243
2021-01-31,Growth 70/30,GLD,0.004195851610845088
2021-02-28,Growth 70/30,GLD,-0.022916531895612893
2021-03-31,Growth 70/30,GLD,-0.03996618867829954
2021-04-30,Growth 70/30,GLD,-0.045149170297896925
2021-05-31,Growth 70/30,GLD,-0.02408385304742319
2021-06-30,Growth 70/30,GLD,-0.05225505140729851
2021-07-31,Growth 70/30,GLD,-0.05198966287441997
2021-08-31,Growth 70/30,GLD,-0.06114719511948673
2021-09-30,Growth 70/30,GLD,-0.05683619182670382
2021-10-31,Growth 70/30,GLD,-0.07344603052792806
2021-11-30,Growth 70/30,GLD,-0.07310581515623332
2021-12-31,Growth 70/30,GLD,-0.07708285883473767
2022-01-31,Growth 70/30,GLD,-0.06629672709847186
2022-02-28,Growth 70/30,GLD,-0.039076519087223364
2022-03-31,Growth 70/30,GLD,-0.04653593708283006
2022-04-30,Growth 70/30,GLD,-0.02641611823869972
2022-05-31,Growth 70/30,GLD,-0.036877925397160144
2022-06-30,Growth 70/30,GLD,-0.016837673234093492
2022-07-31,Growth 70/30,GLD,-0.05222840515857664
2022-08-31,Growth 70/30,GLD,-0.0488178365474115
2022-09-30,Growth 70/30,GLD,-0.029748583474961083
2022-10-31,Growth 70/30,GLD,-0.0594845388574055
2022-11-30,Growth 70/30,GLD,-0.05068639311871343
2022-12-31,Growth 70/30,GLD,-0.02460597463251921
2023-01-31,Growth 70/30,GLD,-0.026194419799442013
2023-02-28,Growth 70/30,GLD,-0.03475438935864685
2023-03-31,Growth 70/30,GLD,-0.022129362755880885
2023-04-30,Growth 70/30,GLD,-0.024334758371005537
2023-05-31,Growth 70/30,GLD,-0.029745585771182213
2023-06-30,Growth 70/30,GLD,-0.05584965942221223
2023-07-31,Growth 70/30,GLD,-0.05880366562985407
2023-08-31,Growth 70/30,GLD,-0.05776129039198669
2023-09-30,Growth 70/30,GLD,-0.05781276832704212
2023-10-31,Growth 70/30,GLD,-0.029182957421138293
2023-11-30,Growth 70/30,GLD,-0.048991948754534664
2023-12-31,Growth 70/30,GLD,-0.058842233544274036
2024-01-31,Growth 70/30,GLD,-0.06788858379254273
2024-02-29,Growth 70/30,GLD,-0.08217560812823466
2024-03-31,Growth 70/30,GLD,-0.06598120550951218
2024-04-30,Growth 70/30,GLD,-0.04491682495942491
2024-05-31,Growth 70/30,GLD,-0.055233960658125164
2024-06-30,Growth 70/30,GLD,-0.06622208889242719
2024-07-31,Growth 70/30,GLD,-0.053753234798947766
2024-08-31,Growth 70/30,GLD,-0.05448617524291633
2024-09-30,Growth 70/30,GLD,-0.045521020817949676
2024-10-31,Growth 70/30,GLD,-0.02994591296102227
2024-11-30,Growth 70/30,GLD,-0.0572083151659986
2024-12-31,Growth 70/30,GLD,-0.05421684038462501
2025-01-31,Growth 70/30,GLD,-0.04191695230594371
2025-02-28,Growth 70/30,GLD,-0.032643628242637085
2025-03-31,Growth 70/30,GLD,0.012411922701923157
2025-04-30,Growth 70/30,GLD,0.03128628469049369
2025-05-31,Growth 70/30,GLD,0.012264895884407153
2025-06-30,Growth 70/30,GLD,-0.0019355774219439927
2025-07-31,Growth 70/30,GLD,-0.01068537669461174
2025-08-31,Growth 70/30,GLD,-0.0018788345016875797
2025-09-30,Growth 70/30,GLD,0.022710311249377252
2025-10-31,Growth 70/30,GLD,0.026235038314956764
2025-11-30,Growth 70/30,GLD,0.04175351666329831
2025-12-31,Growth 70/30,GLD,0.04778876154419204
2020-01-31,Balanced 50/50,QQQ,0.01539403810728146
2020-02-29,Balanced 50/50,QQQ,0.024689636354605804
2020-03-31,Balanced 50/50,QQQ,0.05069626020734219
2020-04-30,Balanced 50/50,QQQ,0.06207294372286143
2020-05-31,Balanced 50/50,QQQ,0.07125479033154702
2020-06-30,Balanced 50/50,QQQ,0.09382094040527189
2020-07-31,Balanced 50/50,QQQ,0.10110770983989692
2020-08-31,Balanced 50/50,QQQ,0.12093292046059645
2020-09-30,Balanced 50/50,QQQ,0.11076151203183665
2020-10-31,Balanced 50/50,QQQ,0.10800383654787815
2020-11-30,Balanced 50/50,QQQ,0.10974437972194429
2020-12-31,Balanced 50/50,QQQ,0.11573218860869006
2021-01-31,Balanced 50/50,QQQ,0.1221341858839517
2021-02-28,Balanced 50/50,QQQ,0.10756384376919559
2021-03-31,Balanced 50/50,QQQ,0.0934482064806933
2021-04-30,Balanced 50/50,QQQ,0.09654200118304646
2021-05-31,Balanced 50/50,QQQ,0.08725289945745723
2021-06-30,Balanced 50/50,QQQ,0.10734989488003838
2021-07-31,Balanced 50/50,QQQ,0.10944817986612482
2021-08-31,Balanced 50/50,QQQ,0.11566163993611284
2021-09-30,Balanced 50/50,QQQ,0.11054852129917686
2021-10-31,Balanced 50/50,QQQ,0.11478684039449333
2021-11-30,Balanced 50/50,QQQ,0.1287884569863474
2021-12-31,Balanced 50/50,QQQ,0.11142628098166268
2022-01-31,Balanced 50/50,QQQ,0.09406192064255875
2022-02-28,Balanced 50/50,QQQ,0.08644050543942705
2022-03-31,Balanced 50/50,QQQ,0.09098465415912971
2022-04-30,Balanced 50/50,QQQ,0.06689052461963724
2022-05-31,Balanced 50/50,QQQ,0.0578288641878314
2022-06-30,Balanced 50/50,QQQ,0.05451970151393365
2022-07-31,Balanced 50/50,QQQ,0.07123449257688491
2022-08-31,Balanced 50/50,QQQ,0.06597459605322542
2022-09-30,Balanced 50/50,QQQ,0.059519882429040605
2022-10-31,Balanced 50/50,QQQ,0.038881490216752246
2022-11-30,Balanced 50/50,QQQ,0.03880651551384107
2022-12-31,Balanced 50/50,QQQ,0.022552147609464224
2023-01-31,Balanced 50/50,QQQ,0.044323273763333115
2023-02-28,Balanced 50/50,QQQ,0.05509552999003725
2023-03-31,Balanced 50/50,QQQ,0.08402026379226685
2023-04-30,Balanced 50/50,QQQ,0.07857246776234
2023-05-31,Balanced 50/50,QQQ,0.11568337787608513
2023-06-30,Balanced 50/50,QQQ,0.11480262616988485
2023-07-31,Balanced 50/50,QQQ,0.11773649520016288
