point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct
33,1.1155202439744396,17.31289768074648,13.40804683871716,26.07312748817641,41.05432635573108,4.854150851406154,28.01839530468635,0.0,0.0,0.0
34,1.114102193272512,17.354178990508874,13.462166290557038,26.25224327999826,41.1156607190718,5.1196998911226865,27.512396109807252,0.0,0.0,0.0
35,1.112678953515425,17.395460300271264,13.516486721309025,26.431359071820175,41.17699508241246,5.385248930839228,27.00639691492814,0.0,0.0,0.0
36,1.111250847862056,17.436741610033657,13.57100571760886,26.610474863642143,41.23832944575307,5.650797970555774,26.50039772004901,0.0,0.0,0.0
37,1.1098181912909535,17.47802291979605,13.62572089596574,26.789590655464025,41.29966380909377,5.9163470102723155,25.99439852516989,0.0,0.0,0.0
38,1.1083812907456319,17.51930422955844,13.68062990251101,26.96870644728596,41.36099817243441,6.181896049988861,25.48839933029077,0.0,0.0,0.0
39,1.1069404452795455,17.560585539320826,13.735730412742363,27.147822239107946,41.422332535775006,6.447445089705401,24.98240013541165,0.0,0.0,0.0
40,1.1054959462006013,17.60186684908322,13.791020131263984,27.32693803092983,41.48366689911569,6.71299412942194,24.476400940532535,0.0,0.0,0.0
41,1.1040480772150685,17.643148158845616,13.846496791523027,27.506053822751714,41.5450012624564,6.9785431691384865,23.970401745653405,0.0,0.0,0.0
42,1.102597114570779,17.684429468608005,13.902158155542699,27.685169614573596,41.60633562579707,7.244092208855005,23.46440255077433,0.0,0.0,0.0
43,1.1011433271994933,17.72571077837039,13.958002013652365,27.86428540639554,41.66766998913772,7.509641248571576,22.958403355895157,0.0,0.0,0.0
44,1.0996869768583328,17.766992088132792,14.01402618421489,28.04340119821747,41.72900435247836,7.775190288288113,22.452404161016045,0.0,0.0,0.0
45,1.0982283182701709,17.80827339789518,14.07022851335164,28.22251699003946,41.790338715818955,8.040739328004658,21.946404966136924,0.0,0.0,0.0
46,1.096767599262905,17.84955470765757,14.126606874665354,28.40163278186138,41.85167307915961,8.306288367721198,21.44040577125781,0.0,0.0,0.0
47,1.0953050609075126,17.890836017419964,14.183159168961174,28.580748573683252,41.91300744250031,8.571837407437748,20.934406576378688,0.0,0.0,0.0
48,1.093840937654821,17.932117327182358,14.239883323966124,28.759864365505255,41.97434180584089,8.83738644715429,20.428407381499568,0.0,0.0,0.0
49,1.0923754574709204,17.973398636944744,14.296777294047258,28.938980157327084,42.03567616918163,9.102935486870805,19.92240818662049,0.0,0.0,0.0
50,1.0909088419711448,18.014679946707137,14.353839059928822,29.118095949149094,42.0970105325222,9.368484526587368,19.41640899174135,0.0,0.0,0.0
51,1.0894413065525774,18.05596125646953,14.411066628408431,29.297211740970948,42.15834489586293,9.634033566303914,18.91040979686221,0.0,0.0,0.0
52,1.0879730605250102,18.097242566231923,14.468458032072808,29.47632753279286,42.2196792592036,9.89958260602046,18.40441060198308,0.0,0.0,0.0
53,1.0865043072403229,18.138523875994313,14.526011329012961,29.6554433246147,42.281013622544315,10.165131645736968,17.898411407104028,0.0,0.0,0.0
54,1.0850352442202236,18.179805185756702,14.583724602539291,29.834559116436687,42.342347985884906,10.43068068545352,17.392412212224887,0.0,0.0,0.0
55,1.0835660632823256,18.221086495519096,14.64159596089657,30.013674908258615,42.40368234922557,10.696229725170058,16.886413017345774,0.0,0.0,0.0
