point,ex_ante_sharpe,ex_post_sharpe,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_sharpe,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
17,1.3076976500734616,1.3076976500734616,17.852982440123892,10.716161859521565,-10.014095343033025,10.014095343033025,48.148148148148145,140.68190901436796,1.3026102686515553,7,108,0.0031372287795004006,0.04906651748613022,0.0,0.005440391834474756,1.5640082676388045,0.0,0.17341393366094046,gmv_to_max_sharpe
18,1.3106735558993283,1.310673555899328,17.912218345772363,10.73702564899584,-10.06322249430367,10.06322249430367,49.074074074074076,141.33945202106537,1.3086986298246794,8,108,0.0029759058258664872,0.049127151270644376,0.9259259259259309,0.006088361173124168,1.6508301722330259,31.114086940447166,0.20458850277466142,gmv_to_max_sharpe
19,1.313488930510474,1.313488930510474,17.971454251420827,10.759109699773331,-10.112410279358809,10.112410279358809,49.074074074074076,142.09873056206254,1.3157289866857642,8,108,0.0028153746111458933,0.04918778505513899,0.0,0.007030356861084774,1.7471133276689932,0.0,0.24971301628039227,gmv_to_max_sharpe
20,1.3161447196432925,1.3161447196432918,18.03069015706929,10.782406514000048,-10.161658698198439,10.161658698198439,49.074074074074076,142.8570371108877,1.3227503436193304,8,108,0.002655789132817832,0.04924841883963005,0.0,0.007021356933566203,1.8543798613776519,0.0,0.2643793080859714,gmv_to_max_sharpe
21,1.3186420182740404,1.3186420182740397,18.089926062717755,10.806908248494429,-10.210967750822586,10.210967750822586,49.074074074074076,143.61437230878914,1.3297627065628623,8,108,0.0024972986307478795,0.04930905262414775,0.0,0.0070123629435319135,1.974495641691875,0.0,0.28079793330250946,gmv_to_max_sharpe
22,1.3209820655446836,1.3209820655446831,18.14916196836622,10.83260672721184,-10.260337437231225,10.260337437231225,50.0,144.37804274610696,1.33683372913062,8,108,0.0023400472706434083,0.04936968640863881,0.9259259259259238,0.007071022567757712,2.109773038690127,39.56868468179857,0.30217434735040616,gmv_to_max_sharpe
23,1.323166239402182,1.3231662394021817,18.208397874014683,10.859493454039452,-10.30976775742436,10.30976775742436,50.0,145.15024572744505,1.3439837567356023,8,108,0.0021841738574985836,0.0494303201931352,0.0,0.00715002760498229,2.26311289384926,0.0,0.32735615713168686,gmv_to_max_sharpe
24,1.3251960509818064,1.3251960509818062,18.267633779663143,10.88755962587798,-10.359258711401987,10.359258711401987,50.0,145.9214792801679,1.3511248081497027,8,108,0.002029811579624452,0.04949095397762626,0.0,0.0071410514141003745,2.4382043375071736,0.0,0.3518085858699055,gmv_to_max_sharpe
25,1.3270815894405417,1.3270815894405417,18.326869685311607,10.916726629293658,-10.408904900028693,10.408904900028693,50.0,146.49535125594687,1.3564384375550635,8,108,0.001885538458735514,0.049646188626706333,0.0,0.005313629405360842,2.6329979320602255,0.0,0.2818096539343083,gmv_to_max_sharpe
26,1.3288544056215184,1.3288544056215181,18.386105590960074,10.946739364976397,-10.45862841646532,10.45862841646532,50.0,146.9584586700642,1.3607264691672611,8,108,0.0017728161809764664,0.04972351643662698,0.0,0.004288031612197596,2.8047756428553856,0.0,0.24187683180078773,gmv_to_max_sharpe
