portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
optimized,19,2016-11-30,0,0.0,-0.00948321144705766,-0.00948321144705766,True
optimized,19,2016-12-31,1,100.0,0.0,-0.00948321144705766,True
optimized,20,2024-08-31,0,0.0,-0.0061705449011209,-0.0061705449011209,True
optimized,20,2024-09-30,1,100.0,0.0,-0.0061705449011209,True
optimized,21,2025-12-31,0,0.0,-0.0046887023229494895,-0.0046887023229494895,True
optimized,21,2026-01-31,1,100.0,0.0,-0.0046887023229494895,True
optimized,22,2023-07-31,0,0.0,-0.0015392908512898984,-0.0015392908512898984,True
optimized,22,2023-08-31,1,100.0,0.0,-0.0015392908512898984,True
optimized,23,2017-01-31,0,0.0,-0.0014383598980013401,-0.0014383598980013401,True
optimized,23,2017-02-28,1,100.0,0.0,-0.0014383598980013401,True
provided,1,2020-03-31,0,0.0,-0.14861433759741582,-0.14861433759741582,True
provided,1,2020-04-30,1,76.66208766647118,-0.034683483823539474,-0.14861433759741582,True
provided,1,2020-05-31,2,100.0,0.0,-0.14861433759741582,True
provided,2,2018-12-31,0,0.0,-0.10850534198342332,-0.10850534198342332,True
provided,2,2019-01-31,1,61.6802438156378,-0.041578982495056205,-0.10850534198342332,True
provided,2,2019-02-28,2,80.43847819646169,-0.021225296130091165,-0.10850534198342332,True
provided,2,2019-03-31,3,100.0,0.0,-0.10850534198342332,True
provided,3,2020-10-31,0,0.0,-0.10640316063864308,-0.10640316063864308,True
provided,3,2020-11-30,1,62.99423502504035,-0.039375303551865026,-0.10640316063864308,True
provided,3,2020-12-31,2,100.0,0.0,-0.10640316063864308,True
provided,4,2026-07-31,0,0.0,-0.09203618504634148,-0.09203618504634148,False
provided,4,2026-08-31,1,28.110658221979623,-0.0661642076274157,-0.09203618504634148,False
provided,5,2022-06-30,0,0.0,-0.068494520621463,-0.068494520621463,True
provided,5,2022-07-31,1,68.62355981589833,-0.02149114229218052,-0.068494520621463,True
provided,5,2022-08-31,2,77.8807059005236,-0.015150504458287917,-0.068494520621463,True
provided,5,2022-09-30,3,38.66315476777593,-0.04201237810614056,-0.068494520621463,True
