date,optimized_drawdown,provided_drawdown
2022-11-30,-0.17768272001772267,-0.19133785317378105
2022-12-31,-0.22513749654262782,-0.22396229224340503
2023-01-31,-0.16030225510671048,-0.15091470364406812
2023-02-28,-0.17682645041464584,-0.18313941171468529
2023-03-31,-0.1160499989387721,-0.1358081426265353
2023-04-30,-0.10795359835978924,-0.13900483443784484
2023-05-31,-0.0737243843920331,-0.13112685915085853
2023-06-30,-0.029512650040822375,-0.09825708154790813
2023-07-31,0.0,-0.05968521294070983
2023-08-31,-0.014894700635122882,-0.09228876953914278
2023-09-30,-0.06331104592534698,-0.13665306190630244
2023-10-31,-0.06652095299818273,-0.1540990820288648
2023-11-30,0.0,-0.08234164135947963
2023-12-31,0.0,-0.04402302312093731
2024-01-31,0.0,-0.057765068045650625
2024-02-29,0.0,-0.02218760948193166
2024-03-31,0.0,0.0
2024-04-30,-0.028965643767676408,-0.012615571414396398
2024-05-31,0.0,0.0
2024-06-30,0.0,0.0
2024-07-31,0.0,0.0
2024-08-31,0.0,0.0
2024-09-30,0.0,0.0
2024-10-31,0.0,-0.018618915837326
2024-11-30,0.0,-0.00578034928664084
2024-12-31,-0.00790477352228769,-0.027720731712723046
2025-01-31,0.0,0.0
2025-02-28,-0.014113918680751736,0.0
2025-03-31,-0.0514290014317792,-0.013936433067406218
2025-04-30,-0.0378132009204859,-0.018098956388282184
2025-05-31,0.0,0.0
2025-06-30,0.0,0.0
2025-07-31,0.0,0.0
2025-08-31,0.0,0.0
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,0.0,-0.004748945586515285
2025-12-31,0.0,0.0
2026-01-31,0.0,0.0
2026-02-28,0.0,0.0
2026-03-31,-0.060254369216591,-0.06992698882916948
2026-04-30,0.0,0.0
2026-05-31,0.0,0.0
2026-06-30,-0.025716009456902222,-0.024614698205688734
2026-07-31,-0.05607874785369826,-0.05510469674808949
