date,optimized,optimized,provided,provided
,36m,60m,36m,60m
2019-08-31,0.1417290542563059,0.11302515242621602,0.10717259104119181,0.07460492409599273
2019-09-30,0.1387190831187437,0.11841920047044474,0.10281134214236398,0.08344204008586775
2019-10-31,0.15840989142330342,0.12250816306327805,0.12264462566090728,0.08688610062516089
2019-11-30,0.16896831922628874,0.12148094511151464,0.12765011763806888,0.08770311052059943
2019-12-31,0.17926821507136292,0.13147296273158227,0.14350373067548894,0.09721651341503312
2020-01-31,0.17244807262830641,0.1375355603540409,0.12410246259610758,0.09780281483464592
2020-02-29,0.1350221685705315,0.11504500953095809,0.10252128861297627,0.08380234330829972
2020-03-31,0.10192603641941766,0.10215305893693638,0.06970211877236032,0.0677068300624577
2020-04-30,0.13961618539055864,0.12629757844683254,0.0996330590693717,0.08208022037337459
2020-05-31,0.1503109626760819,0.13426663918309822,0.10309721039931219,0.09200459617483281
2020-06-30,0.17156502162379672,0.1486690499998118,0.12139712577853445,0.10978319022427674
2020-07-31,0.18808496104539407,0.16141758314812216,0.13311146348230718,0.1270390812074893
2020-08-31,0.20981213849264946,0.18980782572604782,0.14562390421377702,0.1516053580969674
2020-09-30,0.19052995637968584,0.18340788247487194,0.13645062572751732,0.14766324232152028
2020-10-31,0.16970688972139047,0.15801112849540155,0.11887780155244587,0.12908066821363784
2020-11-30,0.19224071040061608,0.1779993102089168,0.14440208249203312,0.1523317856934392
2020-12-31,0.20717190081219572,0.19278400162162357,0.1539674051659119,0.16535732479265985
2021-01-31,0.17805793392941327,0.20068747385713426,0.13602693112512632,0.17568687542807315
2021-02-28,0.18530419602491754,0.19690893784183316,0.15192975516384744,0.1755200180071308
2021-03-31,0.20470938519667992,0.18929287943905382,0.15811714694648948,0.1622001627825016
2021-04-30,0.22457653324934013,0.20284410639470507,0.1765015505897174,0.17350701394684487
2021-05-31,0.2152537293584289,0.20155522108218293,0.17291524287448579,0.17659773078866148
2021-06-30,0.22499041468408576,0.20597957697206692,0.18399974752586878,0.17521582984490758
2021-07-31,0.22707904903938392,0.20036846135644848,0.18395032195043504,0.16641086325244636
2021-08-31,0.22523740533276793,0.20765908138486822,0.18439574522524405,0.1692785243482151
2021-09-30,0.20517989851663976,0.1926380148973832,0.16345332701412962,0.15303875164600678
2021-10-31,0.2563659414948374,0.21199640829252542,0.21195932373139126,0.16978866395723657
2021-11-30,0.2568028319212059,0.2139279625534216,0.20082822866169914,0.1672871709682724
2021-12-31,0.2949995403767607,0.21822039970960083,0.22848465751954672,0.1724049860073067
2022-01-31,0.23663078000447668,0.1926460566623418,0.17807471663024876,0.14856227583432946
2022-02-28,0.21855203181512528,0.1784628984669936,0.16367806581901623,0.13781590381842923
2022-03-31,0.22455127030456845,0.18487661118600096,0.16071400023963767,0.1375749367890131
2022-04-30,0.1675421355644935,0.15575005841518763,0.1164971388870013,0.1135408125909041
2022-05-31,0.18567664231902614,0.1472768691703179,0.13743688001478915,0.10553064594335959
2022-06-30,0.12852777718898167,0.1330300689840065,0.08868516391309833,0.09054022775890314
2022-07-31,0.15401009185840797,0.14503478995829044,0.10549392187993956,0.09274990470444355
2022-08-31,0.13686391716718926,0.13050399337273433,0.09189408275384436,0.07933814820786989
2022-09-30,0.10125312949961263,0.11040787058153834,0.05308171940543249,0.05843003048283868
