point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct,weight_PTF_pct,weight_QLD_pct
43,1.0409690848851791,22.066411360946297,18.934723083654685,0.0,40.23560336634241,0.0,30.0,0.0,0.0,0.008178289016644864,0.0,29.75621834464095
44,1.0384408493254709,22.2056660467936,19.114922202537745,0.0,39.390835693620495,0.0,30.0,0.0,0.0,0.0,0.0,30.609164306379505
45,1.035912997898551,22.344920732640897,19.295993749658937,0.0,38.53521240857468,0.0,30.0,0.0,0.0,0.0,0.0,31.46478759142532
46,1.0333871423118253,22.484175418488196,19.47791354695846,0.0,37.67958912352885,0.0,30.0,0.0,0.0,0.0,0.0,32.32041087647115
47,1.0308647887038132,22.623430104335498,19.660658047908868,0.0,36.823965838483026,0.0,30.0,0.0,0.0,0.0,0.0,33.176034161516974
48,1.0283473354924528,22.762684790182792,19.84420446853247,0.0,35.96834255343721,0.0,30.0,0.0,0.0,0.0,0.0,34.03165744656279
49,1.0258360795563612,22.901939476030098,20.028530761869412,0.0,35.11271926839139,0.0,30.0,0.0,0.0,0.0,0.0,34.88728073160862
50,1.0233322221132575,23.041194161877392,20.213615593146102,0.0,34.25709598334555,0.0,30.0,0.0,0.0,0.0,0.0,35.74290401665445
51,1.0208368743050633,23.180448847724698,20.399438315647657,0.0,33.40147269829969,0.0,30.0,0.0,0.0,0.0,0.0,36.5985273017003
52,1.0183510624996115,23.319703533572,20.58597894729451,0.0,32.54584941325386,0.0,30.0,0.0,0.0,0.0,0.0,37.45415058674613
53,1.015875733319237,23.458958219419298,20.773218147920574,0.0,31.69022612820804,0.0,30.0,0.0,0.0,0.0,0.0,38.30977387179196
54,1.013411758406682,23.598212905266593,20.961137197247794,0.0,30.83460284316224,0.0,30.0,0.0,0.0,0.0,0.0,39.16539715683776
55,1.010959938938851,23.737467591113894,21.149717973549865,0.0,29.978979558116386,0.0,30.0,0.0,0.0,0.0,0.0,40.02102044188361
56,1.0085210098989543,23.8767222769612,21.338942932995916,0.0,29.12335627307055,0.0,30.0,0.0,0.0,0.0,0.0,40.876643726929444
57,1.0060956441174924,24.015976962808498,21.52879508966349,0.0,28.267732988024726,0.0,30.0,0.0,0.0,0.0,0.0,41.732267011975274
58,1.0036844560924145,24.155231648655793,21.719257996208935,0.0,27.412109702978928,0.0,30.0,0.0,0.0,0.0,0.0,42.587890297021076
59,1.0012880055985982,24.294486334503095,21.910315725182006,0.0,26.556486417933094,0.0,30.0,0.0,0.0,0.0,0.0,43.44351358206691
60,0.998906801096569,24.433741020350393,22.101952850970758,0.0,25.700863132887253,0.0,30.0,0.0,0.0,0.0,0.0,44.29913686711274
61,0.9965413029501318,24.5729957061977,22.294154432362216,0.0,24.845239847841434,0.0,30.0,0.0,0.0,0.0,0.0,45.15476015215857
62,0.9941919264622995,24.712250392044997,22.4869059957034,0.0,23.9896165627956,0.0,30.0,0.0,0.0,0.0,0.0,46.010383437204396
63,0.9918590447386075,24.851505077892295,22.680193518647325,0.0,23.13399327774977,0.0,30.0,0.0,0.0,0.0,0.0,46.86600672225023
64,0.9895429913865899,24.990759763739597,22.87400341446786,0.0,22.278369992703944,0.0,30.0,0.0,0.0,0.0,0.0,47.72163000729606
65,0.987244063059863,25.130014449586895,23.068322516927566,0.0,21.42274670765812,0.0,30.0,0.0,0.0,0.0,0.0,48.57725329234188
66,0.9849625218549491,25.269269135434197,23.263138065682192,0.0,20.56712342261231,0.0,30.0,0.0,0.0,0.0,0.0,49.4328765773877
67,0.982647938387004,25.4085238212815,23.45964706252965,0.0,20.617087509465602,0.0,29.38291249053439,0.0,0.0,0.0,0.0,50.0
68,0.9801018089890011,25.5477785071288,23.66267289216794,0.0,22.44722509620819,0.0,27.552774903791803,0.0,0.0,0.0,0.0,50.0
69,0.9773600084749444,25.6870331929761,23.871534532481554,0.0,24.27736268295077,0.0,25.722637317049223,0.0,0.0,0.0,0.0,50.0
70,0.9744357618302001,25.826287878823393,24.086080168836425,0.0,26.10750026969328,0.0,23.892499730306717,0.0,0.0,0.0,0.0,50.0
71,0.9713419666888502,25.965542564670695,24.30615928718907,0.0,27.93763785643581,0.0,22.062362143564197,0.0,0.0,0.0,0.0,50.0
