point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPY_pct,weight_EWY_pct,weight_EEM_pct,weight_EWJ_pct,weight_TLT_pct,weight_GLD_pct
23,0.7254557174940116,12.565094026217615,12.027765523357328,0.0,43.19816640869266,0.0,0.0,0.0,16.78084381902783,40.020989772279506
24,0.7369975246946074,12.711643670870487,12.038250624961313,0.0,43.52751130773434,0.0,0.0,0.0,16.16492729020335,40.3075614020623
25,0.7484909000177854,12.858193315523364,12.049191989760164,0.0,43.856856206776044,0.0,0.0,0.0,15.549010761378874,40.59413303184508
26,0.7599347491041972,13.004742960176237,12.060588375988145,0.0,44.18620110581774,0.0,0.0,0.0,14.933094232554387,40.880704661627874
27,0.7713280005565103,13.151292604829115,12.072438495024153,0.0,44.51554600485944,0.0,0.0,0.0,14.3171777037299,41.167276291410666
28,0.7826696063567469,13.29784224948199,12.084741012097137,0.0,44.84489090390113,0.0,0.0,0.0,13.701261174905413,41.45384792119346
29,0.7939585422575398,13.444391894134867,12.09749454701199,0.0,45.17423580294283,0.0,0.0,0.0,13.085344646080923,41.740419550976256
30,0.8051938081471073,13.590941538787737,12.11069767489503,0.0,45.50358070198452,0.0,0.0,0.0,12.469428117256445,42.02699118075904
31,0.8163744283878174,13.737491183440614,12.124348926958174,0.0,45.83292560102621,0.0,0.0,0.0,11.853511588431957,42.313562810541825
32,0.8274994521282478,13.884040828093488,12.13844679128086,0.0,46.16227050006791,0.0,0.0,0.0,11.237595059607473,42.60013444032462
33,0.8385679535887157,14.03059047274636,12.152989713608832,0.0,46.491615399109605,0.0,0.0,0.0,10.621678530782992,42.8867060701074
34,0.8495790323202764,14.177140117399233,12.167976098168849,0.0,46.82096029815129,0.0,0.0,0.0,10.00576200195851,43.17327769989019
35,0.8605318134372627,14.323689762052114,12.183404308498327,0.0,47.15030519719299,0.0,0.0,0.0,9.389845473134017,43.459849329672984
36,0.8714254478234634,14.470239406704987,12.199272668289021,0.0,47.479650096234685,0.0,0.0,0.0,8.773928944309533,43.746420959455776
37,0.8822591123121034,14.616789051357859,12.215579462243792,0.0,47.808994995276386,0.0,0.0,0.0,8.158012415485056,44.03299258923855
38,0.8930320098398131,14.763338696010736,12.232322936945456,0.0,48.13833989431807,0.0,0.0,0.0,7.542095886660566,44.31956421902135
39,0.9037433695748306,14.909888340663608,12.249501301736831,0.0,48.46768479335976,0.0,0.0,0.0,6.9261793578361015,44.606135848804136
40,0.9143924470197248,15.056437985316482,12.267112729610972,0.0,48.79702969240146,0.0,0.0,0.0,6.310262829011619,44.89270747858692
41,0.9249785240889494,15.202987629969355,12.28515535811068,0.0,49.12637459144315,0.0,0.0,0.0,5.694346300187134,45.17927910836971
42,0.9355009091615979,15.349537274622232,12.303627290236339,0.0,49.45571949048485,0.0,0.0,0.0,5.078429771362637,45.46585073815251
43,0.9459589371097491,15.496086919275106,12.322526595361117,0.0,49.78506438952655,0.0,0.0,0.0,4.46251324253816,45.75242236793529
44,0.9563519693028381,15.642636563927981,12.341851310152641,0.0,50.11440928856824,0.0,0.0,0.0,3.846596713713678,46.03899399771808
45,0.9666793935885136,15.789186208580855,12.361599439500202,0.0,50.44375418760993,0.0,0.0,0.0,3.230680184889189,46.32556562750087
46,0.9769406242504769,15.935735853233728,12.381768957446582,0.0,50.77309908665163,0.0,0.0,0.0,2.6147636560647154,46.612137257283656
47,0.9871351019438266,16.082285497886605,12.402357808123613,0.0,51.10244398569333,0.0,0.0,0.0,1.9988471272402177,46.898708887066455
48,0.997262293608458,16.228835142539477,12.423363906690588,0.0,51.431788884735006,0.0,0.0,0.0,1.3829305984157525,47.18528051684924
49,1.0073216923610944,16.375384787192353,12.444785140274657,0.0,51.761133783776714,0.0,0.0,0.0,0.7670140695912545,47.47185214663203
50,1.0173128173665442,16.521934431845224,12.466619368912337,0.0,52.09047868281841,0.0,0.0,0.0,0.151097540766774,47.758423776414816
51,1.0268589181940424,16.668484076498107,12.493441007884549,0.0,50.5584404228101,0.0,0.0,0.0,0.0,49.441559577189906
52,1.035047058048775,16.81503372115098,12.536194235449766,0.0,48.42132701530757,0.0,0.0,0.0,0.0,51.57867298469243
53,1.0418337405166473,16.961583365803854,12.595196428055678,0.0,46.28421360780503,0.0,0.0,0.0,0.0,53.715786392194964
54,1.0472311956003746,17.108133010456726,12.67022058508213,0.0,44.14710020030249,0.0,0.0,0.0,0.0,55.85289979969751
55,1.0512798002139556,17.254682655109598,12.760827225785803,0.47388581097982874,41.69792651912805,0.0,0.0,0.0,0.0,57.82818766989212
56,1.054522951806006,17.401232299762476,12.860554166142663,3.0858761493192177,37.840781827874714,0.0,0.0,0.0,0.0,59.07334202280607
57,1.0571969827761776,17.54778194441535,12.966646149326829,6.6305432197315595,33.36945678026844,0.0,0.0,0.0,0.0,60.0
58,1.058312311459833,17.694331589068224,13.09145578334641,12.888812075925129,27.111187924074876,0.0,0.0,0.0,0.0,60.0
59,1.057554312151512,17.8408812337211,13.239413157529139,19.147080932118694,20.852919067881313,0.0,0.0,0.0,0.0,60.0
60,1.0550693261523778,17.98743087837397,13.409496199977639,24.488159444836583,15.347225456087532,0.1646150990758992,0.0,0.0,0.0,60.0
61,1.0517741698594465,18.13398052302685,13.590843142988007,25.66683930080737,13.256873282059034,1.0762874171336043,0.0,0.0,0.0,60.0
62,1.0481326762515002,18.28053016767972,13.777881117785029,26.845519156778124,11.166521108030633,1.9879597351912404,0.0,0.0,0.0,60.0
63,1.0441802897788601,18.427079812332597,13.97038154857464,28.02419901274901,9.076168934002087,2.899632053248907,0.0,0.0,0.0,60.0
64,1.0399505963405613,18.57362945698547,14.16812178406566,29.20287886871977,6.985816759973693,3.8113043713065378,0.0,0.0,0.0,60.0
65,1.0354752538912013,18.72017910163834,14.370885530192675,30.3815587246906,4.895464585945257,4.722976689364158,0.0,0.0,0.0,60.0
66,1.0307839585900653,18.866728746291216,14.578463180805812,31.56023858066133,2.8051124119168365,5.63464900742184,0.0,0.0,0.0,60.0
67,1.0259044411343103,19.01327839094409,14.790652056780464,32.73891843663219,0.714760237888336,6.546321325479484,0.0,0.0,0.0,60.0
68,1.0208105273273833,19.159828035596966,15.008020457123383,32.241115243526565,0.0,7.758884756473439,0.0,0.0,0.0,60.0
69,1.0153633655034702,19.306377680249838,15.232866820992557,30.87220820669253,0.0,9.127791793307475,0.0,0.0,0.0,60.0
70,1.0095944919594941,19.452927324902717,15.465065123303438,29.503301169858382,0.0,10.496698830141614,0.0,0.0,0.0,60.0
71,1.003547117121625,19.59947696955559,15.704289257626225,28.134394133024326,0.0,11.865605866975685,0.0,0.0,0.0,60.0
72,0.9972615274792634,19.746026614208464,15.950223103255656,26.76548709619023,0.0,13.234512903809769,0.0,0.0,0.0,60.0
73,0.9907750615770763,19.89257625886134,16.20256112894886,25.396580059356143,0.0,14.60341994064386,0.0,0.0,0.0,60.0
74,0.9841221350495791,20.039125903514215,16.46100881988332,24.02767302252207,0.0,15.972326977477943,0.0,0.0,0.0,60.0
75,0.9773343051372491,20.18567554816709,16.72528294936999,22.658765985687946,0.0,17.341234014312057,0.0,0.0,0.0,60.0
76,0.9704403660140128,20.332225192819962,16.99511171607748,21.289858948853887,0.0,18.710141051146113,0.0,0.0,0.0,60.0
