portfolio,rank,date,month_since_bottom,recovery_progress_pct,recovered,drawdown_pct,maximum_drawdown_pct
benchmark,2,2025-06-30,2,61.07660405308464,True,-3.3968989450362086,-8.727139198411615
benchmark,2,2025-07-31,3,100.0,True,0.0,-8.727139198411615
benchmark,3,2026-07-31,0,0.0,False,-8.234183406494822,-8.234183406494822
benchmark,3,2026-08-31,1,0.8593307500953918,False,-8.163424536463559,-8.234183406494822
benchmark,4,2023-10-31,0,0.0,True,-5.16301878719112,-5.16301878719112
benchmark,4,2023-11-30,1,78.99372778905898,True,-1.0845577807393925,-5.16301878719112
benchmark,4,2023-12-31,2,100.0,True,0.0,-5.16301878719112
benchmark,5,2026-03-31,0,0.0,True,-1.5483721436609477,-1.5483721436609477
benchmark,5,2026-04-30,1,100.0,True,0.0,-1.5483721436609477
benchmark,6,2024-04-30,0,0.0,True,-1.4966215822457163,-1.4966215822457163
benchmark,6,2024-05-31,1,100.0,True,0.0,-1.4966215822457163
benchmark,7,2023-05-31,0,0.0,True,-0.862244003544621,-0.862244003544621
benchmark,7,2023-06-30,1,100.0,True,0.0,-0.862244003544621
benchmark,8,2024-08-31,0,0.0,True,-0.46211123581548774,-0.46211123581548774
benchmark,8,2024-09-30,1,100.0,True,0.0,-0.46211123581548774
benchmark,9,2023-07-31,0,0.0,True,-0.2500989304618506,-0.2500989304618506
benchmark,9,2023-08-31,1,100.0,True,0.0,-0.2500989304618506
