portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
optimized,12,2019-11-30,1,90.17643604837187,-0.0017947936355845462,-0.01827029013525261,True
optimized,12,2019-12-31,2,100.0,0.0,-0.01827029013525261,True
optimized,13,2016-08-31,0,0.0,-0.016022042281068183,-0.016022042281068183,True
optimized,13,2016-09-30,1,10.227581350445288,-0.014383374872769195,-0.016022042281068183,True
optimized,13,2016-10-31,2,100.0,0.0,-0.016022042281068183,True
optimized,14,2023-09-30,0,0.0,-0.015795188851590924,-0.015795188851590924,True
optimized,14,2023-10-31,1,49.403226260995396,-0.00799185596488794,-0.015795188851590924,True
optimized,14,2023-11-30,2,100.0,0.0,-0.015795188851590924,True
optimized,15,2017-03-31,0,0.0,-0.01293123220344039,-0.01293123220344039,True
optimized,15,2017-04-30,1,100.0,0.0,-0.01293123220344039,True
optimized,16,2016-11-30,0,0.0,-0.012498743159462533,-0.012498743159462533,True
optimized,16,2016-12-31,1,100.0,0.0,-0.012498743159462533,True
optimized,17,2019-05-31,0,0.0,-0.011860080195852163,-0.011860080195852163,True
optimized,17,2019-06-30,1,100.0,0.0,-0.011860080195852163,True
optimized,18,2025-04-30,0,0.0,-0.010434859191238322,-0.010434859191238322,True
optimized,18,2025-05-31,1,100.0,0.0,-0.010434859191238322,True
optimized,19,2023-05-31,0,0.0,-0.009322011034389122,-0.009322011034389122,True
optimized,19,2023-06-30,1,100.0,0.0,-0.009322011034389122,True
optimized,20,2024-08-31,0,0.0,-0.006547100384680871,-0.006547100384680871,True
optimized,20,2024-09-30,1,100.0,0.0,-0.006547100384680871,True
optimized,21,2023-07-31,0,0.0,-0.004687542336897943,-0.004687542336897943,True
optimized,21,2023-08-31,1,100.0,0.0,-0.004687542336897943,True
optimized,22,2025-12-31,0,0.0,-0.003557198673206363,-0.003557198673206363,True
optimized,22,2026-01-31,1,100.0,0.0,-0.003557198673206363,True
optimized,23,2017-01-31,0,0.0,-6.747030936526954e-05,-6.747030936526954e-05,True
optimized,23,2017-02-28,1,100.0,0.0,-6.747030936526954e-05,True
provided,1,2020-03-31,0,0.0,-0.1486143183147821,-0.1486143183147821,True
provided,1,2020-04-30,1,76.6620546093413,-0.03468352845100353,-0.1486143183147821,True
provided,1,2020-05-31,2,100.0,0.0,-0.1486143183147821,True
provided,2,2018-12-31,0,0.0,-0.10850523825083658,-0.10850523825083658,True
provided,2,2019-01-31,1,61.68033661690296,-0.04157884205074802,-0.10850523825083658,True
provided,2,2019-02-28,2,80.43848107305985,-0.021225272717158905,-0.10850523825083658,True
provided,2,2019-03-31,3,100.0,0.0,-0.10850523825083658,True
provided,3,2020-10-31,0,0.0,-0.106403019521364,-0.106403019521364,True
provided,3,2020-11-30,1,62.994243759945235,-0.03937524203613385,-0.106403019521364,True
provided,3,2020-12-31,2,100.0,0.0,-0.106403019521364,True
provided,4,2026-07-31,0,0.0,-0.09203618504634148,-0.09203618504634148,False
provided,4,2026-08-31,1,28.110658221979506,-0.06616420762741582,-0.09203618504634148,False
provided,5,2022-06-30,0,0.0,-0.06849452595121797,-0.06849452595121797,True
provided,5,2022-07-31,1,68.62359829318022,-0.021491117609636068,-0.06849452595121797,True
provided,5,2022-08-31,2,77.88074977344701,-0.015150475586641177,-0.06849452595121797,True
provided,5,2022-09-30,3,38.66315136018395,-0.04201238370925808,-0.06849452595121797,True
provided,5,2022-10-31,4,100.0,0.0,-0.06849452595121797,True
provided,6,2018-03-31,0,0.0,-0.05658860152855538,-0.05658860152855538,True
provided,6,2018-04-30,1,36.71191501763656,-0.03581384222572315,-0.05658860152855538,True
provided,6,2018-05-31,2,84.80957416323989,-0.008596049547254903,-0.05658860152855538,True
provided,6,2018-06-30,3,100.0,0.0,-0.05658860152855538,True
provided,7,2022-12-31,0,0.0,-0.052645531240094856,-0.052645531240094856,True
provided,7,2023-01-31,1,39.53336194126979,-0.0318329828290439,-0.052645531240094856,True
provided,7,2023-02-28,2,54.603831163867476,-0.02389905424643235,-0.052645531240094856,True
provided,7,2023-03-31,3,100.0,0.0,-0.052645531240094856,True
provided,8,2025-04-30,0,0.0,-0.045627687617958324,-0.045627687617958324,True
provided,8,2025-05-31,1,37.48142409188608,-0.02852578051855037,-0.045627687617958324,True
provided,8,2025-06-30,2,100.0,0.0,-0.045627687617958324,True
provided,9,2019-05-31,0,0.0,-0.03601652948163514,-0.03601652948163514,True
provided,9,2019-06-30,1,100.0,0.0,-0.03601652948163514,True
provided,10,2023-05-31,0,0.0,-0.03599891390204346,-0.03599891390204346,True
provided,10,2023-06-30,1,100.0,0.0,-0.03599891390204346,True
provided,11,2023-10-31,0,0.0,-0.027408336597855798,-0.027408336597855798,True
provided,11,2023-11-30,1,70.49904544809124,-0.008085720923167616,-0.027408336597855798,True
provided,11,2023-12-31,2,100.0,0.0,-0.027408336597855798,True
provided,12,2017-03-31,0,0.0,-0.02236892540051405,-0.02236892540051405,True
provided,12,2017-04-30,1,87.45543558957625,-0.0028060842547871223,-0.02236892540051405,True
provided,12,2017-05-31,2,94.72061849123705,-0.0011809409113037184,-0.02236892540051405,True
provided,12,2017-06-30,3,100.0,0.0,-0.02236892540051405,True
provided,13,2016-01-31,0,0.0,-0.021572085633173255,-0.021572085633173255,True
provided,13,2016-02-29,1,100.0,0.0,-0.021572085633173255,True
provided,14,2024-08-31,0,0.0,-0.021145950093651833,-0.021145950093651833,True
provided,14,2024-09-30,1,78.56731481363593,-0.0045321449132380565,-0.021145950093651833,True
provided,14,2024-10-31,2,100.0,0.0,-0.021145950093651833,True
provided,15,2017-11-30,0,0.0,-0.01955084375964211,-0.01955084375964211,True
provided,15,2017-12-31,1,55.89930128602142,-0.00862205870248045,-0.01955084375964211,True
provided,15,2018-01-31,2,100.0,0.0,-0.01955084375964211,True
provided,16,2016-03-31,0,0.0,-0.014866769584109818,-0.014866769584109818,True
provided,16,2016-04-30,1,100.0,0.0,-0.014866769584109818,True
provided,17,2021-09-30,0,0.0,-0.010918745053463352,-0.010918745053463352,True
provided,17,2021-10-31,1,100.0,0.0,-0.010918745053463352,True
provided,18,2016-08-31,0,0.0,-0.008853507507817993,-0.008853507507817993,True
provided,18,2016-09-30,1,87.85333429643156,-0.0010754059600149857,-0.008853507507817993,True
provided,18,2016-10-31,2,100.0,0.0,-0.008853507507817993,True
provided,19,2026-03-31,0,0.0,-0.006972386294370692,-0.006972386294370692,True
