point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_GLD
66,0.20500038126492282,0.112412187137366,1.4820951172769767,0.17919607861068096,0.14043626186206482,0.018514820071489177,0.0,0.0,0.09708114264988031,0.0,0.0,0.5647716968058848
67,0.20689603979396232,0.11384630663285226,1.4800762290090101,0.18332670495917913,0.135584886050846,0.023537911092911583,0.0,0.0,0.0821277054623509,0.0,0.0,0.5754227924347124
68,0.20879169832300182,0.11531822799004919,1.4776230410989188,0.18745733130767747,0.13073351023962687,0.028561002114333937,0.0,0.0,0.06717426827482174,0.0,0.0,0.58607388806354
69,0.21068735685204143,0.11682652239742844,1.474772386699298,0.19158795765617584,0.12588213442840762,0.033584093135756485,0.0,0.0,0.052220831087292016,0.0,0.0,0.596724983692368
70,0.2125830153810809,0.11838565640888095,1.4713622670069253,0.1973218821011968,0.12357193070796386,0.04281739547565889,0.0,0.0,0.0362887917151805,0.0,0.0,0.6
71,0.21447867391012046,0.12004014969622076,1.4668745979534314,0.2037676789629121,0.12239002017355931,0.05392005281110503,0.0,0.0,0.01992224805242354,0.0,0.0,0.6
72,0.21637433243915996,0.12178915441035722,1.4613740091606817,0.21021347582462685,0.12120810963915493,0.06502271014655088,0.0,0.0,0.0035557043896675797,0.0,0.0,0.6
73,0.21826999096819952,0.12363701672734949,1.4548649598903076,0.21427062150386572,0.10998082230496486,0.07574855619116945,0.0,0.0,0.0,0.0,0.0,0.6
74,0.22016564949723902,0.1255973677360618,1.4472502504432794,0.2176647866153319,0.0959653967683165,0.08636981661635162,0.0,0.0,0.0,0.0,0.0,0.6
75,0.22206130802627852,0.1276656490894718,1.4386523058473841,0.22105895172679796,0.0819499712316684,0.09699107704153376,0.0,0.0,0.0,0.0,0.0,0.6
76,0.22395696655531805,0.12983670294206004,1.429196327111901,0.22445311683826402,0.06793454569502004,0.10761233746671604,0.0,0.0,0.0,0.0,0.0,0.6
77,0.22585262508435758,0.132105462424963,1.419001107578184,0.2278472819497301,0.05391912015837146,0.11823359789189852,0.0,0.0,0.0,0.0,0.0,0.6
78,0.2277482836133971,0.13446698208996077,1.4081780752728534,0.23124144706119634,0.03990369462172299,0.12885485831708077,0.0,0.0,0.0,0.0,0.0,0.6
79,0.2296439421424366,0.13691646226977355,1.3968306760614495,0.2346356121726624,0.02588826908507487,0.1394761187422629,0.0,0.0,0.0,0.0,0.0,0.6
80,0.23153960067147614,0.1394492678603183,1.3850540490376466,0.23802977728412855,0.011872843548426054,0.1500973791674454,0.0,0.0,0.0,0.0,0.0,0.6
81,0.2334352592005157,0.14206222278579025,1.3729225672359229,0.23807461576312758,0.0,0.16192538423687244,0.0,0.0,0.0,0.0,0.0,0.6
82,0.23533091772955517,0.14481868229347383,1.359880417529687,0.21955958987360064,0.0,0.18044041012639944,0.0,0.0,0.0,0.0,0.0,0.6
