point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_GDX,weight_GLD,weight_SLV,weight_AIA,weight_XLE,weight_PTF,weight_QLD
39,0.2150939067109489,0.18222393324356922,1.0510935819552025,0.0,0.4292351414505978,0.0,0.3,0.0,0.0,0.005616015610305763,0.0,0.26514884293909646
40,0.2164864541430823,0.18399179048261272,1.0485628387931467,0.0,0.4225153983381095,0.0,0.3,0.0,0.0,0.00423245895121876,0.0,0.27325214271067166
41,0.2178790015752157,0.18576844993022384,1.046030699229087,0.0,0.4157956552256212,0.0,0.3,0.0,0.0,0.002848902292131916,0.0,0.281355442482247
42,0.21927154900734908,0.18755366144172717,1.0434989511956647,0.0,0.4090759121131326,0.0,0.3,0.0,0.0,0.0014653456330451034,0.0,0.28945874225382223
43,0.22066409643948243,0.18934718312443277,1.0409692565109443,0.0,0.4023561690006448,0.0,0.3,0.0,0.0,8.178897395806066e-05,0.0,0.29756204202539716
44,0.2220566438716159,0.19114917569657386,1.0384410141883427,0.0,0.3939084986633944,0.0,0.3,0.0,0.0,0.0,0.0,0.30609150133660556
45,0.2234491913037492,0.19295989256259166,1.0359131560923194,0.0,0.3853522641050462,0.0,0.3,0.0,0.0,0.0,0.0,0.3146477358949538
46,0.2248417387358826,0.19477909194155243,1.03338729393133,0.0,0.3767960295466976,0.0,0.3,0.0,0.0,0.0,0.0,0.32320397045330246
47,0.226234286168016,0.19660653836763953,1.0308649338458382,0.0,0.36823979498834875,0.0,0.3,0.0,0.0,0.0,0.0,0.33176020501165127
48,0.22762683360014943,0.19844200400055942,1.0283474742553707,0.0,0.35968356042999994,0.0,0.3,0.0,0.0,0.0,0.0,0.3403164395700001
49,0.22901938103228275,0.200285268370221,1.0258362120398024,0.0,0.3511273258716516,0.0,0.3,0.0,0.0,0.0,0.0,0.3488726741283484
50,0.23041192846441616,0.20213611812841972,1.0233323484178127,0.0,0.34257109131330304,0.0,0.3,0.0,0.0,0.0,0.0,0.357428908686697
51,0.23180447589654957,0.20399434680755985,1.0208369945320082,0.0,0.33401485675495424,0.0,0.3,0.0,0.0,0.0,0.0,0.36598514324504583
52,0.23319702332868297,0.20585975458642,1.0183511767506603,0.0,0.3254586221966056,0.0,0.3,0.0,0.0,0.0,0.0,0.3745413778033944
53,0.23458957076081632,0.20773214806293389,1.015875841696314,0.0,0.316902387638257,0.0,0.3,0.0,0.0,0.0,0.0,0.38309761236174295
54,0.23598211819294973,0.2096113400339349,1.0134118610117167,0.0,0.3083461530799083,0.0,0.3,0.0,0.0,0.0,0.0,0.39165384692009175
55,0.2373746656250831,0.21149714928179192,1.0109600358735935,0.0,0.2997899185215597,0.0,0.3,0.0,0.0,0.0,0.0,0.40021008147844034
56,0.23876721305721652,0.21338940036784595,1.0085211012648057,0.0,0.29123368396321087,0.0,0.3,0.0,0.0,0.0,0.0,0.40876631603678915
57,0.24015976048934987,0.21528792343253866,1.006095730015355,0.0,0.2826774494048624,0.0,0.3,0.0,0.0,0.0,0.0,0.4173225505951376
58,0.2415523079214833,0.2171925540021158,1.003684536622557,0.0,0.2741212148465136,0.0,0.3,0.0,0.0,0.0,0.0,0.4258787851534864
59,0.24294485535361668,0.21910313280177185,1.0012880808605331,0.0,0.26556498028816483,0.0,0.3,0.0,0.0,0.0,0.0,0.4344350197118351
60,0.24433740278575009,0.2210195055750992,0.9989068711889457,0.0,0.2570087457298163,0.0,0.3,0.0,0.0,0.0,0.0,0.44299125427018377
61,0.24572995021788346,0.22294152290969324,0.9965413679706399,0.0,0.2484525111714676,0.0,0.3,0.0,0.0,0.0,0.0,0.4515474888285324
62,0.24712249765001684,0.22486904006876263,0.9941919865075849,0.0,0.23989627661311905,0.0,0.3,0.0,0.0,0.0,0.0,0.460103723386881
63,0.24851504508215022,0.22680191682858813,0.9918590999041981,0.0,0.23134004205477063,0.0,0.3,0.0,0.0,0.0,0.0,0.4686599579452294
64,0.24990759251428363,0.2287400173216712,0.9895430417668287,0.0,0.22278380749642163,0.0,0.3,0.0,0.0,0.0,0.0,0.47721619250357833
65,0.251300139946417,0.230683209885411,0.9872441087478551,0.0,0.21422757293807315,0.0,0.3,0.0,0.0,0.0,0.0,0.48577242706192686
66,0.2526926873785504,0.23263136691614972,0.9849625629425105,0.0,0.20567133837972443,0.0,0.3,0.0,0.0,0.0,0.0,0.49432866162027556
67,0.2540852348106838,0.23459645708301952,0.9826479806091224,0.0,0.206170657754383,0.0,0.29382934224561696,0.0,0.0,0.0,0.0,0.5
68,0.25547778224281714,0.23662671396557725,0.9801018589834913,0.0,0.224472042572665,0.0,0.275527957427335,0.0,0.0,0.0,0.0,0.5
69,0.25687032967495055,0.23871532908898319,0.9773600655028816,0.0,0.2427734273909471,0.0,0.25722657260905296,0.0,0.0,0.0,0.0,0.5
70,0.25826287710708395,0.240860784304229,0.974435825180376,0.0,0.26107481220923007,0.0,0.23892518779077,0.0,0.0,0.0,0.0,0.5
71,0.25965542453921736,0.24306157446809107,0.9713420356791601,0.0,0.27937619702751226,0.0,0.22062380297248768,0.0,0.0,0.0,0.0,0.5
72,0.26104797197135077,0.24531621031607098,0.9680912307644294,0.0,0.2976775818457945,0.0,0.20232241815420557,0.0,0.0,0.0,0.0,0.5
73,0.2624405194034841,0.24762322104043968,0.964695549956004,0.0,0.3159789666640766,0.0,0.1840210333359234,0.0,0.0,0.0,0.0,0.5
74,0.2638330668356175,0.24998115658328826,0.9611667140021556,0.0,0.33428035148235913,0.0,0.16571964851764087,0.0,0.0,0.0,0.0,0.5
75,0.26522561426775093,0.25238744196611423,0.9575203599083874,0.0,0.34709196592093106,0.0,0.14951977371151387,0.0,0.0,0.0,0.003388260367555047,0.5
76,0.2666181616998843,0.2548263646487227,0.9538207007541776,0.0,0.3491875398156169,0.0,0.1374220498035146,0.0,0.0,0.0,0.013390410380868589,0.5
77,0.2680107091320177,0.257292706866722,0.9500899271841535,0.0,0.3512831137103024,0.0,0.12532432589551465,0.0,0.0,0.0,0.023392560394182884,0.5
78,0.2694032565641511,0.2597856876780591,0.9463329514473268,0.0,0.3533786876049885,0.0,0.11322660198751486,0.0,0.0,0.0,0.03339471040749671,0.5
79,0.27079580399628445,0.26230454755256377,0.9425543945125092,0.0,0.355474261499675,0.0,0.10112887807951482,0.0,0.0,0.0,0.04339686042081026,0.5
80,0.27218835142841785,0.26484492325572523,0.9387714454633903,0.0,0.3585929288202461,0.005357972677816801,0.084936544024236,0.0,0.0,0.0,0.05111255447770107,0.5
81,0.27358089886055126,0.2673976478417902,0.9350171958448944,0.0,0.3620390100786663,0.012430622518965715,0.06743383850301789,0.0,0.0,0.0,0.058096528899350165,0.5
82,0.27497344629268466,0.2699620067974897,0.931293811581721,0.0,0.36548509133708446,0.01950327236011427,0.049931132981800914,0.0,0.0,0.0,0.06508050332100032,0.5
83,0.27636599372481796,0.2725376717130101,0.9276020160289268,0.0,0.3689311725955045,0.02657592220126295,0.03242842746058389,0.0,0.0,0.0,0.07206447774264871,0.5
84,0.27775854115695137,0.2751243250553901,0.9239424434963143,0.0,0.37237725385392423,0.03364857204241185,0.014925721939366131,0.0,0.0,0.0,0.07904845216429784,0.5
85,0.2791510885890848,0.2777223908105218,0.9203132230107585,0.0,0.37234180572100045,0.03892088315101698,0.0,0.0,0.0,0.0,0.08873731112798262,0.5
86,0.2805436360212181,0.28037334602998076,0.9165783397746318,0.0,0.3521415649270448,0.03376574896743663,0.0,0.0,0.0,0.0,0.11409268610551862,0.5
87,0.28193618345335153,0.2830997631325935,0.9126700799545968,0.0,0.33194132413308797,0.02861061478385663,0.0,0.0,0.0,0.0,0.13944806108305552,0.5
88,0.28332873088548494,0.2858994832499035,0.9086033592387496,0.0,0.3117410833391309,0.023455480600276156,0.0,0.0,0.0,0.0,0.164803436060593,0.5
89,0.2847212783176184,0.28877037430204155,0.9043925608672524,0.0,0.29154084254517393,0.018300346416695756,0.0,0.0,0.0,0.0,0.19015881103813034,0.5
90,0.28611382574975164,0.2917103349928974,0.9000515040241696,0.0,0.2713406017512188,0.01314521223311566,0.0,0.0,0.0,0.0,0.21551418601566552,0.5
91,0.2875063731818851,0.29471729831135446,0.8955934201834264,0.0,0.25114036095726033,0.007990078049535434,0.0,0.0,0.0,0.0,0.24086956099320414,0.5
92,0.28889892061401845,0.29778923456258,0.8910309367085523,0.0,0.23094012016330498,0.0028349438659551517,0.0,0.0,0.0,0.0,0.2662249359707398,0.5
93,0.2902914680461519,0.3009254374359085,0.8863722865002426,0.0,0.20655102311788784,0.0,0.0,0.0,0.0,0.0,0.2934489768821122,0.5
94,0.2916840154782853,0.3041332915095562,0.8816019915066107,0.0,0.17704373716993563,0.0,0.0,0.0,0.0,0.0,0.3229562628300645,0.5
95,0.29307656291041867,0.3074124294567173,0.8767279299237501,0.0,0.14753645122198317,0.0,0.0,0.0,0.0,0.0,0.35246354877801694,0.5
96,0.2944691103425521,0.3107605947286856,0.8717630707943326,0.0,0.11802916527402996,0.0,0.0,0.0,0.0,0.0,0.38197083472597015,0.5
97,0.2958616577746854,0.31417558046317384,0.8667196774913045,0.0,0.08852187932607686,0.0,0.0,0.0,0.0,0.0,0.41147812067392325,0.5
98,0.2972542052068189,0.3176552315864147,0.8616093109499542,0.0,0.05901459337812361,0.0,0.0,0.0,0.0,0.0,0.4409854066218765,0.5
99,0.29864675263895224,0.32119744647282905,0.8564428380728817,0.0,0.02950730743017106,0.0,0.0,0.0,0.0,0.0,0.470492692569829,0.5
100,0.30003931255408256,0.3248000274520175,0.8512308780359531,-5.0503662684760105e-06,2.2401284301497757e-06,0.0,1.7678737947686532e-06,0.0,0.0,0.0,0.49999995374008444,0.5000011363877201
