point,expected_return,volatility,sharpe,weight_SPY,weight_QQQ,weight_TLT,weight_GLD,weight_CPER,weight_MCHI,weight_EWY
15,0.08373746809865845,0.09198638663058317,0.7302254593579086,0.4235400994475255,0.0,0.3454784695038594,0.17752508937322914,0.05345634167538592,0.0,0.0
16,0.08480208938013173,0.09219037837074119,0.7401577466040772,0.4312441442292259,0.0,0.33934563095893094,0.18003836165406492,0.0493718631577782,0.0,0.0
17,0.08586671066160502,0.09240794053851846,0.749936029210087,0.4389481890109262,0.0,0.3332127924140026,0.18255163393490068,0.045287384640170576,0.0,0.0
18,0.0869313319430783,0.09263897752372346,0.7595578789542694,0.4466522337926265,0.0,0.3270799538690741,0.1850649062157365,0.041202906122562874,0.0,0.0
19,0.08799595322455157,0.09288338877513116,0.7690211080779341,0.45435627857432676,0.0,0.3209471153241458,0.18757817849657227,0.03711842760495523,0.0,0.0
20,0.08906057450602486,0.09314106900666334,0.7783237685856059,0.46206032335602715,0.0,0.3148142767792173,0.19009145077740808,0.03303394908734752,0.0,0.0
21,0.09012519578749813,0.0934119084094556,0.7874641506990722,0.46976436813772743,0.0,0.3086814382342889,0.19260472305824378,0.028949470569739885,0.0,0.0
22,0.09118981706897143,0.09369579286888854,0.7964407805025705,0.4774684129194278,0.0,0.30254859968936043,0.1951179953390796,0.024864992052132166,0.0,0.0
23,0.0922544383504447,0.0939926041856669,0.8052524168206819,0.48517245770112816,0.0,0.29641576114443197,0.1976312676199153,0.020780513534524498,0.0,0.0
24,0.09331905963191799,0.09430222030004316,0.8138980473741422,0.4928765024828284,0.0,0.29028292259950367,0.2001445399007511,0.016696035016916803,0.0,0.0
25,0.09438368091339126,0.09462476441154427,0.8223747211489055,0.5,0.0,0.2833320229589637,0.20388088486407235,0.012787092176963916,0.0,0.0
26,0.09544830219486455,0.09499218806519004,0.8304012901994002,0.5,0.0035389868612907666,0.2739203061209856,0.21222346066748926,0.010317246350234321,0.0,0.0
27,0.09651292347633784,0.0953750076987956,0.8382306721499824,0.5,0.009200810326801956,0.26905362975320923,0.2143269157721776,0.007418644147811162,0.0,0.0
28,0.09757754475781112,0.09576673340496834,0.845918777959922,0.5,0.014862633792313161,0.26418695338543285,0.21643037087686604,0.004520041945387966,0.0,0.0
29,0.0986421660392844,0.09616725635033636,0.8534661639260821,0.5,0.020524457257824355,0.2593202770176564,0.2185338259815544,0.0016214397429648154,0.0,0.0
30,0.09970678732075768,0.096576833130673,0.860870231079109,0.5,0.026144559502038433,0.2539043723478353,0.21995106815012624,0.0,0.0,0.0
31,0.10077140860223097,0.09699815178635289,0.8681066637334779,0.5,0.03171169397708988,0.2477911870851645,0.2204971189377456,0.0,0.0,0.0
32,0.10183602988370424,0.09743164480984103,0.8751711354504916,0.5,0.037278828452141186,0.24167800182249377,0.22104316972536506,0.0,0.0,0.0
33,0.10290065116517753,0.09787715044226546,0.8820647526864452,0.5,0.04284596292719253,0.23556481655982303,0.22158922051298444,0.0,0.0,0.0
34,0.10396527244665081,0.09833450541396385,0.8887887869274139,0.5,0.048413097402243845,0.22945163129715232,0.22213527130060381,0.0,0.0,0.0
35,0.10502989372812409,0.09880354517568729,0.8953446650538374,0.5,0.053980231877295164,0.22333844603448158,0.22268132208822325,0.0,0.0,0.0
36,0.10609451500959735,0.09928410412308433,0.9017339596673135,0.5,0.05954736635234649,0.21722526077181095,0.22322737287584257,0.0,0.0,0.0
37,0.10715913629107066,0.09977601581405723,0.9079583794289028,0.5,0.06511450082739793,0.21111207550914005,0.22377342366346203,0.0,0.0,0.0
38,0.10822375757254395,0.10027911317864113,0.9140197594547507,0.5,0.07068163530244925,0.20499889024646936,0.2243194744510814,0.0,0.0,0.0
39,0.10928837885401722,0.10079322872111308,0.9199200518112604,0.5,0.07624876977750059,0.19888570498379865,0.2248655252387008,0.0,0.0,0.0
40,0.1103530001354905,0.10131819471409215,0.9256613161483748,0.5,0.08181590425255189,0.1927725197211278,0.22541157602632028,0.0,0.0,0.0
41,0.11141762141696378,0.10185384338444443,0.9312457105058362,0.5,0.08738303872760324,0.18665933445845712,0.2259576268139396,0.0,0.0,0.0
42,0.11248224269843705,0.10240000709085599,0.9366754823236273,0.5,0.09295017320265456,0.18054614919578643,0.226503677601559,0.0,0.0,0.0
43,0.11354686397991035,0.10295651849298304,0.941952959684173,0.5,0.0985173076777059,0.17443296393311572,0.2270497283891784,0.0,0.0,0.0
44,0.11461148526138364,0.10352321071213322,0.9470805428103463,0.5,0.10408444215275732,0.16831977867044481,0.22759577917679785,0.0,0.0,0.0
45,0.11567610654285691,0.10409991748347201,0.9520606958398973,0.5,0.10965157662780863,0.16220659340777413,0.22814182996441726,0.0,0.0,0.0
46,0.1167407278243302,0.104686473299786,0.9568959388936479,0.5,0.11521871110285994,0.1560934081451034,0.22868788075203667,0.0,0.0,0.0
47,0.11780534910580347,0.10528271354686916,0.9615888404516468,0.5,0.12078584557791128,0.14998022288243265,0.22923393153965604,0.0,0.0,0.0
48,0.11886997038727677,0.10588847463063004,0.9661420100485341,0.5,0.12635298005296267,0.1438670376197619,0.2297799823272754,0.0,0.0,0.0
49,0.11993459166875003,0.10650325367950594,0.9705611934931345,0.496058471413177,0.13475014771175411,0.1384837351875809,0.23070764568748797,0.0,0.0,0.0
50,0.12099921295022333,0.10712604262063999,0.9748567549851378,0.49073961410152,0.1441362428666521,0.13335548319231827,0.23176865983950956,0.0,0.0,0.0
51,0.12206383423169662,0.10775666148828315,0.9790315151560361,0.4854207567898619,0.15352233802155082,0.12822723119705606,0.23282967399153123,0.0,0.0,0.0
52,0.1231284555131699,0.10839497362398778,0.9830879171220271,0.4801018994782046,0.1629084331764489,0.1230989792017936,0.23389068814355282,0.0,0.0,0.0
53,0.12419307679464316,0.10904084392140802,0.9870284038295688,0.47478304216654676,0.17229452833134729,0.11797072720653146,0.23495170229557452,0.0,0.0,0.0
54,0.12525769807611647,0.10969413887507402,0.9908554141915766,0.46946418485488894,0.18168062348624606,0.1128424752112689,0.23601271644759608,0.0,0.0,0.0
55,0.12632231935758975,0.1103547266241844,0.994571379481538,0.4641453275432313,0.19106671864114438,0.10771422321600647,0.23707373059961775,0.0,0.0,0.0
56,0.12738694063906303,0.1110224769916264,0.9981787199789706,0.45882647023157447,0.20045281379604207,0.10258597122074418,0.2381347447516393,0.0,0.0,0.0
57,0.1284515619205363,0.11169726151843316,1.0016798418590191,0.4535076129199167,0.20983890895094048,0.09745771922548188,0.23919575890366093,0.0,0.0,0.0
58,0.12951618320200958,0.11237895349388863,1.0050771343184408,0.44818875560826005,0.21922500410583812,0.09232946723021933,0.24025677305568252,0.0,0.0,0.0
59,0.13058080448348286,0.11306742798148903,1.0083729669298054,0.44286989829660234,0.2286110992607365,0.08720121523495711,0.24131778720770414,0.0,0.0,0.0
60,0.1316454257649561,0.11376256184096828,1.0115696872153872,0.4375510409849438,0.23799719441563552,0.08207296323969489,0.2423788013597258,0.0,0.0,0.0
61,0.13271004704642944,0.11446423374659156,1.0146696184319777,0.43223218367328725,0.24738328957053318,0.0769447112444322,0.24343981551174743,0.0,0.0,0.0
62,0.13377466832790272,0.11517232420191868,1.017675057557651,0.42691332636162943,0.25676938472543176,0.07181645924916993,0.244500829663769,0.0,0.0,0.0
63,0.13483928960937597,0.1158867155512342,1.020588273471434,0.42159446904997205,0.26615547988032984,0.06668820725390748,0.2455618438157907,0.0,0.0,0.0
64,0.1359039108908493,0.11660729198783741,1.0234115053167512,0.4162756117383145,0.2755415750352283,0.06155995525864497,0.24662285796781222,0.0,0.0,0.0
65,0.13696853217232258,0.11733393955937967,1.026146961039552,0.4109567544266567,0.28492767019012677,0.05643170326338268,0.2476838721198339,0.0,0.0,0.0
66,0.13803315345379585,0.1180665461704324,1.028796816092078,0.405637897114999,0.2943137653450251,0.0513034512681204,0.24874488627185548,0.0,0.0,0.0
67,0.13909777473526913,0.11880500158246216,1.0313632122933312,0.40031903980334227,0.3036998604999229,0.046175199272857674,0.2498059004238771,0.0,0.0,0.0
68,0.1401623960167424,0.1195491974113842,1.0338482568374499,0.39500018249168445,0.31308595565482134,0.0410469472775955,0.2508669145758987,0.0,0.0,0.0
69,0.14122701729821568,0.12029902712286032,1.0362540214413747,0.3896813251800276,0.32247205080971914,0.03591869528233294,0.2519279287279203,0.0,0.0,0.0
70,0.14229163857968896,0.12105438602549909,1.0385825416233938,0.3843624678683692,0.33185814596461805,0.030790443287070843,0.252988942879942,0.0,0.0,0.0
71,0.14335625986116227,0.12181517126211215,1.0408358161043822,0.37904361055671176,0.3412442411195163,0.025662191291808356,0.2540499570319636,0.0,0.0,0.0
72,0.14442088114263557,0.12258128179917263,1.0430158063237993,0.37372475324505366,0.3506303362744151,0.020533939296546084,0.2551109711839852,0.0,0.0,0.0
73,0.14548550242410882,0.12335261841461623,1.0451244360627725,0.36840589593339745,0.36001643142931233,0.0154056873012834,0.25617198533600677,0.0,0.0,0.0
74,0.1465501237055821,0.12412908368411879,1.0471635911668753,0.36308703862173924,0.36940252658421113,0.01027743530602115,0.2572329994880284,0.0,0.0,0.0
75,0.1476147449870554,0.12491058196597803,1.0491351193614835,0.35776818131008153,0.3787886217391097,0.0051491833107587485,0.25829401364005,0.0,0.0,0.0
76,0.1486793662685287,0.1256970194598519,1.0510408295246756,0.3524851246029016,0.3881420954939452,0.0,0.2593727799031532,0.0,0.0,0.0
77,0.14974398755000196,0.12649274888232828,1.0528454955724413,0.33839498287887243,0.4055205578743621,0.0,0.2560844592467655,0.0,0.0,0.0
78,0.15080860883147526,0.12730208549507607,1.054514870221831,0.3243048411548442,0.4228990202547786,0.0,0.2527961385903773,0.0,0.0,0.0
79,0.15187323011294854,0.12812477143727544,1.0560531107953808,0.31021469943081503,0.44027748263519556,0.0,0.24950781793398938,0.0,0.0,0.0
80,0.15293785139442181,0.12896055122859476,1.0574643441623037,0.2961245577067867,0.457655945015612,0.0,0.24621949727760123,0.0,0.0,0.0
81,0.15400247267589506,0.1298091719539974,1.0587526593108054,0.2820344159827582,0.4750344073960283,0.0,0.24293117662121347,0.0,0.0,0.0
82,0.15506709395736834,0.13067038343271384,1.0599221005731552,0.26794427425872946,0.49241286977644494,0.0,0.23964285596482562,0.0,0.0,0.0
83,0.15613171523884165,0.1315502408046008,1.0609258312151557,0.2694342265757701,0.5,0.0,0.23056577342422993,0.0,0.0,0.0
84,0.15719633652031492,0.1324777888986453,1.0615339448429328,0.28299691838229757,0.5,0.0,0.21700308161770243,0.0,0.0,0.0
85,0.1582609578017882,0.13345576348573596,1.0617322731832868,0.2965596101888246,0.5,0.0,0.20344038981117546,0.0,0.0,0.0
86,0.15932557908326156,0.13448306445054137,1.0615382167254013,0.31012230199535257,0.5,0.0,0.18987769800464746,0.0,0.0,0.0
