point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
41,1.3432403770912225,19.274640683496447,11.490987159201158,15.740275994411364,26.95396784492025,0.0,47.60150104627262,4.208708050508983,0.0,5.4955470638867885
42,1.3434450767440878,19.333876589760113,11.533328827026507,16.043311027381243,27.393091933643092,0.0,47.67024118648989,4.504894121977824,0.0,4.388461730507951
43,1.3435472056229611,19.393112496023786,11.57654131712578,16.346346060351145,27.832216022365948,0.0,47.73898132670716,4.801080193446667,0.0,3.281376397129089
44,1.3435490082220551,19.45234840228745,11.620614914767842,16.649381093321058,28.27134011108874,0.0,47.80772146692443,5.097266264915494,0.0,2.1742910637502835
45,1.3434527452777227,19.511584308551125,11.665539859900802,16.952416126290945,28.710464199811646,0.0,47.8764616071417,5.393452336384359,0.0,1.0672057303713491
46,1.3432604562775485,19.570820214814784,11.711308393451015,17.259082271804676,29.156781116816067,0.0,47.911491923487404,5.672644687891863,0.0,0.0
47,1.3427833509459448,19.630056121078454,11.759583816208213,17.662919497827247,29.79558308835512,0.0,47.04442406200249,5.497073351815148,0.0,0.0
48,1.3418642711039563,19.689292027342123,11.811782763752804,18.06675672384978,30.434385059894165,0.0,46.17735620051762,5.321502015738434,0.0,0.0
49,1.3405158078287418,19.748527933605793,11.86785346511749,18.47059394987218,31.073187031433307,0.0,45.31028833903279,5.145930679661725,0.0,0.0
50,1.3387514580215656,19.80776383986946,11.927741318651503,18.874431175894635,31.711989002972352,0.0,44.44322047754799,4.970359343585033,0.0,0.0
51,1.336585512278255,19.866999746133125,11.991389133189836,19.278268401917174,32.350790974511426,0.0,43.57615261606309,4.7947880075083145,0.0,0.0
52,1.334032942052722,19.926235652396798,12.058737371974393,19.68210562793961,32.989592946050514,0.0,42.70908475457827,4.6192166714316105,0.0,0.0
53,1.3311092875062829,19.985471558660464,12.129724397226523,20.08594285396203,33.62839491758967,0.0,41.8420168930934,4.4436453353549,0.0,0.0
54,1.3278305473200658,20.04470746492413,12.20428671339888,20.48978007998453,34.26719688912873,0.0,40.97494903160854,4.26807399927819,0.0,0.0
55,1.3242130716158158,20.1039433711878,12.28235920728458,20.893617306007016,34.90599886066779,0.0,40.10788117012371,4.092502663201484,0.0,0.0
56,1.320273458987095,20.16317927745147,12.363875383327185,21.297454532029615,35.54480083220673,0.0,39.24081330863887,3.91693132712478,0.0,0.0
57,1.3160284584928845,20.222415183715135,12.448767592652347,21.701291758051998,36.18360280374588,0.0,38.37374544715404,3.7413599910480855,0.0,0.0
58,1.3114948773135424,20.2816510899788,12.536967254525724,22.1051289840745,36.822404775284895,0.0,37.50667758566923,3.565788654971378,0.0,0.0
