date,optimized_drawdown,provided_drawdown,benchmark_drawdown
2022-02-28,-0.0007797244120446578,0.0,-0.0747524844751074
2022-03-31,0.0,0.0,-0.026416641600089052
2022-04-30,-0.012441569655279539,-0.02367410730428432,-0.06960673522230476
2022-05-31,-0.04090598767744169,-0.024761357967842623,-0.08989739567032551
2022-06-30,-0.06026645481927784,-0.06978677037784786,-0.13403072951156092
2022-07-31,-0.021673523329144406,-0.01957076566723337,-0.04882167605911569
2022-08-31,-0.016929961600256616,-0.01296054771275712,-0.05444488107256862
2022-09-30,-0.01251465667444207,-0.03912684756779361,-0.08565437985400814
2022-10-31,0.0,0.0,-0.017230315086525505
2022-11-30,-0.010010983664338169,0.0,-0.03285391434985063
2022-12-31,-0.06214065468274377,-0.057777876551355245,-0.13336273527968123
2023-01-31,-0.05002186338109127,-0.03837587593788794,-0.09988310878754747
2023-02-28,-0.026942968503040343,-0.0281246340817094,-0.06063087943405798
2023-03-31,0.0,0.0,-0.041947342952561195
2023-04-30,0.0,0.0,0.0
2023-05-31,-0.028246643515609016,-0.03430782581151359,-0.008622061467425612
2023-06-30,-0.00637119517598661,0.0,0.0
2023-07-31,-0.014091107706318162,0.0,-0.002500920282190955
2023-08-31,0.0,0.0,0.0
2023-09-30,-0.00852220403925441,-0.008885870732796342,-0.030743890055949574
2023-10-31,0.0,-0.026911510098168834,-0.05163032128596701
2023-11-30,0.0,-0.008582615349893352,-0.01084571695891623
2023-12-31,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,0.0,-0.014965918241093834
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,-0.004001507544006522,-0.0017777181704736744
2024-08-31,-0.0039004855085039702,-0.01388857793607201,-0.004621336965177747
2024-09-30,0.0,-0.000313895785953866,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.007079088722740989
2025-03-31,0.0,0.0,-0.048112231211346224
2025-04-30,-0.009484460115767868,-0.05154828370583231,-0.08727139198411604
2025-05-31,-0.0024205918831061712,-0.03566677162611609,-0.06625484311325358
2025-06-30,0.0,0.0,-0.03396908593844927
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,-0.002878277248680061,0.0,-0.015288936878936399
2026-01-31,0.0,0.0,-0.007135010110931872
2026-02-28,0.0,0.0,-0.01326283801664152
2026-03-31,-0.027254875954297986,-0.005634491655039486,-0.015483721436609699
2026-04-30,0.0,0.0,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-0.004477176415587758,0.0,0.0
2026-07-31,-0.11221146263927562,-0.09594547242972506,-0.0823418340649481
2026-08-31,-0.08170999180465455,-0.07237509280554877,-0.08163424536463537
