point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_EWY_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
13,0.8581852750725508,10.39175600700865,7.6350334114437395,1.5141558173481808,30.955905328789353,0.0,12.780974963637146,21.652152776171192,4.602004184835231,0.0,3.402171602916703,25.092635326302204
14,0.87781993448826,10.558549845617813,7.65426578164247,1.7387493390172557,31.0552019888082,0.0,12.61583416447934,21.240792618079137,4.98817455546217,0.0,3.0000249588587,25.3612223752952
15,0.8972041653693764,10.725343684226974,7.674798213594332,1.963342860686328,31.154498648827055,0.0,12.45069336532153,20.82943245998708,5.374344926089111,0.0,2.5978783148007034,25.62980942428819
16,0.9163313879131381,10.892137522836133,7.696620302702091,2.1879363823553986,31.253795308845923,0.0,12.285552566163728,20.418072301895034,5.760515296716032,0.0,2.195731670742709,25.89839647328119
17,0.9351955203976623,11.058931361445294,7.719721112174235,2.4125299040244776,31.35309196886477,0.0,12.120411767005915,20.006712143802975,6.146685667342963,0.0,1.793585026684705,26.166983522274183
18,0.9537909819938257,11.225725200054455,7.744089198655875,2.6371234256935523,31.452388628883636,0.0,11.955270967848113,19.595351985710913,6.532856037969894,0.0,1.3914383826267096,26.43557057126718
19,0.9721126934105976,11.392519038663615,7.769712638504454,2.8617169473626265,31.55168528890248,0.0,11.790130168690306,19.18399182761886,6.919026408596834,0.0,0.9892917385687067,26.704157620260172
20,0.9901560754540919,11.55931287727278,7.796579054581598,3.0863104690317,31.65098194892134,0.0,11.624989369532498,18.7726316695268,7.305196779223778,0.0,0.5871450945107017,26.972744669253174
21,1.007917045593964,11.726106715881938,7.824675643434202,3.3109039907007762,31.750278608940206,0.0,11.459848570374694,18.361271511434747,7.691367149850698,0.0,0.18499845045271496,27.241331718246165
22,1.0253632876638286,11.8929005544911,7.854209227852491,3.622196597546328,31.896123207954346,0.0,11.187333279792554,17.670745503187693,8.114283810616838,0.0,0.0,27.509317600902232
23,1.0423422218779976,12.05969439310026,7.886288650640229,4.007352109475365,32.081624119291085,0.0,10.823340762520907,16.742385374193297,8.568506311983208,0.0,0.0,27.77679132253614
24,1.0588261220975048,12.226488231709425,7.921041328744622,4.392507621404408,32.267125030627824,0.0,10.459348245249247,15.814025245198888,9.02272881334957,0.0,0.0,28.044265044170068
25,1.0748095921256484,12.393282070318584,7.958432241734152,4.777663133333434,32.452625941964556,0.0,10.0953557279776,14.885665116204486,9.47695131471595,0.0,0.0,28.311738765803973
26,1.0902888775247987,12.560075908927743,7.9984243901531515,5.162818645262476,32.63812685330127,0.0,9.731363210705949,13.957304987210097,9.931173816082312,0.0,0.0,28.579212487437882
27,1.1052618133787198,12.726869747536904,8.040978962032534,5.547974157191505,32.82362776463802,0.0,9.367370693434292,13.028944858215683,10.385396317448702,0.0,0.0,28.84668620907179
28,1.1197277616685084,12.893663586146067,8.086055501592393,5.9331296691205555,33.00912867597474,0.0,9.003378176162641,12.10058472922129,10.839618818815055,0.0,0.0,29.114159930705714
29,1.1336875396774675,13.060457424755231,8.133612078649023,6.318285181049591,33.19462958731149,0.0,8.639385658890978,11.172224600226865,11.293841320181434,0.0,0.0,29.381633652339634
30,1.1471433408778156,13.227251263364389,8.183605457326722,6.703440692978625,33.38013049864821,0.0,8.275393141619332,10.243864471232481,11.748063821547806,0.0,0.0,29.649107373973543
31,1.1600986497561918,13.394045101973557,8.235991262778272,7.088596204907654,33.56563140998495,0.0,7.911400624347681,9.315504342238066,12.2022863229142,0.0,0.0,29.91658109560746
32,1.1725581520086692,13.560838940582713,8.290724144733206,7.473751716836698,33.75113232132169,0.0,7.547408107076034,8.387144213243685,12.656508824280527,0.0,0.0,30.184054817241368
33,1.1845276414832568,13.727632779191874,8.347757936817173,7.858907228765724,33.93663323265843,0.0,7.1834155898043806,7.458784084249276,13.110731325646913,0.0,0.0,30.451528538875277
34,1.1960139251727866,13.89442661780103,8.407045810714715,8.244062740694758,34.12213414399517,0.0,6.819423072532735,6.530423955254905,13.564953827013252,0.0,0.0,30.719002260509185
35,1.2070247274681487,14.061220456410197,8.468540424379368,8.629218252623799,34.3076350553319,0.0,6.4554305552610725,5.6020638262604665,14.019176328379663,0.0,0.0,30.9864759821431
36,1.217568594775279,14.228014295019358,8.532194063625658,9.014373764552836,34.493135966668625,0.0,6.091438037989422,4.673703697266075,14.473398829746026,0.0,0.0,31.253949703777018
37,1.2276548014834954,14.39480813362852,8.597958776565529,9.399529276481871,34.67863687800538,0.0,5.727445520717766,3.745343568271659,14.927621331112395,0.0,0.0,31.521423425410934
38,1.2372932581514946,14.561601972237682,8.665786500474224,9.784684788410916,34.8641377893421,0.0,5.363453003446114,2.8169834392772564,15.381843832478765,0.0,0.0,31.78889714704485
39,1.2464944226542278,14.728395810846843,8.735629180786708,10.169840300339953,35.04963870067884,0.0,4.999460486174457,1.8886233102828462,15.836066333845142,0.0,0.0,32.05637086867876
40,1.2552692149119857,14.895189649455997,8.807438882033356,10.554995812268972,35.23513961201556,0.0,4.6354679689028195,0.9602631812884834,16.290288835211506,0.0,0.0,32.32384459031266
41,1.2636289357049757,15.061983488065165,8.88116789062247,10.940151324198018,35.4206405233523,0.0,4.271475451631155,0.03190305229404762,16.74451133657789,0.0,0.0,32.59131831194659
42,1.2712835492373122,15.228777326674322,8.958894005107258,11.716640725911228,35.195302395334785,0.0,3.2483355327424723,0.0,16.617848273537373,0.0,0.0,33.22187307247414
43,1.2779153037297653,15.395571165283487,9.042921994074897,12.507056890962836,34.955343356068305,0.0,2.201737921823859,0.0,16.470512695303622,0.0,0.0,33.86534913584137
44,1.2835627769366413,15.562365003892644,9.133080559760277,13.297473056014427,34.7153843168018,0.0,1.155140310905251,0.0,16.32317711706991,0.0,0.0,34.5088251992086
45,1.2882686384275819,15.729158842501805,9.229190037873826,14.087889221066026,34.475425277535344,0.0,0.10854269998665465,0.0,16.17584153883615,0.0,0.0,35.152301262575826
46,1.290911179482935,15.89595268111097,9.339503843571492,16.472938842680264,32.79577832170426,0.0,0.0,0.0,14.426338373253037,0.0,0.0,36.30494446236245
47,1.2899447775033086,16.06274651972013,9.475803905929677,19.042504124142503,30.949544514953402,0.0,0.0,0.0,12.491447770606992,0.0,0.0,37.51650359029711
48,1.2857101025938433,16.22954035832929,9.63674281995016,21.21232979033622,29.42340080115507,0.18903894206402025,0.0,0.0,10.636023630653552,0.0,0.0,38.53920683579115
49,1.2799012420140892,16.396334196938454,9.810797135064849,21.897608306570984,29.086003003629102,1.0801279486026427,0.0,0.0,9.075720880228877,0.0,0.0,38.8605398609684
50,1.273310545876581,16.563128035547614,9.992570404863512,22.58288682280573,28.74860520610319,1.9712169551412264,0.0,0.0,7.515418129804227,0.0,0.0,39.18187288614563
51,1.2660462799348062,16.729921874156776,10.181649217594057,23.26816533904048,28.411207408577233,2.862305961679825,0.0,0.0,5.955115379379585,0.0,0.0,39.50320591132287
52,1.2582090120527463,16.896715712765936,10.377634263517631,23.95344385527522,28.07380961105129,3.7533949682184176,0.0,0.0,4.394812628954972,0.0,0.0,39.824538936500105
