portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error_pct
Current Portfolio,2019-01-31,0.06553323122371275,0.07300253510821819,-0.007469303884505438,-0.03623330115448442,-0.05230666231685199,-0.011839689507835205,6.22500773649998
Current Portfolio,2019-02-28,0.02189211844007053,0.03809448817146466,-0.016202369731394127,-0.05887047396673606,-0.05230666231685199,-0.02667243503973049,6.0697597151597655
Current Portfolio,2019-03-31,0.03091651053321061,0.03564845465649524,-0.004731944123284634,-0.06731315252157533,-0.05230666231685199,-0.02287006008830672,6.019106884494586
Current Portfolio,2019-04-30,0.04456234493656046,0.06740788817044252,-0.022845543233882062,-0.103426152273004,-0.05230666231685199,-0.035426704845464396,6.089633041469221
Current Portfolio,2019-05-31,-0.020982436825273804,-0.04355377236532809,0.022571335540054287,-0.06633478982843743,-0.05230666231685199,-0.01892512465492957,6.179052005862317
Current Portfolio,2019-06-30,0.042472861514511594,0.04000230315310915,0.0024705583614024404,-0.06549637170773503,-0.05230666231685199,-0.02720672541353264,6.007337194881609
Current Portfolio,2019-07-31,0.03276300555471036,0.04217745176636578,-0.009414446211655422,-0.0821306791531311,-0.05230666231685199,-0.03093029822475568,6.0191889048584795
Current Portfolio,2019-08-31,0.024285515304887418,0.0005378721332285341,0.023747643171658884,-0.046037164126339736,-0.05230666231685199,-0.01982409508343075,6.203337729620179
Current Portfolio,2019-09-30,-0.007220256177030948,0.01172198981871575,-0.018942245995746697,-0.07610197994403989,-0.05230666231685199,-0.03271787164947093,6.202158255447228
Current Portfolio,2019-10-31,-0.001545650420384576,-0.0071594025318534316,0.0056137521114688555,-0.0668701906025242,-0.05230666231685199,-0.029443647269758122,6.220696038022597
Current Portfolio,2019-11-30,0.01858200538999833,0.048049888492659454,-0.029467883102661123,-0.11561259585936945,-0.05230666231685199,-0.019317951502666464,5.568068036467246
Current Portfolio,2019-12-31,0.022575622889023386,0.01099260967868565,0.011583013210337736,-0.09865461676668952,-0.05230666231685199,-0.011402319953739415,5.599702766924021
Current Portfolio,2020-01-31,0.04058824843426056,0.02619505688549273,0.01439319154876783,-0.07807610576318758,0.1253383321344106,-0.010341201158734936,5.630666831861291
Current Portfolio,2020-02-29,-0.03039773783112768,-0.060401517123607196,0.030003779292479514,-0.02311571127251777,0.1253383321344106,0.0036915724770492098,5.900458997545554
Current Portfolio,2020-03-31,-0.06331287317110389,-0.12100637041749096,0.057693497246387074,0.07335841526553666,0.1253383321344106,0.026608364941341556,6.77718625320017
Current Portfolio,2020-04-30,0.11826160213741309,0.12355628526199713,-0.005294683124584046,0.07436962685511395,0.1253383321344106,0.023083930328495317,6.780556374780454
Current Portfolio,2020-05-31,0.05644578451904962,0.06925517048037588,-0.012809385961326261,0.05773436969226742,0.1253383321344106,0.01837406764777816,6.828651604699558
Current Portfolio,2020-06-30,0.006781839458917025,-0.01481212684087041,0.021593966299787434,0.09567847544126162,0.1253383321344106,0.033458370915731894,6.8285082255048435
Current Portfolio,2020-07-31,0.06781507722170858,0.051089932862508736,0.016725144359199848,0.1308216319602371,0.1253383321344106,0.03499192690458197,6.8499861536361575
Current Portfolio,2020-08-31,0.05547188855272583,0.06753057327459566,-0.012058684721869835,0.1163632461311308,0.1253383321344106,0.02594905068841946,6.863803424522666
Current Portfolio,2020-09-30,-0.06021636274095717,-0.056304911315446016,-0.003911451425511157,0.10183685487834526,0.1253383321344106,0.03212121032602755,6.719121106833842
Current Portfolio,2020-10-31,-0.04412412518573148,-0.053638251224626066,0.009514126038894587,0.11460363895425063,0.1253383321344106,0.03234781302736689,6.724972562176067
Current Portfolio,2020-11-30,0.044193139172753824,0.08404947457871903,-0.039856335405965206,0.05124052537714063,0.1253383321344106,0.02373815380239197,7.099967813173275
Current Portfolio,2020-12-31,0.04101423907504258,0.020229711772993486,0.02078452730204909,0.09202550591078418,0.1253383321344106,0.029802486940460282,7.187199400854046
Current Portfolio,2021-01-31,0.018770685371922995,0.013379039886860955,0.00539164548506204,0.10399061752318128,-0.1600981419482228,0.031188145136519907,7.1902850054467375
Current Portfolio,2021-02-28,0.00047104363863766313,0.03412569107954133,-0.03365464744090367,0.039280726385753084,-0.1600981419482228,0.01279053176360323,7.425458357064593
Current Portfolio,2021-03-31,0.015521381298694362,0.05293772647497863,-0.03741634517628427,-0.03456373813492597,-0.1600981419482228,-0.004844068347825914,7.719095463485988
Current Portfolio,2021-04-30,0.027912095049827324,0.03369631501624393,-0.005784219966416603,-0.04764771555921943,-0.1600981419482228,-0.007246999518449426,7.7237500643846575
Current Portfolio,2021-05-31,0.03229942395401294,0.01627113127076285,0.016028292683250088,-0.014472242577581618,-0.1600981419482228,-3.3078559136257013e-06,7.785917801635681
Current Portfolio,2021-06-30,0.019490004338282126,0.03368304295862057,-0.014193038620338442,-0.045994103973649114,-0.1600981419482228,0.003999768060170883,7.697887391820353
