point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_132030_pct
52,1.2351511914300437,17.429247259529596,11.002510943761337,24.649803013870542,27.79454802451263,6.951470310314544,0.0,0.0,0.0,0.0,40.604178651302284
53,1.2262156335535743,17.590686633869485,11.214343953027079,24.938167552824662,26.555698159256163,7.840998069927633,0.0,0.0,0.0,0.0,40.665136217991545
54,1.216840894477556,17.752126008209363,11.433411970890402,25.226532091778747,25.31684829399976,8.730525829540685,0.0,0.0,0.0,0.0,40.726093784680806
55,1.2071114002738008,17.91356538254926,11.659307186342737,25.514896630732874,24.077998428743282,9.620053589153772,0.0,0.0,0.0,0.0,40.787051351370074
56,1.1971032892228153,18.075004756889147,11.891640534636288,25.803261169686976,22.839148563486855,10.509581348766856,0.0,0.0,0.0,0.0,40.84800891805933
57,1.1868847012328485,18.236444131229028,12.13004208214482,26.091625708641082,21.600298698230414,11.39910910837991,0.0,0.0,0.0,0.0,40.908966484748596
58,1.1765161796569858,18.397883505568917,12.374161102648621,26.379990247595202,20.36144883297395,12.288636867993006,0.0,0.0,0.0,0.0,40.96992405143785
59,1.166051148198158,18.559322879908798,12.623665903536017,26.668354786549315,19.12259896771753,13.178164627606048,0.0,0.0,0.0,0.0,41.030881618127104
60,1.1555364323267951,18.720762254248687,12.87824345413581,26.956719325503425,17.88374910246108,14.067692387219138,0.0,0.0,0.0,0.0,41.091839184816365
61,1.1450128009075748,18.88220162858857,13.137598861815803,27.245083864457488,16.644899237204687,14.957220146832217,0.0,0.0,0.0,0.0,41.15279675150561
62,1.1345155093205916,19.043641002928457,13.401454734993292,27.533448403411633,15.406049371948209,15.846747906445286,0.0,0.0,0.0,0.0,41.21375431819487
63,1.1240748301705006,19.205080377268345,13.669550466063715,27.82181294236576,14.16719950669173,16.73627566605837,0.0,0.0,0.0,0.0,41.27471188488414
64,1.1137165616921436,19.366519751608234,13.94164146162672,28.110177481319848,12.928349641435293,17.62580342567145,0.0,0.0,0.0,0.0,41.3356694515734
65,1.1034625072251767,19.52795912594812,14.217498342357345,28.398542020273972,11.689499776178842,18.515331185284513,0.0,0.0,0.0,0.0,41.39662701826267
66,1.0933309217173346,19.689398500288007,14.496906130461657,28.686906559228078,10.450649910922412,19.40485894489759,0.0,0.0,0.0,0.0,41.45758458495193
67,1.0833369232149022,19.850837874627892,14.779663438860766,28.975271098182187,9.21180004566598,20.29438670451065,0.0,0.0,0.0,0.0,41.51854215164119
68,1.07349286880183,20.012277248967774,15.065581673027987,29.263635637136275,7.972950180409548,21.183914464123735,0.0,0.0,0.0,0.0,41.579499718330446
69,1.0638086955437371,20.17371662330767,15.35448425371084,29.552000176090402,6.734100315153074,22.073442223736826,0.0,0.0,0.0,0.0,41.6404572850197
70,1.054292227759668,20.33515599764755,15.646205866545706,29.840364715044487,5.495250449896667,22.962969983349886,0.0,0.0,0.0,0.0,41.701414851708954
71,1.0449494524526461,20.496595371987443,15.940591742758583,30.128729253998593,4.256400584640195,23.85249774296299,0.0,0.0,0.0,0.0,41.76237241839822
72,1.0357847650389131,20.65803474632732,16.23749697368331,30.41709379295271,3.017550719383751,24.74202550257604,0.0,0.0,0.0,0.0,41.82332998508749
73,1.0268011876742051,20.81947412066721,16.536785860666654,30.705458331906804,1.7787008541273412,25.631553262189133,0.0,0.0,0.0,0.0,41.88428755177673
74,1.0180005625231399,20.980913495007098,16.838331301017107,30.99382287086095,0.5398509888708638,26.52108102180218,0.0,0.0,0.0,0.0,41.94524511846601
75,1.0093473048032593,21.14235286934698,17.14263269776992,30.688745560958665,0.0,27.731039412572066,0.0,0.0,0.0,0.0,41.58021502646926
76,1.0006828168594242,21.30379224368687,17.452392697095313,29.92534109236471,0.0,29.1884728693807,0.0,0.0,0.0,0.0,40.88618603825459
