point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
44,0.16600543294162284,0.10159959779539958,1.2560148674249394,0.2213176518037046,0.1491655584695651,0.06039904860527765,0.3650235097618116,0.0,0.0,0.13823066209704005,0.06586231506405091
45,0.16684133050405822,0.1022168484189786,1.2566079360161788,0.22413894841611032,0.1511000529885832,0.0605484259742299,0.366517345133707,0.0,0.0,0.1365766775787232,0.06111729571010695
46,0.16767722806649052,0.10284445544997496,1.2570672858797765,0.2269602450286147,0.15303454750734702,0.06069780334314722,0.3680111805056973,0.0,0.0,0.13492269306054816,0.056372276356095034
47,0.16851312562892948,0.10348223045754501,1.25739750165228,0.22978154164113895,0.1549690420261248,0.06084718071203918,0.3695050158776894,0.0,0.0,0.13326870854239137,0.051627257002100246
48,0.16934902319136627,0.10412998661148055,1.2576031157457326,0.2326028382534804,0.1569035365451677,0.060996558080915746,0.3709988512496791,0.0,0.0,0.131614724024133,0.04688223764812309
49,0.170184920753791,0.10478753881314595,1.2576886017199842,0.2354241348658328,0.15883803106402905,0.061145935449903904,0.37249268662164314,0.0,0.0,0.12996073950594786,0.04213721829408307
50,0.171021027832202,0.10545482776371383,1.25765887687155,0.23825061610999373,0.16076413523795588,0.061294668528932804,0.3739966601494431,6.491325184046276e-05,0.0,0.1282351750215348,0.03739392108301931
51,0.171856818735383,0.10613080180602016,1.2575236300683976,0.2413952725708225,0.16261620701482765,0.06140510205178361,0.37581589674758065,0.0014612204152366006,-2.5169700288722304e-06,0.12446942451813597,0.03283877884588824
52,0.17269271636149838,0.10681530260920916,1.257290720475035,0.24463146281127995,0.16450017840426595,0.0614919402241796,0.37768484601963537,0.0029448521854974936,-2.702757292498208e-06,0.12040106863517193,0.028347739438802613
53,0.17352861393059066,0.1075080444153877,1.2569644167487246,0.2478774688765273,0.16638729913607836,0.061576200043639534,0.3795590202904479,0.004437628391784252,-2.7222672040886884e-06,0.11630105156790999,0.02386343889784482
54,0.17436451149372287,0.10820886544556144,1.2565484662245225,0.2511245298829699,0.16827472251984266,0.06166018500935165,0.3814337424174016,0.005931363134660368,-2.724316982063426e-06,0.11219772081110102,0.019379845476115022
55,0.17520040905622997,0.10891760938557457,1.256046494609733,0.25437170471489445,0.17016217421229735,0.0617441405962678,0.38330852199500326,0.007425198361001879,-2.7245324233469264e-06,0.10809404331484579,0.014896326272303098
56,0.17603630637625253,0.10963412351165906,1.2554620257023181,0.2576234881572349,0.1720498177024237,0.06182690075419636,0.3851852614128446,0.008922416798565102,-2.6660338319789905e-06,0.1039788135932733,0.0104153555694637
57,0.17687220240711643,0.11035826086940966,1.2547984512439365,0.26090018383208924,0.173938453411046,0.06190320817240816,0.38707257801378725,0.010437897133270254,-2.2902112701839164e-06,0.09980123696110223,0.005948139703558675
58,0.17770809749994493,0.11108987298645132,1.2540591340016105,0.2641988463491103,0.17582791211182325,0.06197376129503547,0.38896920252182043,0.01196940798937152,-1.6359083864913969e-06,0.09556892865608099,0.0014930066673485949
59,0.17854409164746454,0.11183229287002185,1.2532092516796332,0.2718007082092566,0.1795696461257119,0.05959214245913863,0.39039451988401996,0.014651528874253491,0.0,0.08399218560246817,0.0
60,0.17938001544003143,0.11259674672191863,1.2521248789009607,0.28157541475485637,0.18425418015102224,0.055938909922336036,0.3915151016063144,0.017843426707388636,0.0,0.06887413817643652,0.0
61,0.18021591300743234,0.1133838001045441,1.250805540919083,0.2913517749551696,0.18893762926487295,0.05228531216156281,0.39263542879337165,0.02103540203607769,0.0,0.053755624176610714,0.0
62,0.1810518105698958,0.11419298774469909,1.249262199029477,0.3011281531351623,0.19362105841815186,0.04863171136632933,0.393755755763459,0.024227376796448305,0.0,0.038637115908218736,0.0
63,0.18188770813233318,0.11502384250358333,1.2475055381814086,0.3109045315906261,0.19830448726384048,0.0449781105248281,0.39487608273046404,0.027419351547454653,0.0,0.02351860773055999,0.0
64,0.18272360569476392,0.11587589830864246,1.2455461421677925,0.3206809100503607,0.20298791610472183,0.04132450968255218,0.3959964096975087,0.03061132629836876,0.0,0.00840009955423658,0.0
65,0.18355945731342696,0.1167512691530732,1.2433666098900729,0.3318915971245008,0.206562534468896,0.035593392780188166,0.3947183193638919,0.031233910966440456,0.0,0.0,0.0
66,0.18439534127477367,0.11766821822015527,1.2407812058087107,0.34495476441826023,0.20867651410816537,0.02726418373344293,0.3904521464728292,0.028651687223975576,0.0,0.0,0.0
67,0.1852312388175578,0.11862965289316364,1.2377715659641177,0.35804177447191654,0.2107621081847968,0.01893390824257126,0.3861892758533598,0.026072226173053492,0.0,0.0,0.0
68,0.18606713637977396,0.11963452173518259,1.2343620106615014,0.3711290661133886,0.21284737164443496,0.010603617653126635,0.38192644113660745,0.023492796342780724,0.0,0.0,0.0
69,0.18690303394220492,0.12068174001238147,1.2305772715968604,0.38421636105403384,0.2149326312307308,0.002273326886768696,0.377663606840165,0.020913366878201722,0.0,0.0,0.0
70,0.1877387802170391,0.12177427369798234,1.226399863416362,0.39579036953808044,0.21805344632979326,-5.001774321052439e-06,0.36925306775898437,0.01692817552992716,-7.102129900302129e-06,0.0,-1.4225921084934173e-05
71,0.18857477708347037,0.12292660192645369,1.2217042295459801,0.4073846154441449,0.2209314390032744,-6.499070514059126e-06,0.3592698206617766,0.012449856724784996,-7.717214491379869e-06,-7.496102666529874e-06,-1.4637347926490667e-05
72,0.18941067464339595,0.12413695176777681,1.2165261423503828,0.4189854103892178,0.22380306677760886,-6.503744353114332e-06,0.349280056935904,0.007967208616919208,-7.727719477919287e-06,-7.4839323719570696e-06,-1.4645217301544415e-05
73,0.1902465722060605,0.12540358415063135,1.2109043425541448,0.430586849416089,0.22667397272989837,-6.503884842025451e-06,0.339290309689109,0.003484610648580175,-7.728130196194932e-06,-7.483802812709453e-06,-1.4644560545316578e-05
74,0.1910823562959069,0.12672706277519577,1.2048533704324553,0.4432348645751464,0.22828302256140745,0.0,0.32847966906408754,0.0,0.0,0.0,1.4084064914839987e-06
75,0.19191833849325035,0.1281128458262987,1.1983459575568067,0.45750307105235866,0.22765854227706578,0.0,0.3148342516086741,1.245413901332521e-06,0.0,0.0,2.384728821629471e-06
