point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_EWJ_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
18,0.9574439072402293,11.27303274527038,7.763953512510641,3.356960354862214,32.19539194554473,0.0,11.592775841500643,19.661905282964174,5.066959073053122,0.0,1.195086790686035,26.930920711389085
19,0.9759183137390866,11.442609629197806,7.790741052339577,3.5629830162495915,32.266283761065694,0.0,11.39037611371389,19.220020759146163,5.595008880161935,0.0,0.7835845173995344,27.18174295226319
20,0.9941142782097919,11.612186513125234,7.818722580367404,3.769005677636979,32.337175576586695,0.0,11.187976385927143,18.77813623532814,6.123058687270707,0.0,0.37208224411305285,27.432565193137293
21,1.012027182862416,11.781763397052657,7.84789259905849,3.9917618273139133,32.41760826886716,0.0,10.965797310070291,18.285804870824702,6.655099398983403,0.0,0.0,27.68392832394053
22,1.0295327380757353,11.951340280980085,7.879164228930684,4.372463924905342,32.58809647125011,0.0,10.556922679407197,17.317310142563937,7.2248099138950295,0.0,0.0,27.94039686797839
23,1.0465401101615546,12.120917164907507,7.913155287481921,4.75316602249675,32.75858467363308,0.0,10.148048048744108,16.348815414303168,7.794520428806652,0.0,0.0,28.196865412016237
24,1.063042900478738,12.290494048834937,7.949830892439393,5.133868120088174,32.92907287601604,0.0,9.739173418081018,15.380320686042396,8.364230943718281,0.0,0.0,28.453333956054095
25,1.0790364156427132,12.46007093276236,7.989154072253378,5.514570217679586,33.09956107839899,0.0,9.330298787417933,14.411825957781643,8.933941458629914,0.0,0.0,28.709802500091946
26,1.0945176191095172,12.629647816689788,8.031085936488298,5.895272315271009,33.27004928078196,0.0,8.921424156754835,13.443331229520863,9.503651973541537,0.0,0.0,28.966271044129797
27,1.109485071357172,12.799224700617215,8.075585849061103,6.275974412862438,33.44053748316493,0.0,8.512549526091737,12.474836501260086,10.073362488453148,0.0,0.0,29.222739588167656
28,1.1239388601119134,12.96880158454464,8.122611602747611,6.656676510453844,33.61102568554789,0.0,8.103674895428654,11.506341772999333,10.64307300336478,0.0,0.0,29.47920813220551
29,1.1378805221217814,13.138378468472064,8.17211959346305,7.037378608045261,33.78151388793085,0.0,7.694800264765562,10.537847044738562,11.212783518276408,0.0,0.0,29.73567667624336
30,1.1513129579986294,13.307955352399492,8.224064992926166,7.418080705636684,33.952002090313805,0.0,7.285925634102462,9.569352316477781,11.782494033188044,0.0,0.0,29.992145220281223
31,1.1642403416346858,13.477532236326917,8.278401918433474,7.798782803228099,34.122490292696774,0.0,6.8770510034393855,8.600857588217032,12.352204548099646,0.0,0.0,30.248613764319078
32,1.1766680256552928,13.647109120254344,8.335083598597603,8.179484900819519,34.29297849507974,0.0,6.46817637277628,7.632362859956232,12.921915063011305,0.0,0.0,30.50508230835693
33,1.1886024442996084,13.816686004181772,8.39406253403779,8.56018699841094,34.463466697462685,0.0,6.059301742113184,6.663868131695459,13.491625577922948,0.0,0.0,30.76155085239478
34,1.2000510150305463,13.986262888109193,8.455290652148005,8.940889096002357,34.633954899845655,0.0,5.650427111450101,5.69537340343471,14.061336092834539,0.0,0.0,31.018019396432635
35,1.2110220400686407,14.155839772036618,8.51871945520595,9.321591193593772,34.80444310222861,0.0,5.241552480787015,4.726878675173951,14.631046607746171,0.0,0.0,31.274487940470486
36,1.221524608926465,14.325416655964046,8.584300161221396,9.702293291185196,34.97493130461158,0.0,4.83267785012392,3.758383946913166,15.200757122657802,0.0,0.0,31.530956484508344
37,1.2315685028949708,14.494993539891468,8.651983837052944,10.082995388776608,35.14541950699454,0.0,4.4238032194608365,2.789889218652418,15.770467637569412,0.0,0.0,31.78742502854619
38,1.2411641023045406,14.664570423818896,8.72172152344613,10.463697486368016,35.315907709377484,0.0,4.014928588797741,1.8213944903916448,16.340178152481073,0.0,0.0,32.04389357258405
39,1.2503222972551442,14.83414730774632,8.79346435176148,10.84439958395944,35.486395911760454,0.0,3.6060539581346536,0.8528997621308817,16.909888667392682,0.0,0.0,32.3003621166219
40,1.2590495883270014,15.003724191673745,8.867197556442447,11.278643979362023,35.61398461680451,0.0,3.1233680090820988,0.0,17.37733560471206,0.0,0.0,32.60666779003931
41,1.2669532479324743,15.173301075601172,8.945727346668871,12.107942022825434,35.4250459478556,0.0,2.0960765464451923,0.0,17.090246389435812,0.0,0.0,33.280689093437964
42,1.2738041230714838,15.342877959528597,9.030741063367053,12.937240066288833,35.236107278906694,0.0,1.0687850838082833,0.0,16.80315717415958,0.0,0.0,33.95471039683661
43,1.279642468768911,15.512454843456029,9.122057425981964,13.766538109752263,35.04716860995778,0.0,0.041493621171353086,0.0,16.51606795888333,0.0,0.0,34.62873170023528
44,1.2836519456581423,15.682031727383453,9.225669784414153,15.97675813344103,34.43909713797977,0.0,0.0,0.0,13.718904143617946,0.0,0.0,35.865240584961256
45,1.2849520598194248,15.851608611310875,9.348306624278463,18.245103110446202,33.813383775324134,0.0,0.0,0.0,10.816087749108895,0.0,0.0,37.125425365120776
46,1.2837383645394818,16.0211854952383,9.489241011339237,20.51344808745146,33.18767041266848,0.0,0.0,0.0,7.913271354599718,0.0,0.0,38.38561014528034
47,1.280640818719053,16.19076237916573,9.644608730259959,21.552074886070194,33.19286177968567,0.5767514287999013,0.0,0.0,5.628951019760366,0.0,0.0,39.04936088568387
48,1.2768075365889708,16.360339263093156,9.806377347930061,22.182001061860305,33.4077362761343,1.3451879707507122,0.0,0.0,3.5501897546713463,0.0,0.0,39.51488493658334
49,1.2723631526373607,16.52991614702058,9.973908284042254,22.811927237650405,33.622610772582924,2.1136245127015463,0.0,0.0,1.471428489582303,0.0,0.0,39.980408987482825
50,1.267351143366453,16.699493030948005,10.147156405420041,23.34630910146412,33.394519725624825,2.9305389441430694,0.0,0.0,0.0,0.0,0.0,40.328632228767994
51,1.2613659858851807,16.869069914875432,10.32974354949888,23.649208937089444,32.09322442103695,3.864904220637213,0.0,0.0,0.0,0.0,0.0,40.392662421236395
52,1.2543700893754395,17.038646798802855,10.522543667119908,23.952108772714762,30.79192911644908,4.7992694971313465,0.0,0.0,0.0,0.0,0.0,40.4566926137048
53,1.2465019545477596,17.20822368273028,10.725005986019388,24.255008608340102,29.490633811861183,5.73363477362549,0.0,0.0,0.0,0.0,0.0,40.52072280617322
54,1.23789160695723,17.377800566657708,10.936593908504284,24.557908443965427,28.189338507273288,6.668000050119649,0.0,0.0,0.0,0.0,0.0,40.58475299864164
55,1.2286595737675783,17.547377450585135,11.156788246829324,24.860808279590746,26.888043202685424,7.602365326613786,0.0,0.0,0.0,0.0,0.0,40.64878319111005
56,1.2189163194557917,17.716954334512558,11.385089652493726,25.163708115216078,25.58674789809755,8.536730603107912,0.0,0.0,0.0,0.0,0.0,40.712813383578464
57,1.208762058646487,17.886531218439984,11.621020331783493,25.466607950841365,24.28545259350969,9.471095879602078,0.0,0.0,0.0,0.0,0.0,40.776843576046865
58,1.1982868665086646,18.056108102367414,11.864125144898203,25.76950778646673,22.98415728892176,10.405461156096223,0.0,0.0,0.0,0.0,0.0,40.84087376851529
59,1.1875710136894582,18.225684986294837,12.113972185107615,26.072407622092044,21.68286198433391,11.339826432590359,0.0,0.0,0.0,0.0,0.0,40.90490396098369
60,1.1766854617528915,18.395261870222264,12.370152929329167,26.37530745771737,20.381566679746026,12.274191709084501,0.0,0.0,0.0,0.0,0.0,40.96893415345211
61,1.1656924651042795,18.564838754149694,12.632282043799362,26.678207293342698,19.080271375158148,13.20855698557864,0.0,0.0,0.0,0.0,0.0,41.03296434592052
62,1.1546462353902054,18.734415638077113,12.899996919335882,26.981107128967995,17.77897607057031,14.142922262072775,0.0,0.0,0.0,0.0,0.0,41.096994538388934
63,1.143593633705615,18.903992522004543,13.172957000967159,27.28400696459334,16.477680765982413,15.07728753856692,0.0,0.0,0.0,0.0,0.0,41.161024730857335
64,1.1325748642355162,19.073569405931966,13.450842967095364,27.586906800218635,15.176385461394567,16.011652815061062,0.0,0.0,0.0,0.0,0.0,41.22505492332575
65,1.1216241500438968,19.243146289859396,13.733355804291355,27.889806635843996,13.875090156806625,16.94601809155522,0.0,0.0,0.0,0.0,0.0,41.28908511579417
66,1.1107703775777809,19.41272317378682,14.020215815555115,28.192706471469297,12.573794852218784,17.88038336804935,0.0,0.0,0.0,0.0,0.0,41.35311530826258
67,1.100037701153194,19.582300057714246,14.311161592543606,28.495606307094622,11.272499547630902,18.814748644543485,0.0,0.0,0.0,0.0,0.0,41.417145500731
68,1.089446102356773,19.751876941641665,14.605948975904429,28.79850614271996,9.971204243043012,19.749113921037626,0.0,0.0,0.0,0.0,0.0,41.481175693199404
69,1.07901190207838,19.9214538255691,14.904350022433958,29.10140597834528,8.669908938455123,20.68347919753179,0.0,0.0,0.0,0.0,0.0,41.54520588566782
70,1.0687482249358353,20.091030709496525,15.206151993236322,29.4043058139706,7.368613633867259,21.617844474025922,0.0,0.0,0.0,0.0,0.0,41.60923607813623
71,1.0586654173030994,20.260607593423952,15.511156373309435,29.707205649595902,6.067318329279387,22.55220975052009,0.0,0.0,0.0,0.0,0.0,41.67326627060463
72,1.0487714211331374,20.430184477351375,15.819177929930037,30.01010548522125,4.76602302469146,23.486575027014233,0.0,0.0,0.0,0.0,0.0,41.737296463073044
