point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_GLD_pct
70,1.4713622670069253,21.25830153810809,11.838565640888095,19.73218821011968,12.357193070796386,4.281739547565889,0.0,0.0,3.62887917151805,0.0,0.0,60.0
71,1.4668745979534314,21.447867391012046,12.004014969622077,20.37676789629121,12.239002017355931,5.392005281110503,0.0,0.0,1.9922248052423541,0.0,0.0,60.0
72,1.4613740091606817,21.637433243915996,12.178915441035722,21.021347582462685,12.120810963915494,6.502271014655088,0.0,0.0,0.355570438966758,0.0,0.0,60.0
73,1.4548649598903076,21.82699909681995,12.36370167273495,21.427062150386572,10.998082230496486,7.574855619116945,0.0,0.0,0.0,0.0,0.0,60.0
74,1.4472502504432794,22.0165649497239,12.559736773606181,21.76647866153319,9.59653967683165,8.636981661635163,0.0,0.0,0.0,0.0,0.0,60.0
75,1.4386523058473841,22.20613080262785,12.766564908947181,22.105895172679794,8.194997123166841,9.699107704153375,0.0,0.0,0.0,0.0,0.0,60.0
76,1.429196327111901,22.395696655531804,12.983670294206004,22.445311683826404,6.793454569502004,10.761233746671603,0.0,0.0,0.0,0.0,0.0,60.0
77,1.419001107578184,22.585262508435758,13.2105462424963,22.78472819497301,5.391912015837146,11.823359789189853,0.0,0.0,0.0,0.0,0.0,60.0
78,1.4081780752728534,22.77482836133971,13.446698208996077,23.124144706119633,3.990369462172299,12.885485831708078,0.0,0.0,0.0,0.0,0.0,60.0
79,1.3968306760614495,22.96439421424366,13.691646226977355,23.46356121726624,2.588826908507487,13.94761187422629,0.0,0.0,0.0,0.0,0.0,60.0
80,1.3850540490376466,23.153960067147615,13.94492678603183,23.802977728412856,1.1872843548426053,15.00973791674454,0.0,0.0,0.0,0.0,0.0,60.0
81,1.3729225672359229,23.34352592005157,14.206222278579025,23.807461576312758,0.0,16.192538423687246,0.0,0.0,0.0,0.0,0.0,60.0
82,1.359880417529687,23.533091772955515,14.481868229347384,21.955958987360063,0.0,18.044041012639944,0.0,0.0,0.0,0.0,0.0,60.0
83,1.3457452595907706,23.722657625859473,14.774842954516581,20.104456398407233,0.0,19.89554360159277,0.0,0.0,0.0,0.0,0.0,60.0
84,1.3307185570073319,23.912223478763423,15.084136772906023,18.252953809454503,0.0,21.7470461905455,0.0,0.0,0.0,0.0,0.0,60.0
85,1.314985589128132,24.101789331667373,15.408767016588445,16.401451220501727,0.0,23.59854877949827,0.0,0.0,0.0,0.0,0.0,60.0
86,1.29871420547134,24.291355184571326,15.747785263138839,14.549948631548993,0.0,25.45005136845101,0.0,0.0,0.0,0.0,0.0,60.0
87,1.2820544042559667,24.480921037475277,16.100282648171813,12.698446042596242,0.0,27.301553957403762,0.0,0.0,0.0,0.0,0.0,60.0
88,1.2651385548834306,24.67048689037923,16.46539349492665,10.846943453643442,0.0,29.15305654635656,0.0,0.0,0.0,0.0,0.0,60.0
89,1.2480820962928076,24.860052743283184,16.8422975115981,8.995440864690716,0.0,31.004559135309297,0.0,0.0,0.0,0.0,0.0,60.0
90,1.2309845636750019,25.049618596187134,17.230220803293708,7.1439382757379395,0.0,32.85606172426207,0.0,0.0,0.0,0.0,0.0,60.0
91,1.2139308204008072,25.239184449091077,17.628435929656014,5.292435686785237,0.0,34.707564313214775,0.0,0.0,0.0,0.0,0.0,60.0
92,1.1969923968538447,25.428750301995045,18.036261216127382,3.440933097832381,0.0,36.55906690216762,0.0,0.0,0.0,0.0,0.0,60.0
93,1.1802288610151566,25.618316154898995,18.45305950029519,1.5894305088796012,0.0,38.410569491120405,0.0,0.0,0.0,0.0,0.0,60.0
94,1.161378256157104,25.807882007802952,18.915800371425686,0.0,0.0,40.46094458008218,0.0,0.0,0.0,0.0,0.0,59.539055419917815
95,1.1283440223847465,25.997447860706902,19.637596923016016,0.0,0.0,43.717453564738065,0.0,0.0,0.0,0.0,0.0,56.282546435261935
96,1.0952342089585714,26.187013713610853,20.404339795266097,0.0,0.0,46.97396254939413,0.0,0.0,0.0,0.0,0.0,53.02603745060585
97,1.0625115137757168,26.376579566514803,21.21115537638439,0.0,0.0,50.23047153405001,0.0,0.0,0.0,0.0,0.0,49.769528465949996
98,1.0305172506442217,26.566145419418756,22.05364601765825,0.0,0.0,53.486980518706105,0.0,0.0,0.0,0.0,0.0,46.5130194812939
99,0.9994918467827965,26.755711272322714,22.92787938937739,0.0,0.0,56.74348950336212,0.0,0.0,0.0,0.0,0.0,43.256510496637894
100,0.969592897437703,26.94525169273203,23.83038179752745,0.0,0.0,60.00010123670882,0.0,0.0,0.0,0.0,0.0,39.999764818041804
