date,optimized_drawdown_pct,provided_drawdown_pct,benchmark_drawdown_pct
2022-03-31,0.0,0.0,-2.6416502200513947
2022-04-30,-1.244169883648194,-2.3674090035550432,-6.960666220596434
2022-05-31,-4.090610937696804,-2.476131104332102,-8.989753819648971
2022-06-30,-6.026658371147486,-6.978670211352633,-13.403065561027583
2022-07-31,-2.167363783135845,-1.9570775254644124,-4.88216017308477
2022-08-31,-1.6930048119863539,-1.2960476519102704,-5.44448810725684
2022-09-30,-1.2514783225151094,-3.9126724927861956,-8.565454400805972
2022-10-31,0.0,0.0,-1.7230151910395786
2022-11-30,-1.0010995679775925,0.0,-3.285383828726718
2022-12-31,-6.214069366498598,-5.777779727743937,-13.336259062779964
2023-01-31,-5.002176103277245,-3.837578496326477,-9.988296743672242
2023-02-28,-2.694288060344663,-2.8124663354916812,-6.063087943405765
2023-03-31,0.0,0.0,-4.194719414107595
2023-04-30,0.0,0.0,0.0
2023-05-31,-2.8246404481924614,-3.4307819794862193,-0.8622288120753163
2023-06-30,-0.6370913377304666,0.0,0.0
2023-07-31,-1.4090765902505353,0.0,-0.2500989304618506
2023-08-31,0.0,0.0,0.0
2023-09-30,-0.8522233715782868,-0.8885837790193141,-3.074402980315827
2023-10-31,0.0,-2.6911504108790174,-5.163038799298059
2023-11-30,0.0,-0.8582514823404552,-1.084585494680601
2023-12-31,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,0.0,-1.4966156802127206
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,-0.4001531562106253,-0.17778314018823682
2024-08-31,-0.390057657715559,-1.3888613995243437,-0.46211163033326175
2024-09-30,0.0,-0.03139225921057198,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.7079087405781337
2025-03-31,0.0,0.0,-4.811243472416438
2025-04-30,-0.948445293909117,-5.154828548217749,-8.727148613561175
2025-05-31,-0.24205587349310775,-3.5666703366448838,-6.625493943268768
2025-06-30,0.0,0.0,-3.3969185588284545
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,-0.2878271598685589,0.0,-1.5288936878936399
2026-01-31,0.0,0.0,-0.7134922069951144
2026-02-28,0.0,0.0,-1.3262838016641298
2026-03-31,-2.7254820634381005,-0.5634471531013263,-1.5483721436609477
2026-04-30,0.0,0.0,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-0.447725211116079,0.0,0.0
2026-07-31,-11.221150766948373,-9.594547242972496,-8.234183406494822
2026-08-31,-8.171002714224397,-7.237509280554876,-8.163424536463548
