point,sharpe,expected_return_pct,volatility_pct,weight_SPY_pct,weight_QQQ_pct,weight_TLT_pct,weight_GLD_pct,weight_CPER_pct,weight_MCHI_pct,weight_EWY_pct
18,0.7468985500762602,8.57516898355419,9.278670846299562,45.061319050011825,0.0,32.31287279385426,18.76875716389625,3.8570509922376637,0.0,0.0
19,0.756295375923516,8.681424254746585,9.303879538250674,45.851592852017504,0.0,31.699366789381937,19.00056680703234,3.448473551568215,0.0,0.0
20,0.7655292905423537,8.787679525938978,9.330454670206532,46.64186665402318,0.0,31.08586078490961,19.232376450168438,3.039896110898768,0.0,0.0
21,0.7745986005236424,8.893934797131372,9.35838460127961,47.43214045602887,0.0,30.472354780437282,19.464186093304527,2.6313186702293234,0.0,0.0
22,0.7835018577166731,9.000190068323768,9.38765723918087,48.222414258034554,0.0,29.85884877596494,19.695995736440636,2.2227412295598694,0.0,0.0
23,0.7922378556989271,9.10644533951616,9.418260064226924,49.012688060040226,0.0,29.245342771492616,19.92780537957673,1.814163788890426,0.0,0.0
24,0.8008056254840604,9.212700610708556,9.450180153662028,49.80296186204591,0.0,28.631836767020292,20.159615022712824,1.4055863482209765,0.0,0.0
25,0.8090099067353873,9.318955881900951,9.485684459724176,50.0,0.2188455988917318,27.579982006595234,21.050165207559605,1.1510071869534297,0.0,0.0
26,0.8169139375298273,9.425211153093342,9.523975064987903,50.0,0.7982204181081672,27.09220250900716,21.248047199313152,0.8615298735715222,0.0,0.0
27,0.8246747472616994,9.531466424285737,9.563192359963065,50.0,1.377595237324608,26.604423011419076,21.4459291910667,0.5720525601896177,0.0,0.0
28,0.8322928278096717,9.63772169547813,9.60332499163111,50.0,1.9569700565410544,26.11664351383099,21.643811182820244,0.28257524680771173,0.0,0.0
29,0.8397687776978976,9.743976966670525,9.64436163851513,50.0,2.5360684215329505,25.62617827893396,21.837753299533095,0.0,0.0,0.0
30,0.8470864266351172,9.850232237862915,9.686483926603117,50.0,3.103848564671337,25.02575715259791,21.870394282730754,0.0,0.0,0.0
31,0.854231250461194,9.95648750905531,9.729852803617032,50.0,3.671628707809734,24.425336026261853,21.903035265928413,0.0,0.0,0.0
32,0.8612042779631016,10.062742780247707,9.774451676365437,50.0,4.2394088509481325,23.82491489992579,21.935676249126075,0.0,0.0,0.0
33,0.868006710892959,10.1689980514401,9.820263786731356,50.0,4.807188994086529,23.22449377358973,21.968317232323738,0.0,0.0,0.0
34,0.8746399140787929,10.275253322632492,9.867272236145446,50.0,5.374969137224916,22.62407264725369,22.000958215521393,0.0,0.0,0.0
35,0.8811054054736341,10.381508593824888,9.915460009362224,50.0,5.942749280363317,22.023651520917632,22.033599198719052,0.0,0.0,0.0
36,0.8874048461960791,10.487763865017282,9.964809997493761,50.0,6.5105294235017155,21.423230394581577,22.06624018191671,0.0,0.0,0.0
37,0.8935400306118442,10.594019136209676,10.015305020261586,50.0,7.078309566640102,20.822809268245525,22.098881165114374,0.0,0.0,0.0
38,0.8995128765020645,10.70027440740207,10.066927847433773,50.0,7.646089709778497,20.222388141909466,22.131522148312037,0.0,0.0,0.0
39,0.905325415360234,10.806529678594464,10.11966121942002,50.0,8.213869852916897,19.621967015573414,22.16416313150969,0.0,0.0,0.0
40,0.9109797828557836,10.912784949786857,10.173487867003367,50.0,8.781649996055295,19.021545889237355,22.19680411470735,0.0,0.0,0.0
41,0.9164782094983878,11.019040220979251,10.22839053019248,50.0,9.349430139193684,18.421124762901307,22.229445097905007,0.0,0.0,0.0
42,0.9218230115332403,11.125295492171645,10.284351976183673,50.0,9.91721028233208,17.820703636565245,22.26208608110267,0.0,0.0,0.0
43,0.9270165820937579,11.231550763364039,10.341355016426528,50.0,10.484990425470482,17.220282510229197,22.294727064300325,0.0,0.0,0.0
44,0.9320613826345095,11.337806034556431,10.399382522791555,50.0,11.052770568608866,16.61986138389315,22.327368047497988,0.0,0.0,0.0
45,0.9369599346636361,11.444061305748827,10.458417442842398,50.0,11.620550711747265,16.019440257557086,22.360009030695647,0.0,0.0,0.0
46,0.9417148117906671,11.55031657694122,10.518442814218892,50.0,12.188330854885663,15.419019131221031,22.392650013893306,0.0,0.0,0.0
47,0.9463286321024428,11.656571848133614,10.579441778140817,50.0,12.75611099802406,14.818598004884972,22.42529099709097,0.0,0.0,0.0
48,0.9508040508768612,11.762827119326008,10.641397592045173,50.0,13.323891141162447,14.21817687854893,22.457931980288627,0.0,0.0,0.0
49,0.9551448895722241,11.869082390518402,10.704280911013674,49.75747922816991,14.066523771638954,13.660073111469966,22.515923888721172,0.0,0.0,0.0
50,0.9593615379413374,11.975337661710798,10.76798899199177,49.23944499752309,15.007795938043467,13.150043585326868,22.60271547910657,0.0,0.0,0.0
51,0.9634579622362883,12.081592932903188,10.832491048037461,48.72141076687636,15.949068104447894,12.640014059183777,22.689507069491967,0.0,0.0,0.0
52,0.967436653406664,12.187848204095584,10.897772980951622,48.203376536229385,16.890340270852516,12.129984533040705,22.776298659877387,0.0,0.0,0.0
53,0.971300099625766,12.294103475287978,10.963820859868985,47.685342305582544,17.83161243725704,11.619955006897623,22.863090250262786,0.0,0.0,0.0
54,0.975050782430905,12.400358746480372,11.030620926068895,47.16730807493569,18.772884603661577,11.109925480754544,22.949881840648185,0.0,0.0,0.0
55,0.9786911731321573,12.506614017672762,11.098159597264374,46.64927384428882,19.714156770066108,10.59989595461148,23.0366734310336,0.0,0.0,0.0
