point,ex_ante_sharpe,ex_post_sharpe,cagr_pct,monthly_gain_to_pain_ratio,pain_ratio,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_cagr_pct,delta_sharpe,delta_monthly_gain_to_pain_ratio,delta_pain_ratio,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
12,0.8419720331995758,1.3458212908597829,10.43971006363369,1.5546643430568856,7.793277101426284,10.255562678481796,7.620300516965366,-6.065029942518418,6.065029942518418,56.896551724137936,77.69557989666993,1.3395789637356883,12,58,0.18424603487472524,0.01927378171798777,0.030150198676566653,0.23548004547199675,-0.11401174940302106,0.0,-0.017359301850494058,-0.5915380337456897,0.0,-0.09006692150245237,gmv_to_max_sharpe
13,0.8621348495176963,1.3647653295005897,10.624127708907993,1.5849908183393853,8.03507983876961,10.425139661962277,7.63877821088638,-5.950950676486732,5.950950676486732,56.896551724137936,76.68864771492059,1.3222180640503551,12,58,0.18441764527430315,0.01894403864080685,0.030326475282499654,0.2418027373433258,-0.11407926603168583,0.0,-0.017360899685333164,-0.6021908432236341,0.0,-0.09164307576915788,gmv_to_max_sharpe
14,0.8820446187407993,1.3833736863539785,10.808716933177088,1.6149725540316133,8.282336043343316,10.594716645442755,7.658607901792756,-5.836803892336729,5.836803892336729,55.172413793103445,75.69187954262348,1.3050324059073015,12,58,0.18458922426909474,0.018608356853388797,0.029981735692228062,0.24725620457370567,-0.11414678415000346,-1.724137931034491,-0.017185658143053617,-0.6134167839177913,-9.265395889699448,-0.09235451726584828,gmv_to_max_sharpe
15,0.9016940155351012,1.4016410452865744,10.993477704656641,1.6449479205628332,8.53597664920217,10.764293628923236,7.679779116858273,-5.722589588603144,5.722589588603144,55.172413793103445,74.6981550060451,1.287899224242157,12,58,0.18476077147955294,0.0182673589325959,0.029975366531219905,0.2536406058588536,-0.11421430373358454,0.0,-0.017133181665144548,-0.6252370917712844,0.0,-0.09379123565898982,gmv_to_max_sharpe
16,0.9210762427046134,1.4195627120275025,11.178409991182159,1.675074434622081,8.79180304949071,10.933870612403716,7.702280793771572,-5.608307763844877,5.608307763844877,53.44827586206896,73.7445750136683,1.2714581898908326,12,58,0.18493228652551785,0.0179216667409281,0.03012651405924771,0.25582640028854087,-0.11428182475826709,-1.724137931034484,-0.01644103435132438,-0.6376740869602224,-9.620410623399401,-0.09173831088923015,gmv_to_max_sharpe
17,0.940185036119168,1.437134610761192,11.36351376020881,1.7053532423163913,9.052613267127288,11.103447595884198,7.726101307937433,-5.4939584166450395,5.4939584166450395,53.44827586206896,72.80591566696424,1.2552744080511076,12,58,0.18510376902665193,0.017571898733689473,0.03027880769431035,0.2608102176365783,-0.11434934719983758,0.0,-0.01618378183972502,-0.6507512303186845,0.0,-0.0921003591302111,gmv_to_max_sharpe
18,0.959014667193018,1.4543532781465007,11.548788978811153,1.7357855013696164,9.320385574435395,11.273024579364678,7.751228500499943,-5.379541545610977,5.379541545610977,53.44827586206896,71.86717281399847,1.2390891864482494,12,58,0.1852752186023423,0.01721866738530875,0.030432259053225108,0.26777230730810686,-0.11441687103406206,0.0,-0.01618522160285818,-0.6644931833208209,0.0,-0.09399810821984793,gmv_to_max_sharpe
19,0.9775599429915638,1.4712158548982541,11.73423561368252,1.7663723812699834,9.546785849795516,11.442601562845155,7.777649707042141,-5.352717560154153,5.352717560154153,51.724137931034484,71.28950793508831,1.229129447156695,12,58,0.1854466348713668,0.0168625767517534,0.030586879900367014,0.22640027536012042,-0.02682398545682485,-1.7241379310344769,-0.00995973929155447,-0.15907405998336313,-10.224640969270595,-0.05906415987413572,gmv_to_max_sharpe
20,0.9958162040603736,1.4877200750819168,11.919853631134835,1.7971150634199051,9.764443407129274,11.61217854632564,7.805351786817994,-5.3479488403198605,5.3479488403198605,51.724137931034484,70.80296149814815,1.220740715485313,12,58,0.185618017452315,0.01650422018366271,0.030742682149921707,0.2176575573337587,-0.004768719834292057,0.0,-0.008388731671381988,-0.028893942162820537,0.0,-0.05082779784824898,gmv_to_max_sharpe
21,1.013779320085382,1.503864253284304,12.105642997098244,1.828014741288087,9.98521392720668,11.781755529806118,7.834321152375172,-5.343186951552026,5.343186951552026,51.724137931034484,70.31670016789666,1.2123568994464942,12,58,0.18578936596340867,0.016144178202387227,0.03089967786818182,0.22077052007740505,-0.004761888767834677,0.0,-0.00838381603881877,-0.029496012173171753,0.0,-0.051930893810247104,gmv_to_max_sharpe
