point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_277540_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct
37,1.3358638592364156,19.88467011303287,12.011094726062625,19.39860496483811,32.541481601502376,0.0,43.317507606985465,4.742405826674044,0.0
38,1.3338364680526795,19.930461974126484,12.063682168622702,19.710789171931864,33.03530170250363,0.0,42.64722752522278,4.606681600341719,0.0
39,1.3315879837713864,19.9762538352201,12.118441494865465,20.022973379025515,33.52912180350502,0.0,41.97694744346008,4.470957374009378,0.0
40,1.3291257918272288,20.022045696313718,12.175343400300651,20.335157586119117,34.022941904506425,0.0,41.30666736169741,4.335233147677045,0.0
41,1.3264574089276446,20.067837557407334,12.234357989606483,20.64734179321291,34.51676200550763,0.0,40.63638727993475,4.1995089213447185,0.0
42,1.3235904542754917,20.11362941850095,12.295454842025448,20.959526000306568,35.01058210650894,0.0,39.96610719817211,4.063784695012386,0.0
43,1.3205326217882971,20.159421279594564,12.358603075532525,21.271710207400176,35.504402207510324,0.0,39.29582711640944,3.9280604686800573,0.0
44,1.31729165344201,20.205213140688176,12.423771409546811,21.583894414493944,35.998222308511565,0.0,38.625547034646765,3.7923362423477296,0.0
45,1.3138753138477537,20.251005001781795,12.490928225981419,21.896078621587638,36.492042409512884,0.0,37.95526695288408,3.6566120160154014,0.0
46,1.310291366150944,20.29679686287541,12.560041628450186,22.208262828681228,36.98586251051425,0.0,37.28498687112145,3.5208877896830657,0.0
47,1.3065475493235732,20.342588723969026,12.631079499473508,22.520447035774936,37.47968261151558,0.0,36.614706789358756,3.385163563350726,0.0
48,1.302651556902668,20.388380585062645,12.704009555548753,22.83263124286863,37.97350271251696,0.0,35.94442670759602,3.249439337018388,0.0
49,1.2986110172110497,20.43417244615626,12.77879939997353,23.14481544996233,38.46732281351824,0.0,35.27414662583338,3.113715110686054,0.0
50,1.294433475080817,20.479964307249876,12.855416573331627,23.456999657055956,38.96114291451961,0.0,34.603866544070705,2.97799088435372,0.0
51,1.290126375085431,20.52575616834349,12.933828601572348,23.769183864149788,39.4549630155208,0.0,33.933586462308,2.842266658021398,0.0
52,1.285697046273022,20.57154802943711,13.014003041633583,24.081368071243332,39.94878311652221,0.0,33.26330638054539,2.706542431689071,0.0
53,1.2811526883816735,20.617339890530726,13.09590752457733,24.393552278336983,40.44260321752357,0.0,32.59302629878271,2.5708182053567326,0.0
54,1.2765003595068773,20.66313175162434,13.179509796223456,24.705736485430762,40.93642331852482,0.0,31.922746217020016,2.4350939790244044,0.0
55,1.2717469651821671,20.708923612717957,13.264777755283152,25.01792069252435,41.43024341952623,0.0,31.252466135257368,2.2993697526920687,0.0
56,1.2668992488260913,20.754715473811576,13.351679489007937,25.33010489961812,41.924063520527454,0.0,30.582186053494688,2.163645526359737,0.0
57,1.26196378350209,20.80050733490519,13.440183306382824,25.64228910671184,42.41788362152874,0.0,29.911905971732022,2.0279213000274074,0.0
58,1.2569469649325007,20.846299195998807,13.53025776890388,25.954473313805433,42.91170372253019,0.0,29.241625889969303,1.8921970736950722,0.0
59,1.2518550057036912,20.892091057092426,13.621871718990445,26.266657520899102,43.4055238235315,0.0,28.57134580820666,1.7564728473627371,0.0
