point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
66,1.1107703593205,19.41272346053739,14.020216304154387,28.192706983665865,12.573792651758653,17.88038494803935,0.0,0.0,0.0,0.0,0.0,41.353115416536134
67,1.1000376836538326,19.582300335955825,14.311162073143297,28.495606804092326,11.272497412466917,18.81475017764911,0.0,0.0,0.0,0.0,0.0,41.41714560579165
68,1.0894460856308523,19.751877211374254,14.605949447731842,28.79850662451885,9.971202173175111,19.74911540725886,0.0,0.0,0.0,0.0,0.0,41.48117579504718
69,1.079011886133433,19.921454086792686,14.90435048477609,29.101406444945333,8.66990693388335,20.683480636868605,0.0,0.0,0.0,0.0,0.0,41.545205984302704
70,1.068748209772748,20.091030962211118,15.206152445435256,29.404306265371787,7.36861169459162,21.617845866478373,0.0,0.0,0.0,0.0,0.0,41.609236173558216
71,1.058665402917281,20.26060783762955,15.511156814757953,29.707206085798266,6.067316455299876,22.552211096088122,0.0,0.0,0.0,0.0,0.0,41.673266362813735
72,1.048771407515527,20.43018471304798,15.819178360067626,30.010105906224748,4.766021216008134,23.486576325697868,0.0,0.0,0.0,0.0,0.0,41.73729655206925
73,1.0390720935214446,20.599761588466418,16.13004423306632,30.31300572665122,3.4647259767163763,24.420941555307646,0.0,0.0,0.0,0.0,0.0,41.801326741324765
74,1.029571553073791,20.769338463884846,16.443593118632684,30.615905547077716,2.163430737424617,25.35530678491738,0.0,0.0,0.0,0.0,0.0,41.86535693058029
75,1.020272359722283,20.93891533930328,16.75967443177333,30.918805367504177,0.8621354981328955,26.28967201452714,0.0,0.0,0.0,0.0,0.0,41.929387119835795
76,1.011161287284418,21.108492214721714,17.07839260982667,30.84886371773512,0.0,27.425354067084978,0.0,0.0,0.0,0.0,0.0,41.7257822151799
77,1.0020644923207285,21.278069090140143,17.402658676321924,30.04697914035764,0.0,28.956250806163958,0.0,0.0,0.0,0.0,0.0,40.99677005347841
78,0.9929558412737145,21.447645965558575,17.733077821820366,29.24509456298009,0.0,30.487147545242987,0.0,0.0,0.0,0.0,0.0,40.267757891776924
79,0.9838636684305428,21.61722284097701,18.069312500089907,28.443209985602596,0.0,32.018044284322,0.0,0.0,0.0,0.0,0.0,39.538745730075405
80,0.974812556395461,21.786799716395446,18.411044092556708,27.64132540822507,0.0,33.54894102340105,0.0,0.0,0.0,0.0,0.0,38.809733568373886
81,0.965823686316694,21.95637659181387,18.757972174284244,26.839440830847554,0.0,35.07983776248004,0.0,0.0,0.0,0.0,0.0,38.0807214066724
82,0.9569151728911631,22.1259534672323,19.109813729217002,26.03755625347009,0.0,36.61073450155903,0.0,0.0,0.0,0.0,0.0,37.351709244970884
83,0.948102380531518,22.295530342650736,19.466302335074147,25.23567167609253,0.0,38.14163124063806,0.0,0.0,0.0,0.0,0.0,36.622697083269415
84,0.9393982184783223,22.46510721806917,19.827187334482144,24.433787098715015,0.0,39.67252797971709,0.0,0.0,0.0,0.0,0.0,35.893684921567896
85,0.9308134137330701,22.634684093487596,20.19223300563309,23.631902521337533,0.0,41.20342471879608,0.0,0.0,0.0,0.0,0.0,35.164672759866384
86,0.9223567615207342,22.804260968906036,20.561217742923247,22.83001794395998,0.0,42.73432145787513,0.0,0.0,0.0,0.0,0.0,34.435660598164894
87,0.914035353607574,22.973837844324464,20.93393325562634,22.028133366582473,0.0,44.26521819695413,0.0,0.0,0.0,0.0,0.0,33.7066484364634
88,0.9058547852409992,23.143414719742893,21.310183790646388,21.226248789204988,0.0,45.796114936033106,0.0,0.0,0.0,0.0,0.0,32.97763627476191
89,0.897819341778683,23.312991595161332,21.68978538372919,20.424364211827438,0.0,47.327011675112175,0.0,0.0,0.0,0.0,0.0,32.248624113060394
90,0.8899321662642175,23.482568470579764,22.07256514214716,19.622479634449938,0.0,48.85790841419118,0.0,0.0,0.0,0.0,0.0,31.51961195135889
91,0.8821954093117802,23.652145345998196,22.458360560767137,18.820595057072413,0.0,50.3888051532702,0.0,0.0,0.0,0.0,0.0,30.790599789657385
92,0.8746103627036445,23.82172222141663,22.847018872524814,18.018710479694903,0.0,51.91970189234919,0.0,0.0,0.0,0.0,0.0,30.06158762795591
93,0.867177578098742,23.99129909683506,23.23839643363077,17.216825902317403,0.0,53.450598631428214,0.0,0.0,0.0,0.0,0.0,29.33257546625439
94,0.8598969722115518,24.16087597225349,23.63235814328851,16.41494132493989,0.0,54.98149537050722,0.0,0.0,0.0,0.0,0.0,28.603563304552903
95,0.8527679197588516,24.330452847671925,24.028776897289635,15.613056747562378,0.0,56.51239210958624,0.0,0.0,0.0,0.0,0.0,27.874551142851388
96,0.8457893353955944,24.500029723090357,24.427533074540687,14.811172170184866,0.0,58.04328884866526,0.0,0.0,0.0,0.0,0.0,27.145538981149876
97,0.8389597457765562,24.669606598508786,24.828514055352397,14.009287592807325,0.0,59.574185587744275,0.0,0.0,0.0,0.0,0.0,26.416526819448404
98,0.8296831954928043,24.839183473927218,25.310505057093994,20.738302246371216,0.0,60.0,0.0,0.0,0.0,0.0,0.0,19.261697753628784
99,0.8118470949753582,25.008760349345653,26.075449086096086,30.36915086464853,0.0,60.0,0.0,0.0,0.0,0.0,0.0,9.630849135351472
100,0.7871119598710445,25.17833713544217,27.11031653021446,39.99999948292554,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
