point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
12,0.1392568670081781,0.08845184157960727,1.1403045727566303,0.13106733180372615,0.08724659645494519,0.05560962450634697,0.31722455683310763,0.0,0.0,0.19113996714244755,0.21771192325942654
13,0.1400927650011199,0.08863964858318786,1.147318824481462,0.1338886233590676,0.08918110280243326,0.055759004080190605,0.31871839352949366,0.0,0.0,0.18948597250540908,0.21296690372340574
14,0.14092866299406165,0.088843336339642,1.1540970840612617,0.1367099149144089,0.09111560914992152,0.055908383654034215,0.32021223022587975,0.0,0.0,0.18783197786837055,0.20822188418738508
15,0.14176456098700335,0.08906279589057982,1.160638764673341,0.1395312064697501,0.09305011549740949,0.05605776322787781,0.32170606692226567,0.0,0.0,0.18617798323133233,0.20347686465136458
16,0.14260045897994517,0.08929791095325822,1.1669436639820532,0.14235249802509134,0.09498462184489788,0.05620714280172148,0.32319990361865175,0.0,0.0,0.1845239885942939,0.19873184511534375
17,0.14343635697288692,0.08954855821433196,1.1730119555388718,0.14517378958043262,0.09691912819238616,0.05635652237556505,0.3246937403150378,0.0,0.0,0.18286999395725542,0.19398682557932295
18,0.14427225496582868,0.08981460763592848,1.1788441787643873,0.14799508113577373,0.09885363453987446,0.05650590194940873,0.32618757701142376,0.0,0.0,0.18121599932021715,0.18924180604330207
19,0.14510815295877041,0.09009592277237956,1.1844412276254337,0.1508163726911149,0.10078814088736258,0.056655281523252395,0.3276814137078098,0.0,0.0,0.17956200468317884,0.18449678650728155
20,0.14594405095171217,0.09039236109593553,1.1898043381272094,0.15363766424645656,0.1027226472348504,0.056804661097095886,0.32917525040419576,0.0,0.0,0.17790801004614043,0.179751766971261
21,0.1467799489446539,0.09070377432979308,1.1949350747452436,0.1564589558017977,0.10465715358233861,0.05695404067093958,0.33066908710058174,0.0,0.0,0.1762540154091021,0.17500674743524025
22,0.14761584693759566,0.09103000878678791,1.1998353159254127,0.15928024735713878,0.10659165992982723,0.0571034202447831,0.3321629237969678,0.0,0.0,0.17460002077206352,0.17026172789921948
23,0.14845174493053742,0.09137090571213549,1.2045072387819533,0.16210153891247994,0.10852616627731533,0.05725279981862687,0.33365676049335385,0.0,0.0,0.17294602613502527,0.16551670836319876
