date,Native Bond 50/50_drawdown_pct,TLT Proxy_drawdown_pct,EDV Proxy_drawdown_pct,ZROZ Proxy_drawdown_pct,benchmark_drawdown_pct
2024-02-29,-24.964663359670723,-25.907293699205226,-37.18645983162887,-40.686202625871104,0.0
2024-03-31,-23.489890863361428,-24.40767787885132,-35.70790453545333,-39.35892875590844,0.0
2024-04-30,-26.640721372370336,-27.419364782609513,-40.049683058330274,-44.17312890668972,-1.4966274842780125
2024-05-31,-26.024675526151764,-25.85436675937305,-38.116595346530325,-42.31743344436987,0.0
2024-06-30,-22.766193330740524,-23.885250571764093,-36.0475127361341,-40.38147181661683,0.0
2024-07-31,-19.69380057307182,-22.204567719796998,-34.37539285958289,-38.46990127353022,-0.17777167993413556
2024-08-31,-18.60444253264739,-22.59699546463706,-34.24563582526075,-37.83349145617084,-0.4621222689090154
2024-09-30,-17.488122741539925,-22.088921422503958,-33.466471238241155,-37.29787605341796,0.0
2024-10-31,-20.207031869179225,-22.797313641614103,-35.26929677104905,-39.18420674776644,0.0
2024-11-30,-16.44042925848219,-20.421796545736104,-32.9164075305888,-37.07848383365273,0.0
2024-12-31,-20.247245858534225,-20.824983977788502,-35.007204228841196,-39.7903748312166,0.0
2025-01-31,-19.094452101165714,-22.534315697621754,-36.71817163580325,-42.1622269768127,0.0
2025-02-28,-15.414795798857384,-17.655322590102017,-31.409154205325784,-36.85610573496994,-0.70790887227411
2025-03-31,-15.838296166343756,-17.407260442075344,-32.073505318358684,-37.70261250495973,-4.81123365332603
2025-04-30,-14.875928047107944,-21.199192504072585,-36.20998550252762,-41.622567791707354,-8.727149385650335
2025-05-31,-17.760504807193335,-26.586637242062793,-41.657705156544445,-47.19056179042502,-6.6254843113253585
2025-06-30,-18.169880581971377,-25.83587972207515,-40.43993413182048,-45.97270174686277,-3.3969085938449384
2025-07-31,-17.75699537155866,-24.342600174321905,-39.60510688950686,-45.43551871212986,0.0
2025-08-31,-17.780175461109227,-24.71905761786998,-40.63974778585657,-46.79345740241464,0.0
2025-09-30,-17.87918005076631,-20.96011331392362,-36.20123360436839,-42.358237606978875,0.0
2025-10-31,-19.133547184451004,-18.67666012654179,-33.84732882971508,-40.186797073009174,0.0
2025-11-30,-21.52867376203823,-16.31467252785005,-32.395684169816185,-38.9471743232893,0.0
2025-12-31,-22.138019414253453,-19.384997982431372,-35.77549426103916,-42.26296384384043,-1.5288936878936399
2026-01-31,-25.060394314967493,-20.38634716433552,-36.955670781282244,-43.635187254048816,-0.7134922069951144
2026-02-28,-22.703262456313343,-16.48968931699546,-32.61764820190396,-39.360432950076984,-1.326283801664141
2026-03-31,-27.294198580784844,-16.057163547078844,-33.56297074774093,-40.39541088892451,-1.5483721436609588
2026-04-30,-27.62422184814416,-18.385401782213464,-35.93042623461107,-42.56600607104453,0.0
2026-05-31,-29.74096139255765,-16.765560476531462,-34.39803727023739,-41.295879414932024,0.0
2026-06-30,-31.968054035082194,-12.79246031959913,-30.608665032914175,-37.71591709583605,0.0
2026-07-31,-34.18324794826749,-23.580102459670005,-41.05636786636837,-47.54971640183639,-8.234183406494832
2026-08-31,-33.549000669712534,-24.869700320229637,-41.566316580783024,-47.99695566083712,-8.163424536463559
