date,Portfolio 1_drawdown_pct,benchmark_drawdown_pct
2018-06-30,-2.4542216485688995,-2.9480125288189662
2018-07-31,-1.2593191036553542,0.0
2018-08-31,0.0,0.0
2018-09-30,-0.22486245093221724,0.0
2018-10-31,-4.262029459010231,-6.910412070953676
2018-11-30,-3.580778928884154,-5.18370459022468
2018-12-31,-6.932928300088781,-13.532121894537308
2019-01-31,-1.3149934183220413,-6.609010017031435
2019-02-28,0.0,-3.5816405175761346
2019-03-31,0.0,-1.8364026499633535
2019-04-30,0.0,0.0
2019-05-31,-3.5485929436614105,-6.377090927363572
2019-06-30,0.0,0.0
2019-07-31,0.0,0.0
2019-08-31,0.0,-1.67434568491599
2019-09-30,-0.27792811394263817,0.0
2019-10-31,0.0,0.0
2019-11-30,0.0,0.0
2019-12-31,0.0,0.0
2020-01-31,0.0,-0.040401392620603715
2020-02-29,-4.086877228913144,-7.953769323027016
2020-03-31,-9.483280738218614,-19.447710674434894
2020-04-30,0.0,-9.218892539993117
2020-05-31,0.0,-4.893592676155379
2020-06-30,0.0,-3.206917750295679
2020-07-31,0.0,0.0
2020-08-31,0.0,0.0
2020-09-30,-4.075533434236267,-3.744364839635095
2020-10-31,-5.951241122002582,-6.144383433766931
2020-11-30,-1.2090287114623233,0.0
2020-12-31,0.0,0.0
2021-01-31,-1.3036557434887852,-1.0190365672240853
2021-02-28,-2.6057454171669048,0.0
2021-03-31,-1.3440570672230812,0.0
2021-04-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,0.0,0.0
2021-08-31,0.0,0.0
2021-09-30,-4.229878253456832,-4.660534253455628
2021-10-31,0.0,0.0
2021-11-30,0.0,-0.8034986713717718
2021-12-31,0.0,0.0
2022-01-31,-4.921273663447434,-5.2741180268976
2022-02-28,-5.322686334494331,-8.070146757876817
2022-03-31,-2.952201215054673,-4.614481960646765
2022-04-30,-10.478951660758574,-12.986384033197517
2022-05-31,-11.664994791896044,-12.789941589665755
2022-06-30,-16.702143339249442,-19.981338411732764
2022-07-31,-11.66442115048687,-12.612633283401564
2022-08-31,-15.226189015108915,-16.17819986692146
2022-09-30,-21.39263222851713,-23.92719085188839
2022-10-31,-19.067827324012022,-17.744324222151576
2022-11-30,-14.017839040752001,-13.17160002360015
2022-12-31,-17.201374811021985,-18.175368123865766
2023-01-31,-11.268529887545476,-13.029630461218755
2023-02-28,-13.752640013392025,-15.216309987773824
2023-03-31,-7.967939917317713,-12.072705078071632
2023-04-30,-7.073579909811234,-10.668080489571686
2023-05-31,-5.254822870967358,-10.255699541873287
2023-06-30,-2.371526931097967,-4.440287561089917
2023-07-31,0.0,-1.3123068148667483
2023-08-31,-1.388874356043024,-2.9161736314379794
2023-09-30,-6.01280607694461,-7.521300214477133
2023-10-31,-5.30974219150917,-9.528889132902608
2023-11-30,0.0,-1.264901682492936
2023-12-31,0.0,0.0
2024-01-31,0.0,0.0
2024-02-29,0.0,0.0
2024-03-31,0.0,0.0
2024-04-30,-1.9378446557816953,-4.031957126224162
2024-05-31,0.0,0.0
2024-06-30,0.0,0.0
2024-07-31,0.0,0.0
2024-08-31,0.0,0.0
2024-09-30,0.0,0.0
2024-10-31,0.0,-0.8923431171973806
2024-11-30,0.0,0.0
2024-12-31,-1.2340871901576067,-2.406006954082074
2025-01-31,0.0,0.0
2025-02-28,-0.3654263310545969,-1.2694736490296177
2025-03-31,-1.4407417866872163,-6.770670543602419
2025-04-30,0.0,-7.578984416954615
2025-05-31,0.0,-1.770780918263537
2025-06-30,0.0,0.0
2025-07-31,0.0,0.0
2025-08-31,0.0,0.0
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,0.0,0.0
2025-12-31,0.0,0.0
2026-01-31,0.0,0.0
2026-02-28,0.0,-0.8641958340223965
2026-03-31,-6.480230340728843,-5.759478882587632
2026-04-30,0.0,0.0
2026-05-31,0.0,0.0
2026-06-30,-3.8338423466041105,-1.0292566443839024
2026-07-31,-5.606423843220842,-0.994797093102251
2026-08-31,-0.8413955557060038,0.0
