date,year,month,series::Portfolio 1::return,series::Portfolio 1::balance,series::benchmark::return,series::benchmark::balance,asset::QQQ::return,asset::SPY::return,asset::GLD::return,asset::IEF::return
2019-08-31,2019,8,0.016966840546909556,39996.809261657436,-0.01674345684916001,33350.449128209366,-0.018995568136660923,-0.01674345684916001,0.0791231345612986,0.039516076742662554
2019-07-31,2019,7,0.011601124097398064,39329.51170772466,0.015119622170369995,33918.35972058527,0.02334801386624208,0.015119622170369995,7.514839229982861e-05,0.00038288768724492606
2019-06-30,2019,6,0.06887186610178325,38878.47766363096,0.06958588763934581,33413.16528594565,0.07590067014928614,0.06958588763934581,0.08002914919848991,0.012171540056467034
2019-05-31,2019,5,-0.03548592943661408,36373.375421903715,-0.06377090927363571,31239.347556923123,-0.08225182696459188,-0.06377090927363571,0.017574298155486723,0.030486019882081772
2019-04-30,2019,4,0.026243159972700922,37711.606841212306,0.040852030475727386,33367.20452970157,0.054992629445529406,0.040852030475727386,-0.006638842503124187,-0.005185852527388568
2019-03-31,2019,3,0.015068410434241498,36747.24306295545,0.018100679963663158,32057.58700826178,0.03924574467662989,0.018100679963663158,-0.01596899557748621,0.02655181715399446
2019-02-28,2019,2,0.016345287205709935,36201.74038046869,0.03241607675437841,31487.63932601041,0.02991220478131873,0.03241607675437841,-0.006092201492829408,-0.005255368071503841
2019-01-31,2019,1,0.06036436710807251,35619.52894965449,0.08006570797379742,30498.981985052542,0.09010750413439594,0.08006570797379742,0.028865979381443196,0.006526096611815468
2018-12-31,2018,12,-0.03476640169839364,33591.78227272903,-0.08804833882438234,28238.08010928207,-0.08660726992768986,-0.08804833882438234,0.04942010593064916,0.028042491480332776
2018-11-30,2018,11,0.007115782027512351,34801.71259251236,0.018548878764455434,30964.448349027312,-0.002650084636606209,0.018548878764455434,0.003386881324189961,0.01330079391900596
2018-10-31,2018,10,-0.0404626553994236,34555.82090318355,-0.06910412070953675,30400.55219204458,-0.08595669238425485,-0.06910412070953675,0.02119545356837582,-0.0030304754179887317
2018-09-30,2018,9,-0.0022486245093221394,36013.00261801483,0.005945387916525879,32657.306653044954,-0.002816585432740215,0.005945387916525879,-0.006607347245927042,-0.012050610806797257
2018-08-31,2018,8,0.02151765977734895,36094.16484172143,0.0319199462433406,32464.29383277304,0.05780667612635959,0.0319199462433406,-0.021381117106768266,0.010140081984693738
2018-07-31,2018,7,0.01224965923803113,35333.862803300486,0.03704642288942139,31460.08946813935,0.02796377830346186,0.03704642288942139,-0.022418909632539674,-0.005277282300719444
2018-06-30,2018,6,-0.005486776298804174,34906.272855550254,0.005751343479538207,30336.24028178523,0.011450739172120361,0.005751343479538207,-0.03614944763120931,0.001974331950610475
2018-05-31,2018,5,0.02170968528401278,35098.852407052495,0.024308612966591925,30162.763866496807,0.05672924949494473,0.024308612966591925,-0.011959209467577336,0.009860893858249842
2018-04-30,2018,4,-0.0010705782279356927,34353.058322331344,0.0051682158507873055,29446.949371185823,0.005058062006024322,0.0051682158507873055,-0.009539745360543916,-0.012765379768160057
2018-03-31,2018,3,-0.017407807274729924,34389.875374168354,-0.027410361848998144,29295.543677991795,-0.040788151074208634,-0.027410361848998144,0.006320007324218668,0.011557444049665078
2018-02-28,2018,2,-0.021947219208888622,34999.133545714685,-0.03636048180005991,30121.176011792388,-0.012927851067989549,-0.03636048180005991,-0.020759902030566435,-0.00932748739303857
2018-01-31,2018,1,0.0507335825443604,35784.503897024006,0.056359119688521586,31257.72183778656,0.08757087867937452,0.056359119688521586,0.03234937283169237,-0.02150228815516131
2017-12-31,2017,12,0.011949561491488337,34056.68619667749,0.012128045549948396,29590.052525890274,0.006030926375606649,0.012128045549948396,0.021057003170010358,0.0018476896281871547
2017-11-30,2017,11,0.015874708525707482,33654.52932899358,0.03056581334160513,29235.483253319264,0.01971731837337165,0.03056581334160513,0.003563440057186007,-0.002792630059413548
2017-10-31,2017,10,0.01845389935735492,33128.62210915247,0.023563987173770062,28368.380626292408,0.04606383292927818,0.023563987173770062,-0.007484813689786707,-0.0018900256662354176
2017-09-30,2017,9,-0.006392002276097409,32528.347262509044,0.020149538913053933,27715.297706616475,-0.002952329858540992,0.020149538913053933,-0.03369891808976022,-0.01441489565523224
