date,Portfolio 1_drawdown,benchmark_drawdown
2010-08-31,-0.03828864768119733,-0.2763419884543298
2010-09-30,0.0,-0.2115350443413987
2010-10-31,0.0,-0.1814139894391681
2010-11-30,0.0,-0.1814139894391681
2010-12-31,0.0,-0.12668980126931573
2011-01-31,-0.0036873000648955934,-0.1063415121891842
2011-02-28,0.0,-0.07529800689999522
2011-03-31,0.0,-0.07518701762487356
2011-04-30,0.0,-0.048402952064051874
2011-05-31,-0.009889766387738752,-0.059074981680502514
2011-06-30,-0.028641926427558584,-0.07494804949926659
2011-07-31,-0.002009803770033125,-0.09345317854066182
2011-08-31,0.0,-0.1432911926876863
2011-09-30,-0.06524875868480429,-0.20276487235397767
2011-10-31,0.0,-0.11574879325274279
2011-11-30,-0.0037131474188243363,-0.1193420188127512
2011-12-31,-0.03231442499345227,-0.11014070153577349
2012-01-31,0.0,-0.06887378890090479
2012-02-29,0.0,-0.02845781725177121
2012-03-31,0.0,0.0
2012-04-30,-0.0034462169963181966,-0.006675888644136041
2012-05-31,-0.05853733060425892,-0.06633053804003208
2012-06-30,-0.030587341657918987,-0.028441458959237775
2012-07-31,-0.020451556895778045,-0.01694854292107939
2012-08-31,0.0,0.0
2012-09-30,0.0,0.0
2012-10-31,-0.030524346180752948,-0.018198110580298743
2012-11-30,-0.02548275407878431,-0.012641784432824599
2012-12-31,-0.032247781963414934,-0.003820478247265391
2013-01-31,-0.012350340862782527,0.0
2013-02-28,-0.021504328621463897,0.0
2013-03-31,0.0,0.0
2013-04-30,-0.007786036389846207,0.0
2013-05-31,-0.011641827428007678,0.0
2013-06-30,-0.058007677967466864,-0.013344556005377872
2013-07-31,-0.004895020398785754,0.0
2013-08-31,-0.0009085949827968287,-0.0299923665637446
2013-09-30,0.0,0.0
2013-10-31,0.0,0.0
2013-11-30,0.0,0.0
2013-12-31,0.0,0.0
2014-01-31,-0.003018518399923842,-0.03524830323640393
2014-02-28,0.0,0.0
2014-03-31,-0.01569951488086141,0.0
2014-04-30,-0.012386294802057218,0.0
2014-05-31,0.0,0.0
2014-06-30,0.0,0.0
2014-07-31,-0.011600887807432736,-0.013437364873336688
2014-08-31,0.0,0.0
2014-09-30,-0.025987309997311248,-0.013796343568684422
2014-10-31,-0.01881553215745302,0.0
2014-11-30,0.0,0.0
2014-12-31,-0.0034198896859384265,-0.002536819199143947
2015-01-31,0.0,-0.03209070011655857
2015-02-28,0.0,0.0
2015-03-31,-0.017389163107552452,-0.015705753082113305
2015-04-30,-0.009938364833787738,-0.006026245851924794
2015-05-31,0.0,0.0
2015-06-30,-0.019725570110498802,-0.02031228877749125
2015-07-31,-0.017661375873542662,0.0
2015-08-31,-0.044732511467353686,-0.06095033238680325
2015-09-30,-0.06202359437381022,-0.08491087373474793
2015-10-31,-0.0002664662066786949,-0.007073326806739222
2015-11-30,-0.018022687394028125,-0.003444111545637729
2015-12-31,-0.029586585727489956,-0.020667277592973488
2016-01-31,-0.04521076685101755,-0.06942493518326909
2016-02-29,-0.017203788802471753,-0.07019351989191103
2016-03-31,0.0,-0.0076491567304195485
2016-04-30,0.0,-0.003738243001444652
2016-05-31,-0.0003004813696738662,0.0
2016-06-30,0.0,0.0
2016-07-31,0.0,0.0
2016-08-31,-0.007270970618313388,0.0
2016-09-30,0.0,0.0
2016-10-31,-0.01990235796418971,-0.017337269559265844
2016-11-30,-0.036502676288876046,0.0
2016-12-31,-0.03301990248518716,0.0
2017-01-31,0.0,0.0
2017-02-28,0.0,0.0
2017-03-31,0.0,0.0
2017-04-30,0.0,0.0
2017-05-31,0.0,0.0
2017-06-30,-0.012017525976621979,0.0
2017-07-31,0.0,0.0
2017-08-31,0.0,0.0
2017-09-30,-0.00639208634734767,0.0
2017-10-31,0.0,0.0
2017-11-30,0.0,0.0
2017-12-31,0.0,0.0
2018-01-31,0.0,0.0
2018-02-28,-0.021947397214084674,-0.03636055018199713
2018-03-31,-0.03897302392136015,-0.06277426295357202
2018-04-30,-0.04000191681065057,-0.05793041511261787
2018-05-31,-0.019160483213635726,-0.03502951243867958
2018-06-30,-0.024542264662532176,-0.029480069084730887
2018-07-31,-0.012593336756007378,0.0
2018-08-31,0.0,0.0
2018-09-30,-0.0022485873236609555,0.0
2018-10-31,-0.04262033364836204,-0.06910379109424558
2018-11-30,-0.0358078366129011,-0.05183653313098591
2018-12-31,-0.0693291503872232,-0.13532055869254245
2019-01-31,-0.013149775827371868,-0.06608965145982304
2019-02-28,0.0,-0.03581641785777534
2019-03-31,0.0,-0.018364092016032285
2019-04-30,0.0,0.0
2019-05-31,-0.03548594340254274,-0.06377121279908626
2019-06-30,0.0,0.0
2019-07-31,0.0,0.0
2019-08-31,0.0,-0.016743233375008826
2019-09-30,-0.002779488605491154,0.0
2019-10-31,0.0,0.0
2019-11-30,0.0,0.0
2019-12-31,0.0,0.0
2020-01-31,0.0,-0.0004037019500021666
2020-02-29,-0.040868865133569465,-0.07953760575722058
2020-03-31,-0.09483275316484541,-0.19447683514314418
2020-04-30,0.0,-0.0921886325186757
2020-05-31,0.0,-0.048935728902022246
2020-06-30,0.0,-0.03206949623488897
2020-07-31,0.0,0.0
2020-08-31,0.0,0.0
2020-09-30,-0.04075545286218685,-0.03744356063272425
2020-10-31,-0.059512360844151124,-0.06144365625970616
2020-11-30,-0.012090244761513214,0.0
2020-12-31,0.0,0.0
2021-01-31,-0.013036509575778288,-0.010190277766667366
2021-02-28,-0.02605737407981734,0.0
2021-03-31,-0.013440427464123772,0.0
2021-04-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,0.0,0.0
2021-08-31,0.0,0.0
2021-09-30,-0.04229874913942011,-0.04660554935261796
2021-10-31,0.0,0.0
2021-11-30,0.0,-0.008034634064441604
2021-12-31,0.0,0.0
2022-01-31,-0.04921275521407831,-0.05274124855640383
2022-02-28,-0.05322694630453484,-0.08070139929134046
2022-03-31,-0.02952205565769206,-0.046144683031612344
2022-04-30,-0.10478955362897291,-0.12986356718226433
2022-05-31,-0.11664997076798711,-0.1278995524715134
2022-06-30,-0.16702140693129341,-0.19981338411732785
2022-07-31,-0.11664417161936147,-0.12612619625916022
2022-08-31,-0.15226187638110722,-0.16178186209435919
2022-09-30,-0.21392632865109384,-0.23927184023145642
2022-10-31,-0.1906783304358115,-0.17744324222151597
2022-11-30,-0.14017838441476438,-0.1317160002360016
2022-12-31,-0.17201376996043982,-0.18175374952608547
2023-01-31,-0.11268535495754284,-0.13029616803733224
2023-02-28,-0.13752636238509985,-0.15216296330288293
2023-03-31,-0.07967946051230412,-0.1207271190681447
2023-04-30,-0.07073576162782091,-0.10668073660828958
2023-05-31,-0.05254823275140297,-0.10255699541873353
2023-06-30,-0.023715259507634423,-0.044402807323472016
2023-07-31,0.0,-0.013122931573812613
2023-08-31,-0.013888794077069,-0.029161668026952636
2023-09-30,-0.06012811805286622,-0.07521293385734418
