point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
52,0.1992623660457901,0.12058740818923257,1.3340326396860671,0.1968196702370613,0.32989752213655277,0.0,0.42709067595849143,0.04619213166789459,0.0,0.0
53,0.19985472483651717,0.12129727936131691,1.3311089754070915,0.20085801879901619,0.3362855606298226,0.0,0.41841999794110535,0.04443642263005576,0.0,0.0
54,0.20044708362724423,0.1220429034076511,1.3278302262258206,0.20489636736097155,0.34267359912309026,0.0,0.40974931992372093,0.0426807135922173,0.0,0.0
55,0.2010394424179713,0.12282362919622727,1.3242127422559526,0.20893471592292645,0.34906163761636,0.0,0.401078641906335,0.04092500455437851,0.0,0.0
56,0.20163180120869836,0.12363879177162217,1.3202731220797803,0.21297306448488254,0.3554496761096275,0.0,0.3924079638889501,0.03916929551653986,0.0,0.0
57,0.2022241599994254,0.12448771464530914,1.3160281147420985,0.21701141304683572,0.3618377146028982,0.0,0.3837372858715649,0.03741358647870115,0.0,0.0
58,0.2028165187901525,0.12536971201023175,1.3114945274064818,0.22104976160879147,0.3682257530961669,0.0,0.3750666078541792,0.03565787744086247,0.0,0.0
59,0.20340887758087953,0.12628409086854975,1.3066891392236988,0.22508811017074679,0.37461379158943536,0.0,0.36639592983679403,0.03390216840302379,0.0,0.0
60,0.20400123637160666,0.12723015306331656,1.3016286218172286,0.2291264587327032,0.3810018300827031,0.0,0.35772525181940845,0.03214645936518516,0.0,0.0
61,0.20459359516233375,0.12820719720665044,1.2963294666541987,0.2331648072946586,0.38738986857597196,0.0,0.3490545738020229,0.03039075032734647,0.0,0.0
62,0.20518595395306077,0.12921452049868887,1.290807919443901,0.23720315585661322,0.39377790706924093,0.0,0.340383895784638,0.02863504128950779,0.0,0.0
63,0.20577831274378783,0.13025142043324667,1.2850799215918287,0.24124150441856854,0.4001659455625095,0.0,0.33171321776725277,0.0268793322516692,0.0,0.0
64,0.2063706715345149,0.1313171963876089,1.2791610586361728,0.2452798529805239,0.40655398405577836,0.0,0.32304253974986724,0.0251236232138305,0.0,0.0
65,0.20696303032524202,0.13241115109527765,1.273066515506238,0.24931820154247972,0.41294202254904677,0.0,0.3143718617324816,0.023367914175991857,0.0,0.0
66,0.20755538911596907,0.13353259200173645,1.2668110383685387,0.25335655010443514,0.4193300610423156,0.0,0.3057011837150961,0.02161220513815312,0.0,0.0
67,0.2081477479066961,0.13468083250440316,1.2604089027660224,0.25739489866638965,0.42571809953558415,0.0,0.2970305056977116,0.019856496100314598,0.0,0.0
68,0.20874010669742318,0.13585519307890725,1.2538738877083375,0.2614332472283435,0.4321061380288544,0.0,0.28835982768032625,0.018100787062475893,0.0,0.0
69,0.20933246548815032,0.1370550022946496,1.247219255335539,0.26547159579030166,0.43849417652212097,0.0,0.27968914966294023,0.016345078024637198,0.0,0.0
70,0.20992482427887738,0.13827959772329676,1.2404577357529574,0.2695099443522552,0.44488221501539127,0.0,0.27101847164555504,0.01458936898679851,0.0,0.0
71,0.21051718306960443,0.1395283267444224,1.2336015166201948,0.2735482929142112,0.4512702535086593,0.0,0.2623477936281698,0.012833659948959823,0.0,0.0
72,0.2111095418603315,0.14080054725295277,1.2266622370709752,0.27758664147616624,0.4576582920019284,0.0,0.2536771156107842,0.011077950911121138,0.0,0.0
73,0.2117019006510586,0.14209562827340894,1.219650985541851,0.2816249900381212,0.4640463304951972,0.0,0.24500643759339905,0.009322241873282506,0.0,0.0
74,0.21229425944178565,0.14341295048617408,1.2125783010952262,0.28566333860007753,0.4704343689884653,0.0,0.2363357595760134,0.007566532835443772,0.0,0.0
75,0.2128866182325127,0.1447519066711591,1.205454177834828,0.2897016871620318,0.47682240748173466,0.0,0.22766508155862825,0.005810823797605224,0.0,0.0
76,0.21347897702323979,0.14611190207431166,1.1982880720284246,0.29374003572398777,0.48321044597500273,0.0,0.2189944035412431,0.0040551147597664055,0.0,0.0
77,0.2140713358139669,0.14749235470241065,1.1910889115725039,0.2977783842859419,0.4895984844682733,0.0,0.21032372552385717,0.0022994057219276284,0.0,0.0
78,0.21466369460469392,0.14889269555153237,1.1838651074557225,0.30181673284789884,0.49598652296153983,0.0,0.20165304750647223,0.0005436966840891008,0.0,0.0
79,0.215256053395421,0.1503128461382307,1.1766208301755459,0.3059853664318329,0.5017422824611393,0.0,0.1922723511070278,0.0,0.0,0.0
80,0.21584841218614806,0.15175366671922855,1.1693528626775263,0.31021244458047964,0.5072144078944537,0.0,0.1825731475250667,0.0,0.0,0.0
81,0.21644077097687517,0.15321466839938516,1.162068522881604,0.3144395227291255,0.5126865333277693,0.0,0.17287394394310526,0.0,0.0,0.0
82,0.21703312976760228,0.15469527938558433,1.1547753938640368,0.31866660087777066,0.5181586587610856,0.0,0.16317474036114385,0.0,0.0,0.0
83,0.21762548855832933,0.1561949420342477,1.1474805690751744,0.3228936790264172,0.5236307841944001,0.0,0.15347553677918274,0.0,0.0,0.0
84,0.2182178473490564,0.15771311287089468,1.1401906695612187,0.3271207571750623,0.529102909627716,0.0,0.14377633319722175,0.0,0.0,0.0
85,0.21881020613978344,0.1592492625641348,1.1329118618738814,0.33134783532370754,0.5345750350610321,0.0,0.13407712961526033,0.0,0.0,0.0
86,0.21940256493051052,0.16080287585880262,1.1256498764564538,0.33557491347235385,0.540047160494347,0.0,0.1243779260332992,0.0,0.0,0.0
87,0.21999492372123766,0.16237345147267712,1.1184100263187973,0.3398019916209987,0.5455192859276636,0.0,0.11467872245133776,0.0,0.0,0.0
88,0.22058728251196466,0.16396050196094705,1.1111972258364595,0.34402906976964304,0.5509914113609802,0.0,0.10497951886937673,0.0,0.0,0.0
89,0.22117964130269174,0.1655635535523117,1.1040160095303337,0.3482561479182892,0.556463536794295,0.0,0.09528031528741576,0.0,0.0,0.0
