point,expected_return,volatility,sharpe,weight_133690,weight_SPY,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
79,0.21523239130174102,0.17868200218370583,0.9896775363739464,0.2305747456378741,0.06634630675725343,0.32425595618520076,0.0,0.0,0.0,0.0,0.0,0.3788229914196716
80,0.2169729141862439,0.18223707336557082,0.9799218309537169,0.24126368293797498,0.044816309733476264,0.3358930751205779,0.0,0.0,0.0,0.0,0.0,0.37802693220797084
81,0.21871343707074675,0.18581710014493752,0.9704091245848265,0.25195262023807674,0.023286312709698283,0.3475301940559547,0.0,0.0,0.0,0.0,0.0,0.3772308729962703
82,0.22045395995524966,0.18942066755413411,0.9611365788108232,0.26264155753817725,0.0017563156859213237,0.35916731299133214,0.0,0.0,0.0,0.0,0.0,0.3764348137845693
83,0.22219448283975254,0.19305802422768994,0.9520435940894892,0.255954437813189,0.0,0.37454781838316464,0.0,0.0,0.0,0.0,0.0,0.3694977438036463
84,0.2239350057242554,0.19674276849285235,0.943059709687826,0.24772396149257303,0.0,0.39026081463694656,0.0,0.0,0.0,0.0,0.0,0.3620152238704804
85,0.22567552860875834,0.2004723752452992,0.9341970473158392,0.23949348517195682,0.0,0.4059738108907285,0.0,0.0,0.0,0.0,0.0,0.35453270393731473
86,0.22741605149326122,0.20424438686406834,0.925465942096389,0.23126300885134055,0.0,0.4216868071445106,0.0,0.0,0.0,0.0,0.0,0.3470501840041489
87,0.22915657437776407,0.20805649699346926,0.916874740987036,0.2230325325307246,0.0,0.43739980339829215,0.0,0.0,0.0,0.0,0.0,0.33956766407098327
88,0.23089709726226698,0.2119065415782038,0.9084300477105254,0.2148020562101082,0.0,0.4531127996520743,0.0,0.0,0.0,0.0,0.0,0.33208514413781753
89,0.23263762014676984,0.21579249021410288,0.9001369434489634,0.20657157988949176,0.0,0.4688257959058562,0.0,0.0,0.0,0.0,0.0,0.324602624204652
90,0.23437814303127272,0.21971243785616582,0.8919991847405825,0.19834110356887596,0.0,0.4845387921596379,0.0,0.0,0.0,0.0,0.0,0.3171201042714861
91,0.2361186659157756,0.22366459691091606,0.8840193801807651,0.1901106272482598,0.0,0.5002517884134197,0.0,0.0,0.0,0.0,0.0,0.30963758433832056
92,0.2378591888002785,0.22764728972837084,0.8761991476027361,0.18188015092764354,0.0,0.5159647846672017,0.0,0.0,0.0,0.0,0.0,0.3021550644051549
93,0.2395997116847814,0.23165894149967584,0.8685392534216343,0.1736496746070274,0.0,0.5316777809209837,0.0,0.0,0.0,0.0,0.0,0.294672544471989
94,0.24134023456928425,0.23569807355927794,0.8610397357873893,0.1654191982864113,0.0,0.5473907771747654,0.0,0.0,0.0,0.0,0.0,0.2871900245388234
95,0.2430807574537871,0.23976329708503455,0.853700013121634,0.1571887219657951,0.0,0.5631037734285471,0.0,0.0,0.0,0.0,0.0,0.27970750460565785
96,0.24482128033828998,0.24385330718558126,0.8465189795231485,0.1489582456451792,0.0,0.5788167696823288,0.0,0.0,0.0,0.0,0.0,0.27222498467249207
97,0.24656180322279284,0.24796687736133552,0.8394950884236306,0.14072776932456285,0.0,0.5945297659361108,0.0,0.0,0.0,0.0,0.0,0.26474246473932633
98,0.24830232610729572,0.2527813321035002,0.8303916146590411,0.20229952223723827,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.19770047776276173
99,0.2500428489917986,0.2605167018977254,0.8124163244193122,0.3011497479884331,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.09885025201156694
100,0.25178336733995954,0.27110316209827723,0.7871119543651707,0.39999997373962826,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
