point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
54,0.200447109500075,0.12204289584536317,1.3278305205015752,0.20489703425971814,0.3426732066923741,0.0,0.4097493150189933,0.04268044402891441,0.0,0.0
55,0.20103946836201003,0.12282362201857122,1.3242130308713,0.2089353907425145,0.34906123461208216,0.0,0.4010786462821192,0.04092472836328419,0.0,0.0
56,0.20163182722394518,0.12363878494752464,1.3202734053640217,0.2129737472253094,0.3554492625317924,0.0,0.3924079775452445,0.03916901269765372,0.0,0.0
57,0.20222418608588022,0.12448770814397819,1.3160283930216945,0.21701210370810536,0.3618372904515003,0.0,0.3837373088083709,0.03741329703202347,0.0,0.0
58,0.20281654494781529,0.12536970580120635,1.3114948010034035,0.22105046019090105,0.368225318371209,0.0,0.3750666400714967,0.03565758136639325,0.0,0.0
59,0.20340890380975035,0.1262840849217448,1.3066894084539529,0.22508881667369574,0.3746133462909184,0.0,0.3663959713346229,0.03390186570076298,0.0,0.0
60,0.2040012626716854,0.12723014734906413,1.3016288869895478,0.22912717315649006,0.38100137421062863,0.0,0.35772530259774876,0.03214615003513262,0.0,0.0
61,0.20459362153362048,0.1282071916957366,1.2963297280689159,0.233165529639286,0.3873894021303372,0.0,0.3490546338608746,0.030390434369502308,0.0,0.0
62,0.20518598039555558,0.1292145151623874,1.2908081773919726,0.23720388612208135,0.39377743005004695,0.0,0.3403839651239998,0.028634718703871846,0.0,0.0
63,0.2057783392574906,0.1302514152433477,1.2850801763540332,0.2412422426048771,0.4001654579697551,0.0,0.3317132963871261,0.026879003038241638,0.0,0.0
64,0.20637069811942568,0.13131719131644506,1.2791613104824524,0.2452805990876726,0.40655348588946427,0.0,0.3230426276502518,0.025123287372611273,0.0,0.0
65,0.2069630569813608,0.13241114611574575,1.2730667646951854,0.2493189555704672,0.41294151380917443,0.0,0.3143719589133776,0.023367571706980842,0.0,0.0
66,0.20755541584329584,0.1335325870873158,1.2668112851470206,0.2533573120532635,0.41932954172888237,0.0,0.3057012901765034,0.021611856041350675,0.0,0.0
67,0.2081477747052309,0.13468082762917097,1.260409147368921,0.25739566853605833,0.4257175696485918,0.0,0.2970306214396295,0.019856140375720362,0.0,0.0
68,0.20874013356716598,0.13585518821755038,1.25387413035841,0.26143402501885404,0.4321055975683005,0.0,0.2883599527027553,0.01810042471009011,0.0,0.0
69,0.2093324924291011,0.13705499742247385,1.2472194962433698,0.26547238150164854,0.4384936254880111,0.0,0.2796892839658808,0.016344709044459556,0.0,0.0
70,0.2099248512910361,0.13827959281623314,1.2404579751170102,0.26951073798444536,0.44488165340771807,0.0,0.2710186152290071,0.014588993378829478,0.0,0.0
71,0.21051721015297123,0.13952832177903116,1.2336017546269342,0.2735490944672396,0.45126968132742834,0.0,0.26234794649213306,0.012833277713199117,0.0,0.0
72,0.21110956901490624,0.1408005422064246,1.2266624738950653,0.277587450950035,0.457657709247137,0.0,0.2536772777552592,0.011077562047568853,0.0,0.0
73,0.2117019278768414,0.14209562312356483,1.2196512213464064,0.2816258074328298,0.4640457371668475,0.0,0.24500660901838434,0.009321846381938411,0.0,0.0
74,0.2122942867387764,0.14341294521146208,1.212578536032121,0.2856641639156248,0.4704337650865563,0.0,0.23633594028151078,0.007566130716308137,0.0,0.0
75,0.21288664560071147,0.1447519012506509,1.2054544120450366,0.2897025203984226,0.47682179300626315,0.0,0.22766527154463634,0.005810415050677894,0.0,0.0
76,0.21347900446264653,0.14611189648769607,1.1982883056424039,0.29374087688121653,0.4832098209259732,0.0,0.21899460280776267,0.004054699385047613,0.0,0.0
77,0.2140713633245816,0.1474923489299867,1.1910891447105965,0.29777923336401346,0.489597848845681,0.0,0.21032393407088834,0.002298983719417258,0.0,0.0
78,0.2146637221865167,0.1488926895742009,1.1838653402285808,0.3018175898468065,0.4959858767653925,0.0,0.20165326533401415,0.0005432680537868344,0.0,0.0
79,0.2152560810484517,0.15031284028052294,1.176621059998438,0.3059862715646404,0.5017414059401796,0.0,0.19227232249518006,0.0,0.0,0.0
80,0.21584843991038682,0.15175366112211236,1.1693530884990477,0.3102133488255944,0.5072135279319943,0.0,0.1825731232424114,0.0,0.0,0.0
81,0.2164407987723219,0.153214663051213,1.1620687448602876,0.3144404260865483,0.5126856499238082,0.0,0.17287392398964357,0.0,0.0,0.0
82,0.21703315763425696,0.1546952742749226,1.1547756121533237,0.3186675033475027,0.518157771915622,0.0,0.16317472473687536,0.0,0.0,0.0
83,0.21762551649619202,0.15619493714988095,1.1474807838233554,0.32289458060845666,0.5236298939074361,0.0,0.15347552548410717,0.0,0.0,0.0
84,0.21821787535812706,0.15771310820182935,1.140190880911409,0.32712165786940955,0.5291020158992511,0.0,0.1437763262313393,0.0,0.0,0.0
85,0.21881023422006213,0.15924925809960166,1.1329120699640265,0.331348735130364,0.5345741378910644,0.0,0.13407712697857152,0.0,0.0,0.0
86,0.2194025930819972,0.16080287158825904,1.1256500814193575,0.33557581239131845,0.5400462598828782,0.0,0.12437792772580328,0.0,0.0,0.0
87,0.21999495194393234,0.16237344738580778,1.1184102282821775,0.3398028896522731,0.5455183818746923,0.0,0.11467872847303466,0.0,0.0,0.0
88,0.22058731080586735,0.16396049804766427,1.1111974249230205,0.3440299669132262,0.5509905038665065,0.0,0.10497952922026728,0.0,0.0,0.0
89,0.22117966966780242,0.1655635498027556,1.1040162058578507,0.34825704417418046,0.5564626258583202,0.0,0.09528032996749941,0.0,0.0,0.0
90,0.22177202852973754,0.1671821423648648,1.096870744384416,0.3524841214351335,0.5619347478501356,0.0,0.08558113071473088,0.0,0.0,0.0
91,0.2223643873916726,0.16881582872256745,1.089764870969546,0.3567111986960874,0.5674068698419497,0.0,0.07588193146196305,0.0,0.0,0.0
92,0.22295674625360765,0.17046417491084012,1.0827020912982703,0.36093827595704076,0.5728789918337643,0.0,0.0661827322091949,0.0,0.0,0.0
93,0.2235491051155427,0.17212675976716893,1.075685603910681,0.3651653532179958,0.5783511138255769,0.0,0.05648353295642735,0.0,0.0,0.0
94,0.2241414639774778,0.17380317467474765,1.0687183173660324,0.3693924304789483,0.5838232358173925,0.0,0.04678433370365919,0.0,0.0,0.0
95,0.22473382283941287,0.17549302329512126,1.0618028668857415,0.3736195077399035,0.5892953578092056,0.0,0.03708513445089095,0.0,0.0,0.0
