date,Sample Portfolio_balance,Portfolio 2_balance,Portfolio 3_balance,benchmark_balance
2024-04-30,14076.300690298582,16656.879971806175,18017.279778952263,16660.704234772515
2024-05-31,14631.777060616098,17545.979386994113,18811.193842011242,17503.397036280225
2024-06-30,14993.022861097808,17867.520550513542,19362.308911119177,18120.922737305456
2024-07-31,15363.370460942257,18189.946530665136,19487.240811416483,18340.346888296037
2024-08-31,15708.508408004436,18397.860157524436,19584.609838515862,18768.880557572673
2024-09-30,16133.834335750094,19044.02172608093,19990.161172768338,19163.114640443608
2024-10-31,16042.877721376655,19228.6988795188,19834.97393812343,18992.109763669458
2024-11-30,16568.64973559133,19403.768222489518,20162.316310627353,20124.672245680482
2024-12-31,16098.831714500056,18833.518576277245,19603.367334917868,19640.4753427124
2025-01-31,16592.578598942997,19799.135324985753,20235.637390833166,20167.944605554225
2025-02-28,16713.630355077275,19997.972771878634,20056.754800762632,19911.91578283391
2025-03-31,16457.496910384052,20237.677272039597,20040.83999179909,18802.439520895914
2025-04-30,16539.1985475471,20045.432408356817,20115.405930817924,18639.42130708115
2025-05-31,17006.03371350587,21012.250525537394,21104.510688108014,19810.814490873112
2025-06-30,17608.9847002938,22220.08323427775,22435.85759032214,20828.81756092222
2025-07-31,17782.30521701463,22538.288548571105,22615.135945609367,21308.535358562985
2025-08-31,18198.686332503614,23791.205055462426,23193.959066545758,21745.775509862295
2025-09-30,19194.551653227987,26141.11177561159,24781.395443326895,22520.36947521965
2025-10-31,19673.626948002704,26593.050214401388,26246.041963705164,23057.19430548226
2025-11-30,19967.867762308764,27657.328750990255,26626.66515824103,23102.158032114534
2025-12-31,19997.35376154855,29075.01270457825,27943.630327187362,23120.582071491546
2026-01-31,20663.67049815379,31370.699832326223,30069.502826692336,23461.326940674313
2026-02-28,21135.275348528856,33339.36332648367,31865.198191098472,23258.575130646634
2026-03-31,19822.7983541874,30523.05817775127,29211.27652246591,22110.07676995133
2026-04-30,20927.625781298528,32706.154754056486,31978.53040736746,24432.799741447638
2026-05-31,21550.078030772132,34598.67428640166,34450.901835319084,25718.594226655823
2026-06-30,20967.40048416998,33005.10840225117,33230.199030547235,25453.883886735835
2026-07-31,20823.12664447666,32355.51705910853,31428.228031549635,25462.746398902287
2026-08-31,21577.704983017655,34856.31679340535,33627.56248413343,26145.13279049405
