date,portfolio,market_type,benchmark_return,portfolio_return,active_return,benchmark_return_pct,portfolio_return_pct,active_return_pct
2025-04-30,Sample Portfolio,down,-0.008670167189502642,0.0049643935437517685,0.01363456073325441,-0.8670167189502642,0.49643935437517683,1.363456073325441
2025-05-31,Sample Portfolio,up,0.06284505165897136,0.02822605024497688,-0.03461900141399448,6.284505165897136,2.822605024497688,-3.461900141399448
2025-06-30,Sample Portfolio,up,0.051386124993305415,0.03545509718473489,-0.015931027808570523,5.1386124993305415,3.545509718473489,-1.5931027808570524
2025-07-31,Sample Portfolio,up,0.023031648578059727,0.009842763336673704,-0.013188885241386023,2.3031648578059727,0.9842763336673703,-1.3188885241386024
2025-08-31,Sample Portfolio,up,0.02051948204102305,0.023415438789811113,0.002895956748788061,2.051948204102305,2.341543878981111,0.2895956748788061
2025-09-30,Sample Portfolio,up,0.03562033510828466,0.05472179857940784,0.01910146347112318,3.562033510828466,5.472179857940784,1.9101463471123181
2025-10-31,Sample Portfolio,up,0.02383739357630099,0.024958958412688456,0.0011215648363874647,2.383739357630099,2.4958958412688457,0.11215648363874647
2025-11-30,Sample Portfolio,up,0.0019500049129079766,0.014956065463721224,0.013006060550813247,0.19500049129079766,1.4956065463721224,1.3006060550813248
2025-12-31,Sample Portfolio,up,0.0007975029584423865,0.001476702218426335,0.0006791992599839486,0.07975029584423865,0.1476702218426335,0.06791992599839486
2026-01-31,Sample Portfolio,up,0.014737818820090842,0.03332029949052491,0.018582480670434068,1.4737818820090842,3.332029949052491,1.8582480670434067
2026-02-28,Sample Portfolio,down,-0.008642046247570145,0.02282280912998388,0.03146485537755403,-0.8642046247570145,2.282280912998388,3.146485537755403
2026-03-31,Sample Portfolio,down,-0.04937956664344334,-0.062098867496827324,-0.012719300853383984,-4.937956664344334,-6.209886749682733,-1.2719300853383984
2026-04-30,Sample Portfolio,up,0.10505268686597247,0.05573519089243119,-0.04931749597354128,10.505268686597248,5.573519089243119,-4.931749597354128
2026-05-31,Sample Portfolio,up,0.05262575303750272,0.02974307281115927,-0.02288268022634345,5.262575303750272,2.974307281115927,-2.288268022634345
2026-06-30,Sample Portfolio,down,-0.010292566443839024,-0.027038287686311634,-0.01674572124247261,-1.0292566443839024,-2.7038287686311633,-1.6745721242472609
2026-07-31,Sample Portfolio,up,0.00034817917005858234,-0.006880863748543409,-0.007229042918601991,0.034817917005858234,-0.6880863748543409,-0.7229042918601991
2026-08-31,Sample Portfolio,up,0.0267994025821654,0.03623751425484826,0.00943811167268286,2.67994025821654,3.623751425484826,0.943811167268286
2020-01-31,Portfolio 2,down,-0.00040359792991706556,-0.011859603495145258,-0.011456005565228192,-0.040359792991706556,-1.185960349514526,-1.1456005565228193
2020-02-29,Portfolio 2,down,-0.07916585498240936,-0.06264012088440242,0.016525734098006936,-7.916585498240936,-6.264012088440242,1.6525734098006937
2020-03-31,Portfolio 2,down,-0.12487122681574148,-0.11871895461845249,0.006152272197288991,-12.487122681574148,-11.871895461845249,0.615227219728899
2020-04-30,Portfolio 2,up,0.12698362069856084,0.14437696237309117,0.017393341674530327,12.698362069856085,14.437696237309117,1.7393341674530327
2020-05-31,Portfolio 2,up,0.047645363596478196,0.053147031712022674,0.005501668115544478,4.76453635964782,5.314703171202267,0.5501668115544478
2020-06-30,Portfolio 2,up,0.01773383928947392,0.05120397102813835,0.03347013173866443,1.7733839289473918,5.120397102813834,3.347013173866443
2020-07-31,Portfolio 2,up,0.05889249128473706,0.10404874137833893,0.04515625009360187,5.889249128473706,10.404874137833893,4.515625009360187
2020-08-31,Portfolio 2,up,0.06979677232908776,0.06139284993915237,-0.00840392238993539,6.979677232908776,6.139284993915237,-0.8403922389935391
2020-09-30,Portfolio 2,down,-0.03744374681658469,-0.06603829004883038,-0.028594543232245695,-3.744374681658469,-6.603829004883038,-2.8594543232245693
2020-10-31,Portfolio 2,down,-0.024933704675197732,-0.010302725016648171,0.014630979658549561,-2.493370467519773,-1.030272501664817,1.463097965854956
2020-11-30,Portfolio 2,up,0.10877714796768156,0.0634054445348891,-0.04537170343279247,10.877714796768156,6.34054445348891,-4.5371703432792465
2020-12-31,Portfolio 2,up,0.03704790898719135,0.06956615951227439,0.032518250525083045,3.7047908987191347,6.956615951227439,3.2518250525083046
2021-01-31,Portfolio 2,down,-0.010190104642821995,0.011939818363561928,0.022129923006383924,-1.0190104642821995,1.193981836356193,2.2129923006383923
2021-02-28,Portfolio 2,up,0.027805706239982797,0.01970893543464032,-0.008096770805342476,2.7805706239982797,1.970893543464032,-0.8096770805342477
2021-03-31,Portfolio 2,up,0.045398910516703195,0.004151615879040752,-0.04124729463766244,4.5398910516703195,0.41516158790407515,-4.124729463766244
2021-04-30,Portfolio 2,up,0.052910584704057406,0.03882236563695313,-0.01408821906710428,5.291058470405741,3.8822365636953124,-1.408821906710428
2021-05-31,Portfolio 2,up,0.006566213017263678,0.03375503793322818,0.0271888249159645,0.6566213017263678,3.375503793322818,2.71888249159645
2021-06-30,Portfolio 2,up,0.02242729381075259,-0.004748871533761147,-0.02717616534451374,2.242729381075259,-0.4748871533761147,-2.717616534451374
2021-07-31,Portfolio 2,up,0.024412506228186137,-0.01636819957143182,-0.040780705799617956,2.4412506228186137,-1.6368199571431818,-4.078070579961795
2021-08-31,Portfolio 2,up,0.029760090211334633,0.0036427274470005435,-0.02611736276433409,2.9760090211334633,0.36427274470005433,-2.611736276433409
2021-09-30,Portfolio 2,down,-0.04660540136389901,-0.037612306608123564,0.00899309475577545,-4.660540136389901,-3.7612306608123562,0.8993094755775449
2021-10-31,Portfolio 2,up,0.07016344857641399,0.06577324073145854,-0.004390207844955446,7.016344857641399,6.577324073145855,-0.4390207844955446
2021-11-30,Portfolio 2,down,-0.008034986144266232,-0.01873827138226718,-0.010703285238000949,-0.8034986144266232,-1.873827138226718,-1.0703285238000948
2021-12-31,Portfolio 2,up,0.04624778938474572,0.020019584679591994,-0.026228204705153725,4.624778938474572,2.0019584679591995,-2.6228204705153724
2022-01-31,Portfolio 2,down,-0.05274131684383154,-0.01584554978693704,0.0368957670568945,-5.274131684383154,-1.584554978693704,3.6895767056894497
