point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
11,0.10085992517842579,0.07603185338262554,0.8215648417495126,0.011024349804019846,0.3077387646319649,0.0,0.13083708130372904,0.22406250878900655,0.03894083551075328,0.0,0.04139379656097432,0.24600266339955204
12,0.1025556942466192,0.07620301225027883,0.8419728402557675,0.013307759971559006,0.30874829955267297,0.0,0.129158118450882,0.21988026897849275,0.042866974359901146,0.0,0.037305229228044766,0.24873334945844738
13,0.10425146331481262,0.07638778964275163,0.8621356376012748,0.015591170139098219,0.309757834473381,0.0,0.1274791555980349,0.21569802916797884,0.0467931132090491,0.0,0.03321666189511515,0.2514640355173427
14,0.10594723238300606,0.07658608698885493,0.8820453877821127,0.01787458030663746,0.3107673693940891,0.0,0.12580019274518786,0.21151578935746496,0.05071925205819704,0.0,0.029128094562185528,0.25419472157623807
15,0.10764300145119948,0.07679779956023274,0.9016947654949546,0.020157990474176594,0.31177690431479715,0.0,0.12412122989234074,0.20733354954695105,0.05464539090734512,0.0,0.0250395272292559,0.2569254076351334
16,0.10933877051939292,0.07702281673369887,0.9210769735735562,0.022441400641715757,0.31278643923550525,0.0,0.12244226703949368,0.20315130973643714,0.05857152975649307,0.0,0.020950959896326362,0.25965609369402876
17,0.11103453958758636,0.07726102226324923,0.94018574791667,0.024724810809254913,0.31379597415621346,0.0,0.12076330418664658,0.19896906992592306,0.062497668605641134,0.0,0.01686239256339673,0.26238677975292407
18,0.11273030865577977,0.0775122945602933,0.9590153599665493,0.027008220976794103,0.3148055090769216,0.0,0.11908434133379957,0.19478683011540934,0.06642380745478892,0.0,0.012773825230467176,0.26511746581181944
19,0.1144260777239732,0.07777650698065001,0.9775606168155905,0.02929163114433329,0.3158150439976295,0.0,0.11740537848095245,0.19060459030489538,0.07034994630393707,0.0,0.008685257897537562,0.26784815187071476
20,0.11612184679216664,0.07805352811686724,0.9958168590352685,0.031575041311872436,0.31682457891833776,0.0,0.11572641562810539,0.18642235049438144,0.07427608515308502,0.0,0.0045966905646079624,0.27057883792961007
21,0.11781761586036006,0.07834322209444868,1.0137799563362737,0.03385845147941162,0.3178341138390458,0.0,0.11404745277525831,0.18224011068386756,0.07820222400223299,0.0,0.0005081232316783808,0.2733095239885054
22,0.11951338492855348,0.0786514225223181,1.0313679618360165,0.03757139796014833,0.31961115361822867,0.0,0.11059804754358159,0.17345484975278594,0.08273425339823451,0.0,0.0,0.2760302977270209
23,0.12120915399674691,0.0789873576058616,1.0484503966289715,0.04148721888626737,0.3214971148155343,0.0,0.10689738775308723,0.16401634528511372,0.08735226851388528,0.0,0.0,0.27874966474611207
24,0.12290492306494033,0.07935079434354056,1.0650188971373904,0.0454030398123863,0.32338307601283983,0.0,0.10319672796259291,0.1545778408174417,0.0919702836295361,0.0,0.0,0.28146903176520327
25,0.1246006921331338,0.07974135670383355,1.0810684456636863,0.049318860738505325,0.32526903721014544,0.0,0.09949606817209844,0.14513933634976925,0.096588298745187,0.0,0.0,0.28418839878429447
26,0.1262964612013272,0.08015864818974758,1.0965957585392898,0.053234681664624264,0.327154998407451,0.0,0.09579540838160411,0.1357008318820971,0.1012063138608379,0.0,0.0,0.2869077658033857
27,0.12799223026952064,0.08060225365875306,1.111599224788969,0.057150502590743314,0.32904095960475654,0.0,0.09209474859110968,0.12626232741442478,0.10582432897648884,0.0,0.0,0.2896271328224768
28,0.12968799933771402,0.08107174116025119,1.1260788339435273,0.06106632351686214,0.3309269208020621,0.0,0.08839408880061546,0.11682382294675286,0.11044234409213959,0.0,0.0,0.2923464998415679
29,0.1313837684059075,0.08156666377425349,1.1400360946116388,0.06498214444298123,0.3328128819993678,0.0,0.08469342901012103,0.10738531847908046,0.11506035920779038,0.0,0.0,0.29506586686065917
30,0.1330795374741009,0.08208656143603539,1.1534739454481293,0.06889796536910014,0.33469884319667337,0.0,0.08099276921962666,0.09794681401140827,0.11967837432344125,0.0,0.0,0.2977852338797503
31,0.13477530654229433,0.0826309627327702,1.1663966601452218,0.07281378629521922,0.3365848043939789,0.0,0.07729210942913231,0.08850830954373605,0.12429638943909198,0.0,0.0,0.3005046008988415
32,0.13647107561048777,0.08319938665951482,1.1788097480291306,0.07672960722133818,0.3384707655912844,0.0,0.07359144963863795,0.07906980507606395,0.1289144045547429,0.0,0.0,0.30322396791793266
33,0.1381668446786812,0.08379134432336668,1.1907198517717437,0.08064542814745719,0.34035672678859014,0.0,0.06989078984814354,0.06963130060839165,0.1335324196703936,0.0,0.0,0.3059433349370239
34,0.13986261374687464,0.08440634058610222,1.202134643630964,0.08456124907357612,0.3422426879858957,0.0,0.06619013005764916,0.06019279614071934,0.1381504347860446,0.0,0.0,0.30866270195611506
35,0.14155838281506805,0.08504387563710702,1.2130627215188674,0.088477069999695,0.34412864918320113,0.0,0.062489470267154845,0.05075429167304731,0.14276844990169563,0.0,0.0,0.3113820689752062
36,0.14325415188326146,0.08570344648988694,1.2235135060691875,0.09239289092581399,0.34601461038050674,0.0,0.05878881047666048,0.041315787205375064,0.1473864650173464,0.0,0.0,0.31410143599429735
37,0.14494992095145492,0.08638454839687855,1.2334971397396148,0.0963087118519331,0.34790057157781235,0.0,0.055088150686166,0.031877282737702586,0.1520044801329973,0.0,0.0,0.3168208030133886
38,0.14664569001964833,0.08708667617863791,1.2430243888443986,0.10022453277805207,0.349786532775118,0.0,0.05138749089567169,0.022438778270030504,0.15662249524864802,0.0,0.0,0.3195401700324798
39,0.14834145908784177,0.08780932546475786,1.2521065492726258,0.10414035370417109,0.35167249397242345,0.0,0.047686831105177296,0.013000273802358247,0.1612405103642989,0.0,0.0,0.32225953705157095
40,0.1500372281560352,0.08855199384503523,1.260755356510673,0.10805617463029006,0.3535584551697291,0.0,0.04398617131468289,0.003561769334685961,0.1658585254799499,0.0,0.0,0.3249789040706621
41,0.15173299722422862,0.08932334144260447,1.2688527747346778,0.11453738957090862,0.3527511561102667,0.0,0.03596446281636044,0.0,0.1666685383015482,0.0,0.0,0.33007845320091606
42,0.15342876629242205,0.09015704519847455,1.2759284474438557,0.12257343751411458,0.35031152692603157,0.0,0.025323854804456015,0.0,0.16517059857969413,0.0,0.0,0.33662058217570356
43,0.15512453536061546,0.09105469275474402,1.2819735506529053,0.13060948545732035,0.34787189774179633,0.0,0.014683246792551842,0.0,0.16367265885784046,0.0,0.0,0.34316271115049096
44,0.1568203044288089,0.09201441271722197,1.2870318175756479,0.13864553340052638,0.34543226855756115,0.0,0.004042638780647401,0.0,0.1621747191359866,0.0,0.0,0.3497048401252785
