date,SPY Candidate_drawdown_pct,benchmark_drawdown_pct
2021-09-30,-2.577497267722395,-0.4772019926510551
2021-10-31,0.0,0.0
2021-11-30,0.0,0.0
2021-12-31,0.0,0.0
2022-01-31,-5.632754298219533,-2.9893350854696243
2022-02-28,-7.22345440315082,-2.992485950664714
2022-03-31,-2.3767088947392545,-2.9957337695495356
2022-04-30,-6.707442913337136,-5.641022433935783
2022-05-31,-8.742060233904802,-8.725628477736258
2022-06-30,-13.167389437493703,-8.808001270049237
2022-07-31,-4.623287386283426,-5.928132858392421
2022-08-31,-5.187176018891004,-6.056351092441048
2022-09-30,-8.316595709212482,-7.9701045703555184
2022-10-31,-1.4555844170159538,-8.711287649226263
2022-11-30,-3.022180410529207,-7.686437032472925
2022-12-31,-11.898872537995164,-12.801364039215656
2023-01-31,-9.743342014821799,-10.076430627778354
2023-02-28,-5.807436305025037,-8.233894600554603
2023-03-31,-3.9339981626655307,-5.650137772504138
2023-04-30,0.0,-2.25824766978332
2023-05-31,-0.8622288468976502,-4.396130480820714
2023-06-30,0.0,-3.0833972729815806
2023-07-31,-0.25010583270461684,-4.485592176447928
2023-08-31,0.0,-4.029284061537986
2023-09-30,-3.0424408300331995,-6.720748295019696
2023-10-31,-5.163025457894388,-8.979007027996866
2023-11-30,-1.0845647383159962,-6.840112992201908
2023-12-31,0.0,-0.9703062267158113
2024-01-31,0.0,-0.7891184058981371
2024-02-29,0.0,0.0
2024-03-31,0.0,0.0
2024-04-30,-1.4965974781802394,-0.12585408572722834
2024-05-31,0.0,0.0
2024-06-30,0.0,0.0
2024-07-31,-0.17777167993413556,0.0
2024-08-31,-0.46211123581549884,-1.311816354523887
2024-09-30,0.0,0.0
2024-10-31,0.0,0.0
2024-11-30,0.0,0.0
2024-12-31,0.0,0.0
2025-01-31,0.0,-0.13916725220166626
2025-02-28,-0.7079294886986109,0.0
2025-03-31,-4.811232940226107,0.0
2025-04-30,-8.727148613561164,-2.5337370751693955
2025-05-31,-6.625484137690019,-4.851554704693828
2025-06-30,-3.396908910020713,-2.906367226661477
2025-07-31,0.0,-0.16340578670271944
2025-08-31,0.0,0.0
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,0.0,0.0
2025-12-31,-1.0146648711956696,-0.6254982992540792
2026-01-31,-0.7135010110931761,0.0
2026-02-28,-1.3262838016641298,0.0
2026-03-31,-1.5483721436609588,-3.007479525297474
2026-04-30,0.0,-0.0015463866586684638
2026-05-31,0.0,0.0
2026-06-30,0.0,0.0
2026-07-31,-8.234183406494822,-11.523766254883272
2026-08-31,-8.163424536463559,-10.362118836056522
